,0
vor0,1428998.3555285865
vor1,996412.4406990753
vor2,6616.858365096722
vor3,285811.03043803235
vor4,1464118.2209321987
vor5,1058487.175292647
vor6,747456.1155925948
vor7,0.0
vor8,947958.3154354724
vor9,3156562.6880623717
vor10,697934.415241151
vor11,1552456.8165994065
vor12,457711.89759259566
vor13,186218.11021842028
vor14,0.0
vor15,969695.7659111377
vor16,1624424.2455357409
vor17,1862711.209494675
vor18,1920612.4248577529
vor19,2859028.9433473367
vor20,1387256.3924372892
vor21,293385.6359137895
vor22,63689.56157628962
vor23,3425357.5163668473
vor24,2161789.9284636234
vor25,3195046.27233124
vor26,1552302.1090475647
vor27,1430575.9402132477
vor28,1978295.7398072244
vor29,1576702.8413866868
vor30,148284.9700252244
vor31,1340988.3869309481
vor32,63458.347296302905
vor33,1085145.826980565
vor34,2363311.2706537344
vor35,2753706.939597685
vor36,2633575.496587582
vor37,631042.3835731441
vor38,392929.2131053304
vor39,1985724.7974051756
vor40,2198638.8197727725
vor41,1329010.0174697256
vor42,26531.790706321943
vor43,616310.5609616863
vor44,2717701.6627058317
vor45,1915130.2954188026
vor46,1969666.2087402518
vor47,361780.31510913494
vor48,1971445.6971054468
vor49,1538863.281770478
vor50,570954.4380204532
vor51,58493.62694877953
vor52,2826249.6804276174
vor53,5565437.524322707
vor54,1076410.8926556972
vor55,1127125.4247283034
vor56,873859.0780393247
vor57,2247535.9200716387
vor58,2922068.3527740743
vor59,708463.065172419
vor60,542525.5826341547
vor61,691714.0879720063
vor62,603452.5101487393
vor63,1220308.3508570031
vor64,2654487.159972555
vor65,5459934.739671124
vor66,1445577.1730592148
vor67,2141584.694061406
vor68,0.0
vor69,3755267.5113543114
vor70,690159.5335309543
vor71,1845904.4282700105
vor72,2763977.059340077
vor73,460988.59265533654
vor74,264116.45510335785
vor75,210816.0199444364
vor76,0.0
vor77,587.366640136643
vor78,2857945.0641280394
vor79,3302461.3309141127
vor80,834339.6884615041
vor81,2090996.687011793
vor82,1433985.6736999433
vor83,1475745.479539522
vor84,1118523.335644838
vor85,585.8927528681223
vor86,0.0
vor87,3568.496217486808
vor88,4801328.773964289
vor89,1703702.3672885832
vor90,676590.7959187033
vor91,439213.68943479925
vor92,1992248.0786130507
vor93,69206.19250197495
vor94,1175.292145422146
vor95,0.0
vor96,14652.627928184602
vor97,2034263.5746468971
vor98,4748649.231735295
vor99,701660.7048617904
vor100,723559.3087502109
vor101,1738467.382577921
vor102,526602.4404533595
vor103,12763.616374638452
vor104,1571.6096944331625
vor105,15062.789548410945
vor106,2604989.017868761
vor107,485260.48647374084
vor108,314839.58227298735
vor109,695437.5301059103
vor110,610456.9136049928
vor111,386265.0511847712
vor112,2598.167805922976
vor113,55605.84225594424
vor114,39615.30206466172
vor115,2436557.119986513
vor116,727661.5974337988
vor117,639603.156048646
vor118,1101795.2018678344
vor119,1398083.6397777249
vor120,291666.74041106936
vor121,11684.278520984682
vor122,6262.532942779148
vor123,57082.38710205766
vor124,232930.0818880071
vor125,1614441.9847214562
vor126,1008080.171152685
vor127,2919433.8885245807
vor128,2266139.5679027704
vor129,1251180.7436518536
vor130,987091.7490265905
vor131,280379.7126274011
vor132,84703.02073197578
vor133,499789.16694346955
vor134,867341.6415285576
vor135,256609.29324253972
vor136,23946.41874768021
vor137,2836855.4607771724
vor138,950451.4559556193
vor139,73265.22120284903
vor140,1808187.569707796
