,0
vor0,37268.81472348237
vor1,1367470.6902930797
vor2,440965.57738263404
vor3,46318.22157104366
vor4,757069.2336703425
vor5,231263.1274380513
vor6,133653.97701833813
vor7,129831.66462448103
vor8,0.0
vor9,210.43193808405482
vor10,11147.336411488808
vor11,571842.7644045607
vor12,391589.307947568
vor13,270969.1803662626
vor14,65973.6434061993
vor15,54880.64907425332
vor16,833744.8236691201
vor17,75223.19699236963
vor18,1168725.022749761
vor19,229066.54943533722
vor20,169788.20607517633
vor21,3440223.5628529233
vor22,0.0
vor23,179472.96510925313
vor24,1905316.7158742312
vor25,500143.74993973837
vor26,145382.54423715052
vor27,12915416.437875161
vor28,65618.19203614246
vor29,189528.82815690213
vor30,188443.66083112793
vor31,652199.1135878443
vor32,18333.65202197856
vor33,297174.031233983
vor34,3801598.166893013
vor35,209049.7806099326
vor36,841287.2404922381
vor37,129831.66462448103
vor38,1571822.188550131
vor39,229308.24529137876
vor40,1556616.4238410408
vor41,3177829.7682677372
vor42,710619.978316226
vor43,1395004.4659047998
vor44,245953.35675277174
vor45,27644.056657316116
vor46,0.0
vor47,0.0
vor48,120465.01380011023
vor49,292939.3005188241
vor50,4560668.330101803
vor51,4720874.5115233725
vor52,746234.4196403236
vor53,230302.49623730517
vor54,0.0
vor55,31261.039101176026
vor56,112255.7206328181
vor57,617210.5272702362
vor58,753382.2038535625
vor59,27651.390686397208
vor60,1082589.632995396
vor61,87590.53667651005
vor62,0.0
vor63,828519.5469930018
vor64,63240.68579729057
vor65,168801.5914840485
vor66,1213279.855581455
vor67,2611052.3885907237
vor68,517499.47784426116
vor69,37036.73983444445
vor70,0.0
vor71,0.0
vor72,149501.17764509656
vor73,820094.9283228738
vor74,0.0
vor75,414303.8341029233
vor76,3404186.3917332836
vor77,3630306.1111942395
vor78,482263.981335395
vor79,379733.06304488034
vor80,0.0
vor81,0.0
vor82,2318757.007006383
vor83,5030000.005267676
vor84,2634292.904761666
vor85,2653368.977265232
vor86,3876839.061865666
vor87,7917689.042135032
vor88,5409746.711401627
vor89,55188.059102017934
vor90,1626819.995670314
vor91,991146.0761997746
vor92,935753.3873563535
vor93,3799200.6969395494
vor94,5806768.890576334
vor95,2312909.4457975267
vor96,2601154.5825922275
vor97,5127953.131174094
vor98,4960995.262239234
vor99,2726784.4478234234
vor100,1647311.7317221875
vor101,2714780.929703017
vor102,1265987.2731246436
vor103,5145753.426186229
vor104,3408015.0787118208
vor105,1195832.9005188465
vor106,728458.916878243
vor107,273095.84417640674
vor108,4191274.867421517
vor109,6357079.7226800155
vor110,1807248.7391695443
vor111,2701745.284752697
vor112,7403357.695603164
vor113,7128915.050302287
vor114,10007268.823984528
vor115,4086457.617603923
vor116,2397800.450754949
vor117,1205561.8306730296
vor118,266166.10164377984
vor119,2105642.332610058
vor120,1979491.1202762474
vor121,8027071.043206006
vor122,3951084.762017988
vor123,4444222.914037254
vor124,7782083.500090009
vor125,10902619.656550335
vor126,13593391.739373485
vor127,11238051.334844014
vor128,3452383.543195026
vor129,1899855.8923466776
vor130,1812070.716602785
vor131,89257.90342058628
vor132,1998718.5140552556
vor133,3977654.743313595
vor134,1.3812710013347125e-244
vor135,136.8242668113818
vor136,5493218.73609304
vor137,5454601.2551552635
vor138,9058648.14863782
vor139,9211775.278619083
vor140,11189854.819540456
vor141,11777816.261369739
vor142,14299127.078282678
vor143,10867130.896556592
vor144,6589810.749327622
vor145,4573714.868581363
vor146,545493.714791613
vor147,103972.33108917288
vor148,234505.60140235917
vor149,2364725.7270595226
vor150,8.81247482074396e-245
vor151,158.74799578745288
vor152,162.84869899927884
vor153,96.36623086237492
vor154,1.7741058846608734e-10
vor155,2.373834411301222e-10
vor156,11421430.515659112
vor157,9912955.494963013
vor158,11152979.437980724
vor159,13451119.968736853
vor160,11728165.999313693
vor161,4199545.902488152
vor162,617793.7862052663
vor163,1755173.168842383
vor164,443996.35202185414
vor165,1467159.0525573816
vor166,4646308.685046836
vor167,986840.9810680681
vor168,216.13481951252533
vor169,289.12557261918073
vor170,1175746.376618781
vor171,267.5794613219697
vor172,1059.1169976057263
vor173,5402320.424404309
vor174,8638376.972373618
vor175,6853020.4322845
vor176,3348186.0946606556
vor177,2191629.854193315
vor178,2906930.972044969
vor179,1490716.859134468
vor180,6960431.870127855
vor181,5430975.201960332
vor182,466318.13639150705
vor183,5187703.579063726
vor184,491828.23307584703
vor185,10935.527568538684
vor186,70390.45535050111
vor187,10032.582301014569
vor188,8.758952915404223e-44
vor189,265.4146115675275
vor190,226.12921959203192
vor191,217.87839025956052
vor192,1296887.5777930005
vor193,995434.0797272052
vor194,7811457.97425086
vor195,6555222.724845893
vor196,1400927.0836632587
vor197,3125295.3526617605
vor198,4641325.895967058
vor199,7681371.976264582
vor200,6540147.475599894
vor201,4070382.337468724
vor202,1642685.6493535596
vor203,1535487.3873207397
vor204,338395.6370455572
vor205,450340.68846063426
vor206,1140169.676990846
vor207,219260.2238506824
vor208,1469524.860996354
vor209,480815.3892999212
vor210,956728.2177515173
vor211,129943.17482001145
vor212,1.3692613962828104e-43
vor213,1.117225393003509e-43
vor214,6950332.740292066
vor215,6051990.531550691
vor216,7.103622870462929e-44
