,0
vor0,281577.63449847035
vor1,157813.04435979333
vor2,67862.95789425127
vor3,2323767.0514382776
vor4,694033.436526754
vor5,2023263.5771203663
vor6,94540.09747942923
vor7,7511240.8558755135
vor8,2227033.5567064094
vor9,2083458.6528941484
vor10,1585781.1458391016
vor11,4455936.490361708
vor12,183600.99333087902
vor13,2616076.0639276584
vor14,911179.0290952722
vor15,1518139.6295309511
vor16,103891.371798433
vor17,193697.56723686177
vor18,189430.17266173704
vor19,5689.142748093244
vor20,85623.76554317835
vor21,445072.7410258224
vor22,371096.92323676636
vor23,1226548.111712568
vor24,805273.7582858786
vor25,1393485.0794155633
vor26,215295.4288721635
vor27,1668197.6661148253
vor28,156708.4045622595
vor29,1160776.0534209376
vor30,248838.96817163323
vor31,858254.6463207074
vor32,302963.5654702835
vor33,37237.9735728118
vor34,1160279.745236879
vor35,603766.7284837749
vor36,1526792.119226825
vor37,1774171.9810292257
vor38,2262356.3256444405
vor39,439737.610393017
vor40,581776.9512003419
vor41,604654.2207614611
vor42,378254.42393084685
vor43,243911.4419809935
vor44,37245.614670856805
vor45,83175.7725402381
vor46,4849618.851042502
vor47,5826312.820124337
vor48,2295215.3439294603
vor49,3544325.925526641
vor50,6672346.848536269
vor51,30290.118761255115
vor52,676910.7456276462
vor53,6561882.624901695
vor54,3922185.047265659
vor55,630585.8313153106
vor56,6263200.373438774
vor57,12327119.11865384
vor58,9597898.54461628
vor59,10505993.042072028
vor60,815513.3714336834
vor61,210568.55285411683
vor62,8306189.562789577
vor63,9792013.016933538
vor64,3411704.1117787305
vor65,725135.5069319482
vor66,2502643.776670157
vor67,8621495.880755303
vor68,13559306.595767312
vor69,8617645.171895534
vor70,8491970.725115856
vor71,11439995.489732206
vor72,6447915.892034742
vor73,112010.30020420469
vor74,2695250.3850503196
vor75,1017656.0503621522
vor76,1941729.109921399
vor77,4354653.616189015
vor78,8354448.323008323
vor79,16811418.940453492
vor80,13765439.080330912
vor81,10170813.222845875
vor82,7778242.593447311
vor83,11447201.456887854
vor84,1470798.9939662
vor85,388414.75184346177
vor86,14944.206450498124
vor87,73236.32593999537
vor88,3270800.235962168
vor89,5107537.369441954
vor90,2863614.990512731
vor91,6314750.504732704
vor92,7225611.306592861
vor93,8922408.94322507
vor94,9639361.666623566
vor95,10666892.13641321
vor96,9361383.601008974
vor97,10583296.764216112
vor98,12290847.062560186
vor99,7105655.691598641
vor100,6243289.773162789
vor101,45813.82545159809
vor102,283600.4518734052
vor103,113209.23374156171
vor104,5320156.896561167
vor105,4909475.806495196
vor106,8063088.671507657
vor107,8307951.871598911
vor108,8955658.40794762
vor109,8231858.9643736705
vor110,10443091.235398509
vor111,5837171.75525996
vor112,10697298.91526302
vor113,15115107.868380237
vor114,9759086.445757452
vor115,8327720.1902664285
vor116,8457254.030289212
vor117,11764319.861926666
vor118,5736147.585518465
vor119,635727.5221910872
vor120,484328.3120159682
vor121,478336.9346248057
vor122,3.9645560765051015e-66
vor123,505871.1796771491
vor124,2551000.666836678
vor125,5329319.21701706
vor126,6412922.481118553
vor127,13747939.510689247
vor128,7000110.343105122
vor129,9458157.067768011
vor130,8266173.419564106
vor131,11350800.683638671
vor132,16555651.957230838
vor133,14769885.198562006
vor134,8877106.839057615
vor135,461906.99519501656
vor136,16704826.483169058
vor137,13652993.294163989
vor138,14606070.262307841
vor139,1562217.6347360283
vor140,1.463189948118799e-65
vor141,1.5381086168991365e-65
vor142,118628.46655643685
vor143,6184948.86603485
vor144,4904457.705942435
vor145,7246181.505110546
vor146,7423081.762029286
vor147,4632053.525063518
vor148,6908678.998725529
vor149,7524911.497525391
vor150,16119962.25670152
vor151,11826703.392972823
vor152,22448376.579051945
vor153,9840977.614211217
vor154,22881496.74442822
vor155,15781885.935475633
vor156,18298246.597246014
vor157,27261436.885562442
vor158,20936135.523108266
vor159,1.970458923080193e-64
vor160,2106020.3191870796
vor161,616322.2204081612
vor162,4674228.236328778
vor163,7752189.388770556
vor164,18152925.720794722
vor165,2102887.050451439
vor166,5594787.44218085
vor167,6683739.989949074
vor168,1631940.1150352454
vor169,6912092.406885546
vor170,7681103.179361097
vor171,13755375.742721677
vor172,17273680.576253545
vor173,28508929.526914828
vor174,20023778.075715244
vor175,20545110.443955477
vor176,0.2636764791173985
vor177,13541644.481658397
vor178,9696410.064844793
vor179,21685484.191152886
vor180,30911652.788871672
vor181,26105719.76181611
vor182,14654642.066852758
vor183,9244867.211679954
vor184,1729228.234911683
vor185,16384905.988938443
vor186,17071509.42287909
vor187,12572849.634507805
vor188,5042207.911735994
vor189,453269.0950526046
vor190,620440.2934506495
vor191,11457565.77107692
vor192,887266.9852780588
vor193,1365719.2996866722
vor194,9470116.610846566
vor195,8346100.685889777
vor196,10172980.053215206
vor197,30815872.363554023
vor198,26335627.50471864
vor199,20166407.04613586
vor200,19884888.813421354
vor201,13517060.019211063
vor202,2590138.162183319
vor203,16903724.160063032
vor204,17941812.26679448
vor205,8855266.450610336
vor206,6889147.110965207
vor207,26696050.307608042
vor208,9444852.76960135
vor209,3755251.204047191
vor210,2862028.7986021917
vor211,10446487.910480939
vor212,13540892.528139105
vor213,2944160.497281604
vor214,1492316.6122938069
vor215,1182416.6552727618
vor216,961429.7667695042
vor217,5194198.130648278
vor218,6311559.244625888
vor219,2788294.613877768
vor220,4255542.299983114
vor221,12005923.959527466
vor222,2316689.9718749523
vor223,6678483.543507175
vor224,24033482.468014605
vor225,6636540.531158364
vor226,18598397.966469463
vor227,20587159.63257763
vor228,14239705.317868875
vor229,13690959.72317579
vor230,14475013.2007838
vor231,14734995.559853924
vor232,10961280.269369692
vor233,4729215.712561556
vor234,8386567.927487462
vor235,19889602.67210402
vor236,2231294.1171416356
vor237,6468554.771919263
vor238,5478298.037007772
vor239,5404991.89340859
vor240,1402058.63939167
vor241,998367.4377207756
vor242,820439.1926022648
vor243,3254902.2001940687
vor244,8368555.116095152
vor245,13960550.619209485
vor246,6913169.456631605
vor247,16543469.003776932
vor248,4394699.577604762
vor249,10996744.110994864
vor250,16865846.586202152
vor251,5578152.334299159
vor252,736053.0646678562
vor253,5887759.13783823
vor254,9187001.261161404
vor255,7509833.83867179
vor256,1.0229833689722932e-175
vor257,12938072.993346376
vor258,14351106.855368372
vor259,17614358.609290708
vor260,1134749.6892603468
vor261,0.0
vor262,746304.0458394537
vor263,9669916.612569125
vor264,4250169.267211208
vor265,320756.0984211322
vor266,769370.1299629125
vor267,9676707.312565187
vor268,12211803.196044602
vor269,11215097.419377593
vor270,14020966.13491565
vor271,9471931.96598045
vor272,26019610.498924173
vor273,14563065.607046967
vor274,18365549.80132729
vor275,10240453.909554508
vor276,15339316.88632996
vor277,268.8314591137595
vor278,7884.980352832215
vor279,6803349.180523652
vor280,11418279.030632943
vor281,7273123.454252348
vor282,13547499.130612757
vor283,17822052.835987244
vor284,4857636.314749833
vor285,330521.9614601095
vor286,2819136.194948082
vor287,9452372.329671482
vor288,4889388.41369324
vor289,13415373.066015085
vor290,9315549.739332639
vor291,31223616.754566964
vor292,14717022.41095012
vor293,19027061.810805283
vor294,15930488.420646587
vor295,21360410.113534074
vor296,14060039.703991357
vor297,18964033.289825708
vor298,6601938.804182647
vor299,10049374.776899692
vor300,8811066.911310302
vor301,10033966.723125406
vor302,6837118.916229917
vor303,10527863.370501358
vor304,9973499.170063285
vor305,11650357.806754833
vor306,14032182.894705538
vor307,1526443.7496935728
vor308,5182127.546910255
vor309,881802.094294483
vor310,2934144.7575491746
vor311,9942822.188229442
vor312,11044487.935692623
vor313,14065685.99569841
vor314,12192785.134436566
vor315,12287001.96511981
vor316,8288805.46481626
vor317,7841386.583747491
vor318,5347312.683356689
vor319,6738014.363717879
vor320,11687436.200414432
vor321,9921145.581925562
vor322,17346263.981316973
vor323,17033402.395837568
vor324,21152966.644921206
vor325,14768539.121865654
vor326,10354462.265981354
vor327,12021156.670110803
vor328,22846267.884168115
vor329,14882066.38836853
vor330,10835281.90905787
vor331,508758.424644377
vor332,1645960.0090397487
vor333,229319.4442932172
vor334,7013469.66308674
vor335,10445207.020906894
vor336,2866144.7403693683
vor337,3862155.2681583688
vor338,6320674.822653208
vor339,2815833.266126859
vor340,3150372.64123458
vor341,10063052.372847037
vor342,803645.175007731
vor343,13110552.356079595
vor344,24488708.8085778
vor345,11256424.4623691
vor346,23217802.172248248
vor347,8541976.094643006
vor348,3042259.5481702588
vor349,5837148.727958406
vor350,12767532.913110632
vor351,17084410.410337023
vor352,17079907.112674132
vor353,34247624.64224658
vor354,17532583.15875332
vor355,1308064.3433427108
vor356,822039.9537104111
vor357,1071679.118855164
vor358,3929322.3768419046
vor359,3274350.093554944
vor360,876853.36240389
vor361,2221655.329994453
vor362,1221045.8318292361
vor363,4582769.015199862
