,0
vor0,1905331.140704782
vor1,1328549.9209321006
vor2,8822.477820128965
vor3,381081.3739173764
vor4,1952157.6279095982
vor5,1411316.2337235296
vor6,996608.1541234598
vor7,0.0
vor8,1263944.4205806297
vor9,4208750.250749829
vor10,930579.2203215347
vor11,2069942.4221325426
vor12,610282.5301234609
vor13,248290.81362456043
vor14,0.0
vor15,1292927.687881517
vor16,2165898.9940476543
vor17,2483614.9459929
vor18,2560816.5664770035
vor19,3812038.5911297826
vor20,1849675.1899163856
vor21,391180.8478850527
vor22,84919.41543505284
vor23,4567143.355155796
vor24,2882386.5712848315
vor25,4260061.696441653
vor26,2069736.1453967523
vor27,1907434.5869509971
vor28,2637727.6530762995
vor29,2102270.4551822483
vor30,197713.29336696587
vor31,1787984.515907931
vor32,84611.12972840387
vor33,1446861.102640753
vor34,3151081.694204978
vor35,3671609.252796913
vor36,3511433.9954501092
vor37,841389.8447641919
vor38,523905.61747377383
vor39,2647633.063206901
vor40,2931518.426363697
vor41,1772013.3566263008
vor42,35375.72094176259
vor43,821747.4146155816
vor44,3623602.2169411094
vor45,2553507.060558403
vor46,2626221.6116536693
vor47,482373.7534788467
vor48,2628594.2628072626
vor49,2051817.7090273043
vor50,761272.5840272709
vor51,77991.50259837271
vor52,3768332.907236823
vor53,7420583.365763611
vor54,1435214.5235409294
vor55,1502833.8996377378
vor56,1165145.4373857663
vor57,2996714.5600955184
vor58,3896091.137032098
vor59,944617.4202298917
vor60,723367.4435122062
vor61,922285.4506293416
vor62,804603.3468649857
vor63,1627077.8011426707
vor64,3539316.2132967412
vor65,7279912.986228164
vor66,1927436.2307456196
vor67,2855446.258748542
vor68,0.0
vor69,5007023.348472415
vor70,920212.7113746058
vor71,2461205.9043600135
vor72,3685302.7457867702
vor73,614651.4568737821
vor74,352155.27347114385
vor75,281088.0265925819
vor76,0.0
vor77,783.1555201821906
vor78,3810593.4188373853
vor79,4403281.77455215
vor80,1112452.9179486718
vor81,2787995.5826823907
vor82,1911980.8982665911
vor83,1967660.639386029
vor84,1491364.4475264507
vor85,781.1903371574963
vor86,0.0
vor87,4757.994956649077
vor88,6401771.698619052
vor89,2271603.156384778
vor90,902121.061224938
vor91,585618.2525797322
vor92,2656330.7714840677
vor93,92274.92333596661
vor94,1567.0561938961955
vor95,0.0
vor96,19536.837237579468
vor97,2712351.4328625286
vor98,6331532.308980391
vor99,935547.6064823874
vor100,964745.7450002811
vor101,2317956.510103895
vor102,702136.5872711458
vor103,17018.155166184602
vor104,2095.47959257755
vor105,20083.719397881257
vor106,3473318.6904916815
vor107,647013.9819649878
vor108,419786.1096973163
vor109,927250.0401412136
vor110,813942.5514733238
vor111,515020.06824636157
vor112,3464.2237412306345
vor113,74141.12300792566
vor114,52820.4027528823
vor115,3248742.826648684
vor116,970215.463245065
vor117,852804.2080648612
vor118,1469060.269157112
vor119,1864111.5197036339
vor120,388888.98721475917
vor121,15579.038027979577
vor122,8350.043923705529
vor123,76109.84946941023
vor124,310573.4425173427
vor125,2152589.312961941
vor126,1344106.8948702465
vor127,3892578.518032775
vor128,3021519.423870361
vor129,1668240.9915358047
vor130,1316122.3320354542
vor131,373839.6168365348
vor132,112937.36097596772
vor133,666385.5559246261
vor134,1156455.522038077
vor135,342145.7243233862
vor136,31928.558330240292
vor137,3782473.9477028963
vor138,1267268.607940826
vor139,97686.96160379869
vor140,2410916.7596103954
vor141,5426358.658429956
vor142,3030181.389805937
vor143,1968715.4984366596
vor144,1703626.4290991144
vor145,748740.9769251174
vor146,198478.450156949
vor147,121341.46616564348
vor148,221269.18678330028
vor149,658831.7310102311
vor150,159553.7230781026
vor151,57836.303668932014
vor152,1.1748767225320873
vor153,2165501.5465612244
vor154,781576.945679013
vor155,664370.6793894887
vor156,3511683.2163978135
vor157,4392132.686869648
vor158,2685557.7984006796
vor159,5463862.7413874315
vor160,6214351.711685046
vor161,2627050.5859907405
vor162,6477471.302439629
vor163,6682460.342609674
vor164,402005.0363285681
vor165,328072.1237461151
vor166,654738.7375634753
vor167,600952.3020449958
vor168,308290.5861189508
vor169,172081.4518745236
vor170,26257.46959887945
vor171,19763.291267013123
vor172,1078036.4679038029
vor173,1430887.832888943
vor174,6411684.196955154
vor175,11229953.52919105
vor176,1930051.5443257429
vor177,2097836.3445894937
vor178,4332042.491387791
vor179,3234818.4825071273
vor180,1859320.2764859884
vor181,2851057.301081046
vor182,5418432.7334726015
vor183,5510470.060632435
vor184,3936904.031481944
vor185,6487724.642985266
vor186,3499711.529825594
vor187,884540.6076101146
vor188,641637.4201902957
vor189,827981.316609602
vor190,332526.9200948531
vor191,91980.58890490881
vor192,142780.35158100503
vor193,0.0
vor194,2874543.8865830298
vor195,3193226.213270369
vor196,5342437.488947733
vor197,4706503.236146651
vor198,5004860.341827732
vor199,3266892.0449457034
vor200,3286449.3749257494
vor201,3910130.544055205
vor202,1285737.0170367232
vor203,872649.231136472
vor204,3868061.332985433
vor205,9734610.931097163
vor206,3304334.2210643864
vor207,4344384.210429227
vor208,860136.614125882
vor209,793806.7859730128
vor210,6289901.983760132
vor211,10598775.029132294
vor212,873046.7340211922
vor213,103622.81311615917
vor214,72590.36808825255
vor215,56948.528857991456
vor216,4647796.782097036
vor217,1448338.7223002228
vor218,1425033.2939441903
vor219,5350571.699607132
vor220,5246413.387554886
vor221,6348021.044019292
vor222,2863724.688789911
vor223,1523338.1907771823
vor224,2038584.247675351
vor225,4319413.220883445
vor226,7447834.353723204
vor227,3470824.859449618
vor228,1883686.5070448334
vor229,1811778.9593484255
vor230,3390684.4966454897
vor231,2724100.2950734138
vor232,7783204.376099315
vor233,927303.4253047501
vor234,36593.568566330745
vor235,74112.85107246655
vor236,22851.999680962166
vor237,2246819.033374696
vor238,1402794.286552054
vor239,1439362.9775840596
vor240,4050580.9265965554
vor241,4590484.217176364
vor242,2780958.0837421445
vor243,1498929.6740035177
vor244,2222262.3944713036
vor245,1422537.5558812465
vor246,2985704.682566845
vor247,6364210.275914618
vor248,3616523.702335622
vor249,3932093.891708406
vor250,3245955.9475911018
vor251,1896789.864434611
vor252,2938653.72823193
vor253,3350052.896982089
vor254,1298395.7308148658
vor255,454603.47054646286
vor256,290513.26756691583
vor257,3780399.4933145116
vor258,704776.2257261839
vor259,1409294.0941323875
vor260,4554140.033373167
vor261,1123807.0234503336
vor262,386319.9194545884
vor263,1075735.9734719952
vor264,4626721.9367851615
vor265,1988078.1756807594
vor266,6566828.09893057
vor267,4136498.132168095
vor268,803390.087399086
vor269,1446613.1704973064
vor270,3540584.9570474625
vor271,3027818.0594605985
vor272,1103702.6021165291
vor273,402716.7997066865
vor274,373477.2904703536
vor275,921737.287639294
vor276,3707806.0352966017
vor277,3438033.6045696465
vor278,1494722.6005203263
vor279,4402505.183969986
vor280,3750721.1443863227
vor281,559479.1593947752
vor282,1816075.4716272978
vor283,4763964.480098921
vor284,3160638.182778531
vor285,1232308.3650980832
vor286,1217621.5036087385
vor287,3222333.9137588507
vor288,1818757.1567807659
vor289,2563483.571364139
vor290,33198.63714349977
vor291,1908159.6393448624
vor292,1422902.4387482472
vor293,614672.5430714375
vor294,4330894.539117811
vor295,1863165.8420441316
vor296,5398135.890523314
vor297,4529856.901640954
vor298,1700693.2269847875
vor299,4029884.3957368415
vor300,2142253.6617797767
vor301,1690390.4760147664
vor302,1754307.1701295988
vor303,2366127.0245853346
vor304,0.0
vor305,1713729.003953115
vor306,4375798.719459929
vor307,1315319.8771756024
vor308,2259807.7178342817
vor309,899423.3166786947
vor310,896418.6516111575
vor311,1316769.0858521534
vor312,8.872036995842258
vor313,88318.58617388862
vor314,495079.694540011
vor315,1065817.0664823516
vor316,689032.2599455413
vor317,91474.37950960739
vor318,32.05268225958442
vor319,9.145288845964297
vor320,1423538.0371787306
vor321,1141760.4628306155
vor322,677563.2169595234
vor323,4.0780464328486445
vor324,342484.0294568747
vor325,621879.3528978205
vor326,0.0
vor327,5137.871864326467
