,0
vor0,27951.611042611763
vor1,1025603.0177198095
vor2,330724.1830369752
vor3,34738.66617828273
vor4,567801.9252527569
vor5,173447.34557853837
vor6,100240.48276375361
vor7,97373.74846836076
vor8,0.0
vor9,157.82395356304121
vor10,8360.50230861661
vor11,428882.0733034202
vor12,293691.980960676
vor13,203226.88527469692
vor14,49480.23255464945
vor15,41160.48680568999
vor16,625308.6177518402
vor17,56417.39774427718
vor18,876543.7670623199
vor19,171799.91207650292
vor20,127341.15455638226
vor21,2580167.672139694
vor22,0.0
vor23,134604.72383193983
vor24,1428987.5369056724
vor25,375107.8124548037
vor26,109036.90817786289
vor27,9686562.328406375
vor28,49213.644027106835
vor29,142146.62111767643
vor30,141332.74562334592
vor31,489149.3351908837
vor32,13750.239016483907
vor33,222880.5234254872
vor34,2851198.6251697573
vor35,156787.33545744955
vor36,630965.4303691788
vor37,97373.74846836076
vor38,1178866.6414125983
vor39,171981.18396853402
vor40,1167462.3178807802
vor41,2383372.3262008047
vor42,532964.9837371694
vor43,1046253.3494285992
vor44,184465.0175645787
vor45,20733.04249298709
vor46,0.0
vor47,0.0
vor48,90348.76035008265
vor49,219704.47538911822
vor50,3420501.2475763503
vor51,3540655.8836425315
vor52,559675.8147302425
vor53,172726.87217797886
vor54,0.0
vor55,23445.779325882035
vor56,84191.79047461358
vor57,462907.89545267745
vor58,565036.6528901715
vor59,20738.543014797902
vor60,811942.2247465476
vor61,65692.90250738246
vor62,0.0
vor63,621389.6602447511
vor64,47430.51434796788
vor65,126601.19361303646
vor66,909959.8916860905
vor67,1958289.2914430446
vor68,388124.60838319606
vor69,27777.55487583334
vor70,0.0
vor71,0.0
vor72,112125.88323382246
vor73,615071.1962421549
vor74,0.0
vor75,310727.8755771926
vor76,2553139.7937999596
vor77,2722729.5833956795
vor78,361697.98600154655
vor79,284799.79728366004
vor80,0.0
vor81,0.0
vor82,1739067.7552547888
vor83,3772500.0039507593
vor84,1975719.678571249
vor85,1990026.7329489253
vor86,2907629.296399249
vor87,5938266.7816012725
vor88,4057310.0335512203
vor89,41391.04432651345
vor90,1220114.9967527357
vor91,743359.5571498309
vor92,701815.0405172652
vor93,2849400.5227046646
vor94,4355076.667932247
vor95,1734682.0843481445
vor96,1950865.9369441697
vor97,3845964.848380573
vor98,3720746.4466794226
vor99,2045088.3358675672
vor100,1235483.7987916416
vor101,2036085.6972772635
vor102,949490.454843483
vor103,3859315.069639672
vor104,2556011.309033864
vor105,896874.6753891351
vor106,546344.1876586826
vor107,204821.883132305
vor108,3143456.1505661407
vor109,4767809.792010014
vor110,1355436.5543771584
vor111,2026308.9635645228
vor112,5552518.271702376
vor113,5346686.287726714
vor114,7505451.617988404
vor115,3064843.213202941
vor116,1798350.3380662103
vor117,904171.373004772
vor118,199624.57623283495
vor119,1579231.7494575428
vor120,1484618.3402071847
vor121,6020303.282404511
vor122,2963313.57151349
vor123,3333167.1855279407
vor124,5836562.625067501
vor125,8176964.742412754
vor126,10195043.804530108
vor127,8428538.501132999
vor128,2589287.657396268
vor129,1424891.9192600087
vor130,1359053.0374520896
vor131,66943.42756543969
vor132,1499038.8855414414
vor133,2983241.057485196
vor134,1.0359532510010344e-244
vor135,102.61820010853636
vor136,4119914.0520697786
vor137,4090950.9413664485
vor138,6793986.111478366
vor139,6908831.458964313
vor140,8392391.11465534
vor141,8833362.19602731
vor142,10724345.308712011
vor143,8150348.17241745
vor144,4942358.061995718
vor145,3430286.151436019
vor146,409120.28609371
vor147,77979.24831687972
vor148,175879.20105176937
vor149,1773544.2952946436
vor150,6.609356115557971e-245
vor151,119.06099684058968
vor152,122.13652424945911
vor153,72.2746731467812
vor154,1.330579413495655e-10
vor155,1.7803758084759167e-10
vor156,8566072.886744333
vor157,7434716.621222252
vor158,8364734.578485548
vor159,10088339.976552643
vor160,8796124.499485267
vor161,3149659.426866117
vor162,463345.3396539494
vor163,1316379.8766317873
vor164,332997.2640163907
vor165,1100369.2894180368
vor166,3484731.5137851266
vor167,740130.7358010507
vor168,162.10111463439398
vor169,216.84417946438555
vor170,881809.7824640856
vor171,200.68459599147724
vor172,794.3377482042946
vor173,4051740.3183032316
vor174,6478782.729280216
