,0
vor0,253419.87104862317
vor1,142031.73992381393
vor2,61076.662104826166
vor3,2091390.3462944487
vor4,624630.0928740788
vor5,1820937.2194083296
vor6,85086.0877314864
vor7,6760116.77028796
vor8,2004330.2010357685
vor9,1875112.787604734
vor10,1427203.0312551907
vor11,4010342.8413255373
vor12,165240.89399779096
vor13,2354468.457534895
vor14,820061.1261857449
vor15,1366325.666577856
vor16,93502.2346185896
vor17,174327.8105131755
vor18,170487.15539556343
vor19,5120.22847328392
vor20,77061.38898886049
vor21,400565.4669232404
vor22,333987.2309130899
vor23,1103893.3005413117
vor24,724746.3824572909
vor25,1254136.5714740073
vor26,193765.88598494724
vor27,1501377.8995033435
vor28,141037.5641060335
vor29,1044698.4480788439
vor30,223955.07135447
vor31,772429.1816886367
vor32,272667.20892325527
vor33,33514.1762155306
vor34,1044251.770713191
vor35,543390.0556353974
vor36,1374112.9073041428
vor37,1596754.7829263024
vor38,2036120.6930799966
vor39,395763.8493537153
vor40,523599.2560803074
vor41,544188.798685315
vor42,340428.9815377619
vor43,219520.29778289408
vor44,33521.053203771124
vor45,74858.19528621431
vor46,4364656.96593825
vor47,5243681.538111901
vor48,2065693.809536513
vor49,3189893.3329739794
vor50,6005112.163682638
vor51,27261.10688512962
vor52,609219.6710648811
vor53,5905694.362411525
vor54,3529966.54253909
vor55,567527.2481837793
vor56,5636880.336094891
vor57,11094407.206788447
vor58,8638108.690154657
vor59,9455393.737864828
vor60,733962.0342903159
vor61,189511.69756870522
vor62,7475570.606510622
vor63,8812811.715240192
vor64,3070533.7006008564
vor65,652621.9562387528
vor66,2252379.39900314
vor67,7759346.292679764
vor68,12203375.936190581
vor69,7755880.654705984
vor70,7642773.652604268
vor71,10295995.94075899
vor72,5803124.302831266
vor73,100809.27018378423
vor74,2425725.3465452883
vor75,915890.4453259367
vor76,1747556.1989292593
vor77,3919188.254570114
vor78,7519003.490707493
vor79,15130277.046408156
vor80,12388895.17229783
vor81,9153731.900561279
vor82,7000418.334102583
vor83,10302481.311199069
vor84,1323719.0945695795
vor85,349573.27665911586
vor86,13449.785805448319
vor87,65912.69334599581
vor88,2943720.2123659486
vor89,4596783.632497759
vor90,2577253.491461459
vor91,5683275.454259432
vor92,6503050.175933572
vor93,8030168.048902558
vor94,8675425.499961212
vor95,9600202.922771884
vor96,8425245.240908077
vor97,9524967.087794498
vor98,11061762.356304167
vor99,6395090.122438774
vor100,5618960.795846512
vor101,41232.44290643827
vor102,255240.4066860646
vor103,101888.31036740562
vor104,4788141.206905049
vor105,4418528.225845679
vor106,7256779.804356892
vor107,7477156.684439019
vor108,8060092.567152854
vor109,7408673.067936303
vor110,9398782.111858655
vor111,5253454.579733966
vor112,9627569.02373672
vor113,13603597.081542218
vor114,8783177.801181708
