,0
vor0,114319868.4422869
vor1,79712995.25592603
vor2,529348.6692077379
vor3,22864882.435042582
vor4,117129457.67457587
vor5,84678974.02341178
vor6,59796489.24740758
vor7,0.0
vor8,75836665.23483779
vor9,252525015.04498976
vor10,55834753.219292074
vor11,124196545.32795255
vor12,36616951.807407655
vor13,14897448.817473628
vor14,0.0
vor15,77575661.27289103
vor16,129953939.64285927
vor17,149016896.759574
vor18,153648993.98862022
vor19,228722315.4677869
vor20,110980511.39498311
vor21,23470850.87310316
vor22,5095164.92610317
vor23,274028601.30934775
vor24,172943194.27708983
vor25,255603701.78649923
vor26,124184168.72380513
vor27,114446075.21705982
vor28,158263659.18457794
vor29,126136227.31093493
vor30,11862797.602017954
vor31,107279070.95447583
vor32,5076667.7837042315
vor33,86811666.1584452
vor34,189064901.65229872
vor35,220296555.16781473
vor36,210686039.72700658
vor37,50483390.68585153
vor38,31434337.048426434
vor39,158857983.792414
vor40,175891105.5818218
vor41,106320801.39757803
vor42,2122543.2565057552
vor43,49304844.8769349
vor44,217416133.0164666
vor45,153210423.6335042
vor46,157573296.69922012
vor47,28942425.2087308
vor48,157715655.7684357
vor49,123109062.54163823
vor50,45676355.04163626
vor51,4679490.155902362
vor52,226099974.43420935
vor53,445235001.9458165
vor54,86112871.41245578
vor55,90170033.97826427
vor56,69908726.24314596
vor57,179802873.6057311
vor58,233765468.22192594
vor59,56677045.2137935
vor60,43402046.61073238
vor61,55337127.037760496
vor62,48276200.81189915
vor63,97624668.06856024
vor64,212358972.79780445
vor65,436794779.17368984
vor66,115646173.84473719
vor67,171326775.52491248
vor68,0.0
vor69,300421400.90834486
vor70,55212762.68247635
vor71,147672354.26160082
vor72,221118164.74720615
vor73,36879087.412426926
vor74,21129316.408268627
vor75,16865281.595554914
vor76,0.0
vor77,46989.33121093142
vor78,228635605.13024318
vor79,264196906.47312894
vor80,66747175.0769203
vor81,167279734.96094343
vor82,114718853.89599548
vor83,118059638.36316177
vor84,89481866.85158704
vor85,46871.42022944978
vor86,0.0
vor87,285479.6973989445
vor88,384106301.91714305
vor89,136296189.38308668
vor90,54127263.67349629
vor91,35137095.154783934
vor92,159379846.28904405
vor93,5536495.400157996
vor94,94023.37163377169
vor95,0.0
vor96,1172210.2342547681
vor97,162741085.97175175
vor98,379891938.53882354
vor99,56132856.38894324
vor100,57884744.70001687
vor101,139077390.6062337
vor102,42128195.23626875
vor103,1021089.3099710762
vor104,125728.775554653
vor105,1205023.1638728753
vor106,208399121.42950085
vor107,38820838.91789927
vor108,25187166.581838984
vor109,55635002.40847281
vor110,48836553.088399425
vor111,30901204.09478169
vor112,207853.4244738381
vor113,4448467.38047554
vor114,3169224.1651729383
vor115,194924569.59892106
vor116,58212927.7947039
vor117,51168252.48389167
vor118,88143616.14942674
vor119,111846691.18221802
vor120,23333339.23288555
vor121,934742.2816787746
vor122,501002.63542233175
vor123,4566590.968164612
vor124,18634406.551040567
vor125,129155358.7777165
vor126,80646413.69221482
vor127,233554711.08196646
vor128,181291165.43222162
vor129,100094459.4921483
vor130,78967339.92212725
vor131,22430377.01019209
vor132,6776241.658558061
vor133,39983133.355477564
vor134,69387331.32228462
vor135,20528743.459403172
vor136,1915713.499814417
vor137,226948436.86217377
vor138,76036116.47644958
vor139,5861217.696227922
vor140,144655005.57662368
vor141,325581519.5057974
vor142,181810883.38835627
vor143,118122929.90619957
vor144,102217585.74594687
vor145,44924458.61550703
vor146,11908707.009416942
vor147,7280487.969938609
vor148,13276151.206998019
vor149,39529903.860613875
vor150,9573223.384686155
vor151,3470178.2201359207
vor152,70.49260335192524
vor153,129930092.79367346
vor154,46894616.74074078
vor155,39862240.76336933
vor156,210700992.98386884
vor157,263527961.21217892
vor158,161133467.90404078
vor159,327831764.48324597
vor160,372861102.7011028
vor161,157623035.15944445
vor162,388648278.14637774
vor163,400947620.5565803
vor164,24120302.179714084
vor165,19684327.424766906
vor166,39284324.25380851
vor167,36057138.12269975
vor168,18497435.16713705
vor169,10324887.112471415
vor170,1575448.1759327669
vor171,1185797.4760207878
vor172,64682188.07422815
vor173,85853269.97333658
vor174,384701051.81730926
vor175,673797211.7514628
vor176,115803092.65954457
vor177,125870180.67536965
vor178,259922549.48326746
vor179,194089108.95042765
vor180,111559216.58915928
vor181,171063438.0648628
vor182,325105964.0083561
vor183,330628203.63794607
vor184,236214241.8889167
vor185,389263478.579116
vor186,209982691.7895356
vor187,53072436.45660688
vor188,38498245.21141775
vor189,49678878.996576115
vor190,19951615.20569119
vor191,5518835.33429453
vor192,8566821.0948603
vor193,0.0
vor194,172472633.19498175
vor195,191593572.7962221
vor196,320546249.33686393
vor197,282390194.1687991
vor198,300291620.50966394
vor199,196013522.69674215
vor200,197186962.495545
vor201,234607832.64331225
vor202,77144221.0222034
vor203,52358953.868188314
vor204,232083679.97912595
vor205,584076655.8658297
vor206,198260053.2638632
vor207,260663052.62575358
vor208,51608196.84755293
vor209,47628407.15838075
vor210,377394119.025608
vor211,635926501.7479376
vor212,52382804.04127153
vor213,6217368.786969551
vor214,4355422.085295153
vor215,3416911.7314794874
vor216,278867806.9258222
vor217,86900323.33801337
vor218,85501997.6366514
vor219,321034301.9764279
vor220,314784803.2532933
vor221,380881262.6411574
vor222,171823481.32739463
vor223,91400291.44663095
vor224,122315054.86052105
vor225,259164793.25300667
vor226,446870061.22339225
vor227,208249491.56697705
vor228,113021190.42269
vor229,108706737.56090555
vor230,203441069.79872942
vor231,163446017.70440486
vor232,466992262.56595886
vor233,55638205.518285
vor234,2195614.1139798444
vor235,4446771.064347993
vor236,1371119.98085773
vor237,134809142.0024818
vor238,84167657.19312325
vor239,86361778.65504354
vor240,243034855.59579328
vor241,275429053.03058183
vor242,166857485.02452868
vor243,89935780.44021106
vor244,133335743.66827828
vor245,85352253.35287479
vor246,179142280.9540107
vor247,381852616.55487704
vor248,216991422.14013728
vor249,235925633.5025044
vor250,194757356.85546607
vor251,113807391.86607663
vor252,176319223.6939158
vor253,201003173.81892532
vor254,77903743.84889194
vor255,27276208.232787777
vor256,17430796.054014947
vor257,226823969.59887064
vor258,42286573.543571025
vor259,84557645.64794324
vor260,273248402.00238997
vor261,67428421.40702
vor262,23179195.1672753
vor263,64544158.4083197
vor264,277603316.20710975
vor265,119284690.5408456
vor266,394009685.93583417
vor267,248189887.9300857
vor268,48203405.243945174
vor269,86796790.22983836
vor270,212435097.42284775
vor271,181669083.5676359
vor272,66222156.126991734
vor273,24163007.98240119
vor274,22408637.42822121
vor275,55304237.25835763
vor276,222468362.1177961
vor277,206282016.27417877
vor278,89683356.03121957
vor279,264150311.03819913
vor280,225043268.66317934
vor281,33568749.56368651
vor282,108964528.29763788
vor283,285837868.80593526
vor284,189638290.9667119
vor285,73938501.90588501
vor286,73057290.21652432
vor287,193340034.825531
vor288,109125429.40684597
vor289,153809014.28184834
vor290,1991918.2286099861
vor291,114489578.36069176
vor292,85374146.32489483
vor293,36880352.58428625
vor294,259853672.3470687
vor295,111789950.52264789
vor296,323888153.43139875
vor297,271791414.0984573
vor298,102041593.61908728
vor299,241793063.74421048
vor300,128535219.7067866
vor301,101423428.56088597
vor302,105258430.20777597
vor303,141967621.47512004
vor304,0.0
vor305,102823740.23718688
vor306,262547923.16759562
vor307,78919192.63053615
vor308,135588463.0700569
vor309,53965399.00072167
vor310,53785119.096669465
vor311,79006145.1511292
vor312,532.3222197505355
vor313,5299115.170433315
vor314,29704781.672400672
vor315,63949023.9889411
vor316,41341935.596732475
vor317,5488462.770576443
vor318,1923.1609355750652
vor319,548.7173307578578
vor320,85412282.23072384
vor321,68505627.76983692
vor322,40653793.01757141
vor323,244.68278597091873
vor324,20549041.767412484
vor325,37312761.17386924
vor326,0.0
vor327,308272.31185958814
