,0
vor0,15486769.897415873
vor1,8679717.439788632
vor2,3732462.6841838183
vor3,127807187.8291053
vor4,38171839.0089715
vor5,111279496.74162014
vor6,5199705.361368609
vor7,413118247.07315344
vor8,122486845.61885247
vor9,114590225.9091782
vor10,87217963.02115054
vor11,245076506.9698938
vor12,10098054.633198336
vor13,143884183.5160213
vor14,50114846.60023993
vor15,83497679.62420236
vor16,5714025.44891381
vor17,10653366.198027382
vor18,10418659.496395543
vor19,312902.85114512854
vor20,4709307.104874805
vor21,24479000.75642022
vor22,20410330.778022166
vor23,67460146.14419124
vor24,44290056.70572333
vor25,76641679.367856
vor26,11841248.587968994
vor27,91750871.63631544
vor28,8618962.25092427
vor29,63842682.93815154
vor30,13686143.249439823
vor31,47204005.54763893
vor32,16662996.100865597
vor33,2048088.5465046486
vor34,63815385.98802838
vor35,33207170.0666076
vor36,83973566.55747534
vor37,97579458.95660736
vor38,124429597.91044427
vor39,24185568.571615927
vor40,31997732.316018812
vor41,33255982.14188037
vor42,20803993.316196583
vor43,13415129.308954652
vor44,2048508.806897125
vor45,4574667.489713095
vor46,266729036.80733746
vor47,320447205.1068386
vor48,126236843.91612022
vor49,194937925.90396523
vor50,366979076.6694948
vor51,1665956.5318690322
vor52,37230091.00952051
vor53,360903544.36959326
vor54,215720177.59961116
vor55,34682220.722342074
vor56,344476020.53913254
vor57,677991551.5259614
vor58,527884419.9538957
vor59,577829617.3139614
vor60,44853235.4288526
vor61,11581270.406976424
vor62,456840425.953427
vor63,538560715.9313452
vor64,187643726.1478302
vor65,39882452.881257154
vor66,137645407.71685866
vor67,474182273.44154125
vor68,745761862.7672025
vor69,473970484.45425445
vor70,467058389.88137186
vor71,629199751.9352713
vor72,354635374.06191057
vor73,6160566.511231254
vor74,148238771.17776766
vor75,55971082.769918345
vor76,106795101.04567702
vor77,239505948.89039612
vor78,459494657.765458
vor79,924628041.724942
vor80,757099149.4182005
vor81,559394727.256523
vor82,427803342.6396022
vor83,629596080.1288319
vor84,80893944.66814104
vor85,21362811.351390395
vor86,821931.3547773965
vor87,4027997.9266997455
vor88,179894012.97791913
vor89,280914555.3193075
vor90,157498824.47820032
vor91,347311277.7602988
vor92,397408621.8626071
vor93,490732491.87737846
vor94,530164891.66429603
vor95,586679067.5027267
vor96,514876098.0554935
vor97,582081322.0318863
vor98,675996588.4408103
vor99,390811063.0379252
vor100,343380937.5239533
vor101,2519760.3998378953
vor102,15598024.853037296
vor103,6226507.855785895
vor104,292608629.31086415
vor105,270021169.357236
vor106,443469876.932921
vor107,456937352.9379399
vor108,492561212.4371189
vor109,452752243.04055166
vor110,574370017.9469181
vor111,321044446.5392981
vor112,588351440.3394663
vor113,831330932.7609125
vor114,536749754.51665986
vor115,458024610.4646537
vor116,465148971.6659065
