,0
vor0,2286397.3688457385
vor1,1594259.9051185206
vor2,10586.973384154757
vor3,457297.6487008518
vor4,2342589.1534915175
vor5,1693579.4804682354
vor6,1195929.7849481518
vor7,0.0
vor8,1516733.3046967557
vor9,5050500.300899795
vor10,1116695.0643858416
vor11,2483930.9065590505
vor12,732339.036148153
vor13,297948.9763494725
vor14,0.0
vor15,1551513.2254578206
vor16,2599078.792857185
vor17,2980337.93519148
vor18,3072979.8797724047
vor19,4574446.309355738
vor20,2219610.227899662
vor21,469417.0174620632
vor22,101903.29852206339
vor23,5480572.026186956
vor24,3458863.885541797
vor25,5112074.035729983
vor26,2483683.374476103
vor27,2288921.5043411963
vor28,3165273.1836915594
vor29,2522724.5462186984
vor30,237255.95204035903
vor31,2145581.4190895166
vor32,101533.35567408464
vor33,1736233.3231689038
vor34,3781298.033045975
vor35,4405931.103356296
vor36,4213720.794540131
vor37,1009667.8137170306
vor38,628686.7409685288
vor39,3177159.675848281
vor40,3517822.1116364365
vor41,2126416.0279515604
vor42,42450.865130115104
vor43,986096.897538698
vor44,4348322.660329331
vor45,3064208.472670084
vor46,3151465.933984403
vor47,578848.504174616
vor48,3154313.1153687146
vor49,2462181.250832765
vor50,913527.1008327252
vor51,93589.80311804723
vor52,4521999.488684188
vor53,8904700.038916333
vor54,1722257.4282491151
vor55,1803400.6795652853
vor56,1398174.5248629192
vor57,3596057.472114622
vor58,4675309.364438519
vor59,1133540.90427587
vor60,868040.9322146475
vor61,1106742.54075521
vor62,965524.0162379829
vor63,1952493.361371205
vor64,4247179.455956088
vor65,8735895.583473798
vor66,2312923.4768947437
vor67,3426535.5104982504
vor68,0.0
vor69,6008428.018166897
vor70,1104255.2536495267
vor71,2953447.0852320166
vor72,4422363.294944124
vor73,737581.7482485387
vor74,422586.32816537266
vor75,337305.63191109826
vor76,0.0
vor77,939.7866242186284
vor78,4572712.102604863
vor79,5283938.129462579
vor80,1334943.5015384064
vor81,3345594.6992188687
vor82,2294377.0779199093
vor83,2361192.7672632355
vor84,1789637.3370317407
vor85,937.4284045889955
vor86,0.0
vor87,5709.593947978891
vor88,7682126.038342862
vor89,2725923.7876617336
vor90,1082545.2734699256
vor91,702741.9030956787
vor92,3187596.925780882
vor93,110729.90800315993
vor94,1880.467432675434
vor95,0.0
vor96,23444.204685095363
vor97,3254821.7194350353
vor98,7597838.770776471
vor99,1122657.127778865
vor100,1157694.8940003372
vor101,2781547.8121246737
vor102,842563.904725375
vor103,20421.786199421527
vor104,2514.57551109306
vor105,24100.46327745751
vor106,4167982.428590018
vor107,776416.7783579853
vor108,503743.3316367798
vor109,1112700.048169456
vor110,976731.0617679885
vor111,618024.0818956338
vor112,4157.068489476762
vor113,88969.34760951079
vor114,63384.48330345876
vor115,3898491.3919784217
vor116,1164258.5558940782
vor117,1023365.0496778336
vor118,1762872.3229885348
vor119,2236933.8236443605
vor120,466666.784657711
vor121,18694.84563357549
vor122,10020.052708446636
vor123,91331.81936329225
vor124,372688.1310208113
vor125,2583107.17555433
vor126,1612928.273844296
vor127,4671094.221639329
vor128,3625823.3086444335
vor129,2001889.1898429657
vor130,1579346.7984425449
vor131,448607.54020384175
vor132,135524.83317116124
vor133,799662.6671095514
vor134,1387746.6264456925
vor135,410574.8691880634
vor136,38314.26999628834
vor137,4538968.737243475
vor138,1520722.3295289911
vor139,117224.35392455843
vor140,2893100.1115324744
vor141,6511630.390115947
vor142,3636217.6677671243
vor143,2362458.5981239914
vor144,2044351.714918938
vor145,898489.1723101409
vor146,238174.14018833876
vor147,145609.7593987722
vor148,265523.02413996035
vor149,790598.0772122773
vor150,191464.46769372313
vor151,69403.56440271842
vor152,1.409852067038505
vor153,2598601.8558734693
vor154,937892.3348148154
vor155,797244.8152673866
vor156,4214019.859677377
vor157,5270559.224243578
vor158,3222669.3580808155
vor159,6556635.2896649195
vor160,7457222.054022054
vor161,3152460.703188888
vor162,7772965.562927556
vor163,8018952.411131607
vor164,482406.0435942818
vor165,393686.5484953382
vor166,785686.4850761703
vor167,721142.7624539948
vor168,369948.70334274106
vor169,206497.7422494283
vor170,31508.96351865534
vor171,23715.949520415754
vor172,1293643.7614845631
vor173,1717065.3994667316
vor174,7694021.036346187
vor175,13475944.235029263
vor176,2316061.853190891
vor177,2517403.613507393
vor178,5198450.989665349
vor179,3881782.179008553
vor180,2231184.3317831857
vor181,3421268.7612972558
vor182,6502119.2801671205
vor183,6612564.0727589205
vor184,4724284.837778334
vor185,7785269.571582318
vor186,4199653.835790712
vor187,1061448.7291321377
vor188,769964.9042283549
vor189,993577.5799315225
vor190,399032.3041138238
vor191,110376.70668589059
vor192,171336.42189720602
vor193,0.0
vor194,3449452.663899636
