,0
vor0,2088642.1883452307
vor1,76636646.38285616
vor2,24712868.261653244
vor3,2595794.698065577
vor4,42428146.76759115
vor5,12960592.606971955
vor6,7490319.644234199
vor7,7276107.226101823
vor8,0.0
vor9,11793.158084543998
vor10,624725.9884560378
vor11,32047569.30686004
vor12,21945692.53550386
vor13,15185824.020791981
vor14,3697336.122959923
vor15,3075655.6072611404
vor16,46725248.06463887
vor17,4215705.381192939
vor18,65498417.56979277
vor19,12837490.610825872
vor20,9515376.674123844
vor21,192799157.2585907
vor22,0.0
vor23,10058135.987845322
vor24,106778949.22230713
vor25,28029368.363655765
vor26,8147619.332561014
vor27,723813833.4245626
vor28,3677415.6953070946
vor29,10621692.94444227
vor30,10560877.31950647
vor31,36550950.008684695
vor32,1027465.9756060852
vor33,16654412.63751367
vor34,213051538.48924747
vor35,11715698.352250202
vor36,47147944.898324996
vor37,7276107.226101823
vor38,88089040.66150501
vor39,12851035.880924264
vor40,87236869.69998942
vor41,178093920.36289462
vor42,39825008.59242664
vor43,78179711.42996733
vor44,13783871.611974992
vor45,1549245.4863367677
vor46,0.0
vor47,0.0
vor48,6751175.531320751
vor49,16417087.21427209
vor50,255591822.59957182
vor51,264570197.46428022
vor52,41820935.353601255
vor53,12906756.313325236
vor54,0.0
vor55,1751950.675187055
vor56,6291105.197103845
vor57,34590097.80461743
vor58,42221515.940124474
vor59,1549656.5045744781
vor60,60671164.26739115
vor61,4908803.554921985
vor62,0.0
vor63,46432409.846077524
vor64,3544174.0059653805
vor65,9460084.203087242
vor66,67995387.33492759
vor67,146330228.51016492
vor68,29002028.905177835
vor69,2075636.102487751
vor70,0.0
vor71,0.0
vor72,8378438.3580113705
vor73,45960272.10556434
vor74,0.0
vor75,23218674.195058838
vor76,190779539.61022803
vor77,203451882.13539472
vor78,27027339.205981713
vor79,21281237.454685196
vor80,0.0
vor81,0.0
vor82,129949228.20293328
vor83,281894401.42724085
vor84,147632688.03064328
vor85,148701761.19850495
vor86,217268235.71170345
vor87,443728073.7340478
vor88,303176403.4764438
vor89,3092883.672008396
vor90,91171262.11313897
vor91,55546427.35282172
vor92,52442075.69305853
vor93,212917177.98094466
vor94,325426568.37397546
vor95,129621515.52598427
vor96,145775529.48541972
vor97,287383951.6790103
vor98,278027194.5263913
vor99,152816156.8459855
vor100,92319672.7816278
vor101,152143448.18753037
vor102,70949249.34358616
vor103,288381526.9280001
vor104,190994109.276816
vor105,67017614.18404265
vor106,40824749.527371176
vor107,15305007.842098085
vor108,234890043.48538807
vor109,356267431.68457913
vor110,101282962.43037942
vor111,151412896.43273106
vor112,414903595.22231275
vor113,399523109.11054766
vor114,560833608.7682543
vor115,229015809.7148838
vor116,134379030.2385028
vor117,67562848.96326104
vor118,14916646.883602258
vor119,118005722.53466311
vor120,110935877.5142021
vor121,449858128.1448886
vor122,221429159.60455975
vor123,249065915.87470394
vor124,436128383.2638761
vor125,611011419.2551724
vor126,761809348.6528275
vor127,629809890.8403219
vor128,193480634.47058162
vor129,106472910.34000364
vor130,101553198.70091926
vor131,5002247.163229907
vor132,112013431.1234791
vor133,222918211.08873755
vor134,7.741005203226306e-243
vor135,7667.991004597033
vor136,307854394.81077015
vor137,305690169.82822907
vor138,507670416.48628193
vor139,516252062.72944987
vor140,627108831.6319436
vor141,660059733.9248245
vor142,801360609.2332485
vor143,609022536.0055989
vor144,369310289.2157261
vor145,256322984.85633954
vor146,30570899.414009195
vor147,5826882.307491684
vor148,13142309.357738314
vor149,132525435.91867603
vor150,4.938742171142506e-243
vor151,8896.654314793934
vor152,9126.468484996289
vor153,5400.61648872759
vor154,9.942554988097034e-09
vor155,1.3303591048913608e-08
vor156,640086941.4081063
vor157,555548042.2864864
vor158,625042238.4706528
vor159,753836065.2370015
vor160,657277202.9331075
vor161,235353573.99768448
vor162,34622785.16608763
vor163,98364510.79797718
vor164,24882720.826641165
vor165,82223443.83421363
vor166,260391332.85204983
vor167,55305158.523006834
vor168,12112.762526891043
vor169,16203.355893725282
vor170,65891912.66801218
vor171,14995.855269301563
vor172,59355.696176702986
vor173,302760214.8629757
vor174,484117316.775338
vor175,384061250.6370535
vor176,187641135.9906448
vor177,122824688.91667883
vor178,162912040.85422567
vor179,83543685.14177461
vor180,390080869.51291513
vor181,304366103.8010922
vor182,26133692.205782615
vor183,290732523.5925724
vor184,27563344.97469951
vor185,612855.6650091414
vor186,3944865.8561511235
vor187,562252.2424557201
vor188,4.908747090718669e-42
vor189,14874.531407458766
vor190,12672.874937444996
vor191,12210.476807520627
vor192,72680983.5144179
vor193,55786738.32427644
vor194,437774605.88855654
vor195,367371885.54820746
vor196,78511630.47294046
vor197,175149753.83683777
vor198,260112084.27479145
vor199,430484245.15336674
vor200,366527029.01577896
vor201,228114908.82686353
vor202,92060414.98463148
vor203,86052743.04066798
vor204,18964579.61245486
vor205,25238274.091251493
vor206,63898101.050542824
vor207,12287918.388561063
vor208,82356029.9481494
vor209,26946156.30651361
vor210,53617560.23641645
vor211,7282356.550115579
vor212,7.673700224619189e-42
vor213,6.261224315908887e-42
vor214,389514887.7719575
vor215,339169432.71335506
vor216,3.9810566897354156e-42
vor217,85029289.76598167
vor218,77049585.48954149
vor219,475857875.8393507
vor220,99391777.04731609
vor221,125977411.81968774
vor222,97528020.9264883
vor223,368390064.1880646
vor224,419817013.6484525
vor225,335448128.8943528
vor226,497733106.8882874
vor227,242821781.3672555
vor228,108610511.37752357
vor229,68083140.46197106
vor230,12831705.174591381
vor231,14932743.006793367
vor232,2704112.073186018
vor233,14210262.72475774
vor234,1607651.430278002
vor235,26588433.399033885
vor236,12496258.51462275
vor237,14402429.069031857
vor238,2.1297276756493547e-68
vor239,3.75868310497267e-42
vor240,5.072457177592231e-42
vor241,5.959009255152913e-42
vor242,6.385512990888414e-42
vor243,537664438.1567347
vor244,7110.264892787887
vor245,1875.0207318378239
vor246,239345773.7534754
vor247,289478161.1049945
vor248,115336862.83472736
vor249,100117101.66098596
vor250,83087507.88227646
vor251,559745409.7186481
vor252,568486823.2552627
vor253,529584775.5340952
vor254,1098587188.2733252
vor255,809795814.4889977
vor256,180235602.1605175
vor257,8375527.135942116
vor258,8369873.477804382
vor259,14668173.564632244
vor260,3740451.451865381
vor261,529060.4800183347
vor262,0.0
vor263,2704200.993511899
vor264,0.0
vor265,7214961.968201574
vor266,14333863.212443074
vor267,6.883596492315924e-50
vor268,2.966983195473236e-43
vor269,8.676395381709604e-289
vor270,3.0702935747787235e-52
vor271,7.196813800488438e-43
vor272,148580961.06320837
vor273,219287153.2933405
vor274,1719.0188562149433
vor275,381483245.95131844
vor276,73629120.76690236
vor277,60190038.57241304
vor278,22092.435910666252
vor279,26335.75921301474
vor280,75259584.60970509
vor281,66983167.18868035
vor282,538745673.6066095
vor283,603649872.7594293
vor284,810127403.4825698
vor285,381887065.30003387
vor286,88493755.03977424
vor287,49459259.23540566
vor288,51153419.08843075
vor289,4373281.757036509
vor290,11308091.144748075
vor291,32981608.80800005
vor292,4673961.466331992
vor293,0.0
vor294,3256694.479541864
vor295,17672135.63497418
vor296,12414405.28458294
vor297,4.840746367779748e-44
vor298,1.7996523933095004e-289
vor299,1.976184883108947e-52
vor300,1.4426842397549766e-51
vor301,303822832.84708285
vor302,13050775.317724787
vor303,1083.3598896194474
vor304,274180363.8740528
vor305,264447974.24440578
vor306,1699.883675876912
vor307,671.7147935191172
vor308,23985982.502428778
vor309,24908108.460435733
vor310,24251795.01153017
vor311,68423842.74675563
vor312,302607465.50039387
vor313,853677381.2616063
vor314,724127895.9911081
vor315,392646011.3784101
vor316,71996149.72111212
vor317,3742365.890429237
vor318,71424206.74866977
vor319,35768361.42813695
vor320,2042301.00289278
vor321,2042533.7156741805
vor322,14775758.46026675
vor323,34928735.780087866
vor324,10552835.79132334
vor325,51947423.081968315
vor326,1710968.6643619218
vor327,3.347511010779071e-289
vor328,313.2907007014229
vor329,334.0710538189983
vor330,1595.4190388444188
vor331,2325.8155975226396
vor332,816.2647635043669
vor333,945.8262830232502
vor334,57496794.64034423
vor335,1.1090459675726394e-51
vor336,1.1410648900524568e-51
vor337,81391989.27684206
vor338,22339408.485967163
vor339,19163663.09984009
vor340,14210793.680227268
vor341,55324656.395460255
vor342,51868989.8553198
vor343,359504455.9883129
vor344,250188272.46908206
vor345,54618862.822907306
vor346,111182658.91289572
vor347,1065967.089803055
vor348,0.0
