,0
vor0,6523215.199214559
vor1,3656002.194335209
vor2,1572158.5245501548
vor3,53833936.69165343
vor4,16078441.279536465
vor5,46872272.869955145
vor6,2190178.924940113
vor7,174010413.16111594
vor8,51592944.06369847
vor9,48266792.1253811
vor10,36737263.21193917
vor11,103229195.36004622
vor12,4253423.012165361
vor13,60605762.14765741
vor14,21108980.84070712
vor15,35170234.75080037
vor16,2406816.779997028
vor17,4487326.974320627
vor18,4388465.666663575
vor19,131798.4736641602
vor20,1983617.2350836305
vor21,10310851.83376489
vor22,8597078.721651759
vor23,28415031.254674517
vor24,18655508.733622856
vor25,32282404.33979389
vor26,4987677.435538455
vor27,38646579.264993444
vor28,3630411.3723590104
vor29,26891311.90425171
vor30,5764769.429309505
vor31,19882899.30642971
vor32,7018655.933394901
vor33,862679.7211034735
vor34,26879814.09798772
vor35,13987262.543207448
vor36,35370684.09542145
vor37,41101650.89384372
vor38,52411254.87742954
vor39,10187254.640771559
vor40,13477832.70280791
vor41,14007822.780973852
vor42,8762894.154397948
vor43,5650615.072559687
vor44,862856.7398748494
vor45,1926905.3971821838
vor46,112349503.3824847
vor47,134976246.99954706
vor48,53172488.801032454
vor49,82110217.27470052
vor50,154576035.3244237
vor51,701721.0846357438
vor52,15681765.607040465
vor53,152016947.47688925
vor54,90863953.59498776
vor55,14608571.758804686
vor56,145097475.31799817
vor57,285578259.58214736
vor58,222351316.28361055
vor59,243388838.80800194
vor60,18892726.43821368
vor61,4878171.474453708
vor62,192426724.87129185
vor63,226848301.55896056
vor64,79037811.92287393
vor65,16798972.577256795
vor66,57977914.15952527
vor67,199731321.2374978
vor68,314123936.13527596
vor69,199642113.14891332
vor70,196730655.13185045
vor71,265026562.17879638
vor72,149376718.16547143
vor73,2594905.2880640766
vor74,62439967.25366578
vor75,23575698.500056513
vor76,44983391.046512425
vor77,100882808.77504559
vor78,193544719.48302606
vor79,389464538.7871732
vor80,318899338.6943326
vor81,235623839.66259614
vor82,180195953.41486287
vor83,265193500.41790202
vor84,34073510.02688363
vor85,8998275.084373534
vor86,346207.4494365396
vor87,1696641.5509432254
vor88,75773538.79979022
vor89,118324615.72540522
vor90,66340413.946878284
vor91,146291720.0263077
vor92,167393328.6027345
vor93,206702473.85138062
vor94,223311878.6101128
vor95,247116334.49357274
vor96,216872053.4233747
vor97,245179708.37100646
vor98,284737956.94931096
vor99,164614356.8553685
vor100,144636213.07827133
vor101,1061353.6229620215
vor102,6570077.135067221
vor103,2622680.581679516
vor104,123250301.43700033
vor105,113736189.51713875
vor106,186794887.556594
vor107,192467551.6920415
vor108,207472753.11745316
vor109,190704732.67465666
vor110,241931613.62006548
vor111,135227812.33018917
vor112,247820758.20359322
vor113,350166665.61747545
vor114,226085502.6600476
vor115,192925517.74117225
vor116,195926385.0350335
vor117,272540076.8013013
vor118,132887419.06451109
vor119,14727687.59742686
vor120,11220272.561703268
vor121,11081472.318807995
vor122,9.18455491057015e-65
vor123,11719348.995853944
vor124,59098182.115049675
vor125,123462561.86089526
vor126,148566037.47924647
vor127,318493931.99763393
vor128,162169222.94860193
vor129,219113972.06995887
vor130,191499684.2199018
vor131,262960215.8376293
vor132,383539270.34251463
vor133,342169007.1000199
vor134,205652975.10483488
vor135,10700845.388684554
vor136,386995146.8600832
vor137,316294344.64813226
vor138,338373961.07679826
vor139,36191375.20471799
vor140,3.389723379808551e-64
vor141,3.5632849624829994e-64
vor142,2748226.1418907866
vor143,143284648.7298075
vor144,113619936.85433319
vor145,167869871.53506085
vor146,171968060.82034516
vor147,107309239.99730478
vor148,160051063.47047478
vor149,174327116.35933822
vor150,373445792.2802514
vor151,273985295.270537
vor152,520054057.41470355
vor153,227982648.0625598
vor154,530088007.91258717
vor155,365613690.838519
vor156,423909379.50286597
vor157,631556621.1821966
vor158,485020472.9520084
vor159,4.564896505135781e-63
vor160,48789470.72783401
vor161,14278131.439455738
vor162,108286287.47494999
vor163,179592387.50651783
vor164,420542779.198411
vor165,48716883.33545831
vor166,129612575.7438565
vor167,154839976.43382016
vor168,37806612.664983205
vor169,160130140.75951508
vor170,177945556.98853216
vor171,318666204.7063856
vor172,400173600.0165408
vor173,660456867.3735262
vor174,463884192.0874028
vor175,475961725.2849681
vor176,6.108505099553065
vor177,313714763.82508624
vor178,224633499.83557114
vor179,502380383.7617084
vor180,716119956.275527
vor181,604782507.8154062
vor182,339499207.882089
vor183,214172757.07058555
vor184,40060454.10878734
vor185,379583655.41040736
vor186,395489968.2966989
vor187,291271016.5327643
vor188,116811149.95521715
vor189,10500734.035385337
vor190,14373533.464940047
vor191,265433607.02994838
vor192,20555018.492275026
vor193,31639163.77607459
vor194,219391034.8179456
vor195,193351332.5564465
vor196,235674037.89948568
vor197,713901043.0890021
vor198,610108703.8593154
vor199,467188429.9021473
vor200,460666590.8442615
vor201,313145223.7783898
vor202,60004867.423913665
vor203,391602943.0414603
vor204,415651984.18073875
vor205,205147006.10580626
vor206,159598574.7373608
vor207,618458498.7929195
vor208,218805755.82909784
vor209,86996652.89375989
