,0
vor0,186344.07361741184
vor1,6837353.451465393
vor2,2204827.8869131696
vor3,231591.10785521823
vor4,3785346.1683517145
vor5,1156315.6371902563
vor6,668269.8850916906
vor7,649158.3231224052
vor8,0.0
vor9,1052.1596904202745
vor10,55736.68205744405
vor11,2859213.822022801
vor12,1957946.5397378413
vor13,1354845.9018313123
vor14,329868.21703099646
vor15,274403.2453712668
vor16,4168724.1183456006
vor17,376115.98496184824
vor18,5843625.113748798
vor19,1145332.7471766863
vor20,848941.0303758814
vor21,17201117.814264618
vor22,0.0
vor23,897364.8255462658
vor24,9526583.579371156
vor25,2500718.7496986915
vor26,726912.7211857527
vor27,64577082.189375825
vor28,328090.9601807122
vor29,947644.1407845101
vor30,942218.3041556402
vor31,3260995.5679392233
vor32,91668.26010989286
vor33,1485870.156169915
vor34,19007990.834465068
vor35,1045248.9030496636
vor36,4206436.202461195
vor37,649158.3231224052
vor38,7859110.942750655
vor39,1146541.2264568936
vor40,7783082.119205208
vor41,15889148.84133869
vor42,3553099.8915811256
vor43,6975022.329523997
vor44,1229766.7837638587
vor45,138220.28328658067
vor46,0.0
vor47,0.0
vor48,602325.0690005512
vor49,1464696.5025941215
vor50,22803341.650508996
vor51,23604372.557616863
vor52,3731172.09820162
vor53,1151512.481186526
vor54,0.0
vor55,156305.1955058802
vor56,561278.6031640908
vor57,3086052.6363511835
vor58,3766911.019267812
vor59,138256.9534319859
vor60,5412948.164976983
vor61,437952.68338255014
vor62,0.0
vor63,4142597.734965008
vor64,316203.42898645275
vor65,844007.9574202433
vor66,6066399.277907272
vor67,13055261.94295362
vor68,2587497.38922131
vor69,185183.69917222238
vor70,0.0
vor71,0.0
vor72,747505.8882254831
vor73,4100474.6416143673
vor74,0.0
vor75,2071519.1705146155
vor76,17020931.958666403
vor77,18151530.555971194
vor78,2411319.906676975
vor79,1898665.3152243998
vor80,0.0
vor81,0.0
vor82,11593785.035031917
vor83,25150000.026338376
vor84,13171464.523808327
vor85,13266844.886326162
vor86,19384195.309328344
vor87,39588445.21067511
vor88,27048733.55700814
vor89,275940.2955100897
vor90,8134099.9783515725
vor91,4955730.380998873
vor92,4678766.936781765
vor93,18996003.48469775
vor94,29033844.452881653
vor95,11564547.228987629
vor96,13005772.912961133
vor97,25639765.655870475
vor98,24804976.31119616
vor99,13633922.239117118
vor100,8236558.658610945
vor101,13573904.648515087
vor102,6329936.365623217
vor103,25728767.13093112
vor104,17040075.393559095
vor105,5979164.50259423
vor106,3642294.584391216
vor107,1365479.2208820332
vor108,20956374.337107584
vor109,31785398.61340011
vor110,9036243.69584773
vor111,13508726.423763476
vor112,37016788.478015825
vor113,35644575.251511425
vor114,50036344.11992266
vor115,20432288.088019613
vor116,11989002.253774736
vor117,6027809.153365149
vor118,1330830.5082188998
vor119,10528211.66305029
vor120,9897455.601381233
vor121,40135355.21603004
vor122,19755423.810089935
vor123,22221114.57018628
vor124,38910417.50045003
vor125,54513098.28275168
vor126,67966958.69686739
vor127,56190256.67422006
vor128,17261917.715975128
vor129,9499279.461733395
vor130,9060353.583013924
vor131,446289.5171029317
vor132,9993592.570276277
vor133,19888273.71656796
vor134,6.906355006673562e-244
vor135,684.121334056909
vor136,27466093.680465218
vor137,27273006.2757763
vor138,45293240.74318913
vor139,46058876.39309544
vor140,55949274.09770224
vor141,58889081.30684873
vor142,71495635.39141342
vor143,54335654.48278299
vor144,32949053.74663811
vor145,22868574.342906825
vor146,2727468.5739580663
vor147,519861.6554458647
vor148,1172528.0070117956
vor149,11823628.63529762
vor150,4.4062374103719803e-244
vor151,793.7399789372644
vor152,814.2434949963942
vor153,481.83115431187457
vor154,8.870529423304364e-10
vor155,1.1869172056506112e-09
vor156,57107152.57829556
vor157,49564777.474814996
vor158,55764897.18990366
vor159,67255599.84368432
vor160,58640829.99656849
vor161,20997729.512440752
vor162,3088968.9310263325
vor163,8775865.844211914
vor164,2219981.760109272
vor165,7335795.262786914
vor166,23231543.42523418
vor167,4934204.905340335
vor168,1080.6740975626267
vor169,1445.6278630959034
vor170,5878731.883093905
vor171,1337.8973066098483
vor172,5295.5849880286305
vor173,27011602.12202154
vor174,43191884.8618681
vor175,34265102.16142251
vor176,16740930.473303264
vor177,10958149.270966562
vor178,14534654.86022484
vor179,7453584.295672337
vor180,34802159.350639276
vor181,27154876.009801652
vor182,2331590.6819575364
vor183,25938517.89531863
vor184,2459141.165379235
vor185,54677.63784269347
vor186,351952.2767525057
vor187,50162.91150507287
vor188,4.379476457702111e-43
vor189,1327.0730578376374
vor190,1130.6460979601598
vor191,1089.3919512978025
vor192,6484437.888965
vor193,4977170.398636026
vor194,39057289.871254295
vor195,32776113.624229472
vor196,7004635.418316293
vor197,15626476.763308818
vor198,23206629.47983529
vor199,38406859.88132293
vor200,32700737.37799948
vor201,20351911.68734361
vor202,8213428.24676781
vor203,7677436.9366037
vor204,1691978.1852277857
vor205,2251703.4423031695
vor206,5700848.384954228
vor207,1096301.1192534124
vor208,7347624.304981768
vor209,2404076.946499606
vor210,4783641.088757586
vor211,649715.8741000572
vor212,6.8463069814140514e-43
vor213,5.586126965017544e-43
vor214,34751663.70146031
vor215,30259952.65775345
vor216,3.551811435231465e-43
vor217,7586126.680866111
vor218,6874194.972586184
vor219,42454995.66255835
vor220,8867516.285182456
vor221,11239428.291380806
vor222,8701236.053114753
vor223,32866953.288620006
vor224,37455152.890083484
vor225,29927946.095466055
vor226,44406655.78305535
vor227,21664026.58890076
vor228,9689991.536459722
vor229,6074228.419374007
vor230,1144816.5832489415
vor231,1332266.5690155327
vor232,241254.94641795414
vor233,1267808.4633553002
vor234,143431.13346389247
vor235,2372161.693529039
vor236,1114888.7682078064
vor237,1284953.1229834647
vor238,1.9000963065419303e-69
vor239,3.3534146017248746e-43
vor240,4.52553500545389e-43
vor241,5.316497318331057e-43
vor242,5.6970145939730096e-43
vor243,47969241.55052188
vor244,634.3622339979103
vor245,167.28523594775194
vor246,21353904.81586978
vor247,25826606.42621565
vor248,10290101.85603093
vor249,8932228.155870704
vor250,7412885.16142098
vor251,49939257.38819727
vor252,50719147.12549965
vor253,47248391.77790004
vor254,98013538.66596928
vor255,72248205.89770992
vor256,16080224.99252831
vor257,747246.1553796104
vor258,746741.7484045405
vor259,1308662.2638444065
vor260,333714.8720820289
vor261,47201.61528227465
vor262,0.0
vor263,241262.8796943406
vor264,0.0
vor265,643703.0773636538
vor266,1278835.8276903243
vor267,6.141393766123893e-51
vor268,2.647077312160006e-44
vor269,7.740889601698627e-290
vor270,2.739248565973454e-53
vor271,6.420839376568965e-44
vor272,13256067.363287358
vor273,19564318.7065092
vor274,153.36709086874458
vor275,34035098.23943657
vor276,6569028.614443142
vor277,5370023.186048324
vor278,1971.0386617186734
vor279,2349.618657013017
vor280,6714495.021302652
vor281,5976091.217243825
vor282,48065707.00515713
vor283,53856317.25544349
vor284,72277789.54021886
vor285,34071126.11575981
vor286,7895218.671646989
vor287,4412646.596651865
vor288,4563795.821796016
vor289,390174.60349613294
vor290,1008883.0822759573
vor291,2942546.7770560896
vor292,417000.5874759984
vor293,0.0
vor294,290555.1363615658
vor295,1576669.1691455015
vor296,1107586.002607516
vor297,4.3188077046142183e-45
vor298,1.6056103814043346e-290
vor299,1.763108795726394e-53
vor300,1.2871312265916248e-52
vor301,27106406.567207314
vor302,1164361.5407850968
vor303,96.65499248836832
vor304,24461770.52024112
vor305,23593468.070094243
vor306,151.6598920610744
vor307,59.928920152953296
vor308,2139976.734243651
vor309,2222246.7890966157
vor310,2163691.9431199324
vor311,6104625.129730521
vor312,26997974.15902013
vor313,76163223.01014364
vor314,64605102.16251788
vor315,35031015.68002406
vor316,6423338.520433819
vor317,333885.67409046774
vor318,6372311.023260552
vor319,3191174.731761788
vor320,182209.61472270216
vor321,182230.37684649296
vor322,1318260.7521944484
vor323,3116265.1735597267
vor324,941500.8566540458
vor325,4634635.11607529
vor326,152648.87041353
vor327,2.986575880294371e-290
vor328,27.951108964915207
vor329,29.805086478509896
vor330,142.3397863377376
vor331,207.50416483191643
vor332,72.82535133615498
vor333,84.38454585301875
vor334,5129737.871336427
vor335,9.894664800876378e-53
vor336,1.0180330602372821e-52
vor337,7261614.711367931
vor338,1993073.0130356003
vor339,1709739.9771882924
vor340,1267855.8340373896
vor341,4935944.462742808
vor342,4627637.475674172
vor343,32074198.819831952
vor344,22321248.763115477
vor345,4872975.1086924095
vor346,9919472.89634069
vor347,95103.2450481013
vor348,0.0
vor349,1392412.3460491397
vor350,215612.28465363695
vor351,169617.54531677777
vor352,32881.09949528245
vor353,0.0
vor354,0.0
vor355,390337.9978168613
vor356,0.0
vor357,0.0
vor358,2.4550473721958716e-13
vor359,58.691367481793925
vor360,64.100514834641
vor361,96.36883060794347
vor362,150.93011238606655
vor363,7862068.169008667
vor364,13760913.028003758
vor365,10027770.085399458
vor366,2982264.869388588
vor367,4442616.576648772
vor368,22501670.644440882
vor369,21986256.029519636
vor370,5682234.453977053
vor371,7755368.55352741
vor372,40988968.30438871
vor373,42647168.62738975
vor374,20816811.72902551
vor375,1655226.0202467993
vor376,1040553.9892668407
vor377,5889429.493132841
vor378,799149.7790928014
vor379,530907.5711332717
vor380,618879.7721517493
vor381,1464173.1963520045
vor382,232328.48889730367
vor383,115641.49422780606
vor384,236716.58784067346
vor385,646273.148717827
vor386,0.0
vor387,82472.96706847087
vor388,0.0
vor389,0.0
vor390,0.0
vor391,0.0
vor392,2.5853332864582095
vor393,137.25756883064236
vor394,131.04917394535988
vor395,101.71267473201578
vor396,9799342.568854777
vor397,17545379.08807222
vor398,27365128.16940834
vor399,387368.8028273607
vor400,2.2366075680062963e-185
vor401,3.3710465971940695e-289
vor402,12588107.904670758
vor403,11044579.945760585
vor404,8427620.134876803
vor405,44353492.21879982
vor406,38654571.34576967
vor407,17478277.826316368
vor408,1598089.6767794813
vor409,0.0
vor410,2308179.2279575034
vor411,8526109.057503657
vor412,19268584.636755835
vor413,1424149.083422646
vor414,2212530.4511947264
vor415,450721.5956803607
vor416,0.0
vor417,0.0
vor418,0.0
vor419,0.0
vor420,282549.84600867075
vor421,0.0
vor422,32881.24633235811
vor423,99043.92838796838
vor424,0.0
vor425,0.0
vor426,0.0
vor427,0.0
vor428,2.383917117174106e-14
vor429,60.112940675322704
vor430,108.62287635333693
vor431,22673271.762922555
vor432,1975287.5191426445
vor433,25494759.541389104
vor434,11686221.560811259
vor435,1130666.3260177048
vor436,9.771115447025631e-290
vor437,1.7763839616191458e-289
vor438,1452626.8928790665
vor439,1367465.172567647
vor440,570571.0416282123
vor441,3933736.7666801745
vor442,4042548.8338208864
vor443,3786868.739280054
vor444,2457316.5699143945
vor445,260162.1140311847
vor446,2464242.882832488
vor447,8053503.182579044
vor448,17368777.34182333
vor449,7356005.24815949
vor450,4006373.094781449
vor451,148921.3564853269
vor452,0.0
vor453,0.0
vor454,0.0
vor455,0.0
vor456,0.0
vor457,99051.43335010653
vor458,1341132.6759874648
vor459,416993.82272973435
vor460,132282.4391895348
vor461,32882.68417787732
vor462,0.0
vor463,32882.68417787732
vor464,0.0
vor465,0.0
vor466,115550.39170248804
vor467,115537.20888163593
vor468,0.4215349072123103
vor469,0.0
vor470,29276760.867153287
vor471,4574801.291919339
vor472,22519025.20561248
vor473,23327939.472204175
vor474,13731840.971645556
vor475,27947277.589526806
vor476,16608762.778828284
vor477,1.4273734585821328e-289
vor478,1484996.652480596
vor479,1987678.2813627126
vor480,324221.66613036714
vor481,996833.2762417773
vor482,120255.47705859556
vor483,1584502.4128856612
vor484,51975.12253710321
vor485,2715679.192234933
vor486,3348787.366218762
vor487,2287980.712222199
vor488,3570030.061050504
vor489,4296436.219858656
vor490,2020083.3863806298
vor491,520089.3193913596
vor492,182230.37684649296
vor493,307007.4698065812
vor494,0.0
vor495,0.0
vor496,0.0
vor497,0.0
vor498,0.0
vor499,65916.13075726625
vor500,392754.3507150723
vor501,49384.28150718969
vor502,0.0
vor503,0.0
