,0
vor0,6985879.899377816
vor1,3915307.323382915
vor2,1683665.2325394407
vor3,57652155.379433386
vor4,17218818.683394745
vor5,50196729.50844817
vor6,2345519.2662695353
vor7,186352252.75582454
vor8,55252218.4041563
vor9,51690156.2525097
vor10,39342885.49323638
vor11,110550815.64402819
vor12,4555100.731279686
vor13,64904278.433857456
vor14,22606153.629456077
vor15,37664714.178308696
vor16,2577522.3492382965
vor17,4805594.534979744
vor18,4699721.403265378
vor19,141146.39481003088
vor20,2124307.0092641776
vor21,11042157.949906953
vor22,9206833.992259996
vor23,30430392.01069497
vor24,19978666.883559976
vor25,34572061.88876115
vor26,5341432.786964279
vor27,41387621.444642246
vor28,3887901.450145185
vor29,28798601.542753153
vor30,6173640.704910354
vor31,21293111.19811973
vor32,7516460.19767307
vor33,923866.0291298144
vor34,28786288.244599767
vor35,14979321.280045819
vor36,37879380.56668726
vor37,44016821.15977397
vor38,56128568.62264604
vor39,10909794.518718053
vor40,14433759.686030207
vor41,15001339.770522116
vor42,9384410.02850172
vor43,6051389.851321937
vor44,924055.6031112031
vor45,2063572.8350336258
vor46,120317989.42939687
vor47,144549554.47754133
vor48,56943793.72303253
vor49,87933955.70667997
vor50,165539474.80200046
vor51,751491.2616583133
vor52,16794008.44451198
vor53,162798881.4275882
vor54,97308558.37373772
vor55,15644697.391056476
vor56,155388639.69971728
vor57,305833145.52529764
vor58,238121776.39224637
vor59,260651403.46227604
vor60,20232709.459754165
vor61,5224160.020538279
vor62,206074757.35942626
vor63,242937714.25163937
vor64,84643637.33842345
vor65,17990454.28882796
vor66,62090048.04619168
vor67,213897438.56330398
vor68,336403448.9656401
vor69,213801903.3136039
vor70,210683947.60953188
vor71,283823801.14471465
vor72,159971391.56053588
vor73,2778951.1980010597
vor74,66868576.12910173
vor75,25247825.379908834
vor76,48173877.10212606
vor77,108038009.5538199
vor78,207272046.70941865
vor79,417087649.2563598
vor80,341517551.09625345
vor81,252335665.01245335
vor82,192976507.82112497
vor83,284002579.6233317
vor84,36490203.30138969
vor85,9636485.555246755
vor86,370762.513296326
vor87,1816977.3256308623
vor88,81147842.81069176
vor89,126716891.80164406
vor90,71045665.38962294
vor91,156667587.25056952
vor92,179265845.73150223
vor93,221363026.22729567
vor94,239150467.4355249
vor95,264643275.0148168
vor96,232253892.0576412
vor97,262569292.00351378
vor98,304933243.69884384
vor99,176289773.00080335
vor100,154894662.03526166
vor101,1136631.049926875
vor102,7036065.558707035
vor103,2808696.4784251624
vor104,131991936.04783541
vor105,121803027.48179655
vor106,200043477.09474152
vor107,206118479.85787523
vor108,222187938.21891767
vor109,204230631.37155327
vor110,259090823.3130118
vor111,144818962.29761815
vor112,265397660.58791134
vor113,375002540.3214989
vor114,242120813.17871064
vor115,206608927.54655564
vor116,209822633.95799035
vor117,291870218.3135611
vor118,142312574.60810766
vor119,15772261.62392562
vor120,12016080.132352702
vor121,11867435.361751294
vor122,9.835977439807492e-65
vor123,12550553.995794483
vor124,63289771.978855565
vor125,132219251.22653739
vor126,159103212.64296848
vor127,341083390.5776979
vor128,173671215.84931993
vor129,234654820.73022267
vor130,205081965.5451638
vor131,281610897.3957095
vor132,410742126.0041242
vor133,366437640.9317151
vor134,220239090.87118486
vor135,11459812.136224186
vor136,414443113.5634064
vor137,338727795.58618814
vor138,362373427.97519207
vor139,38758279.90527156
vor140,3.630142452805607e-64
vor141,3.816014041382913e-64
vor142,2943146.466468123
vor143,153447236.8122235
vor144,121678529.49797411
vor145,179776187.88494375
vor146,184165044.8025202
vor147,114920240.98866826
vor148,171402824.07164162
vor149,186691418.40327948
vor150,399932759.2491436
vor151,293417940.15717924
vor152,556939342.8444136
vor153,244152515.2656206
vor154,567684959.9908417
vor155,391545159.214382
vor156,453975520.1979784
vor157,676350322.7314813
vor158,519420970.9945068
vor159,4.888665752098414e-63
vor160,52249906.28852727
vor161,15290820.305235092
vor162,115966586.40674385
vor163,192330133.47683486
vor164,450370140.8447172
vor165,52172170.57234141
vor166,138805460.18236738
vor167,165822136.16368207
vor168,40488079.4844342
vor169,171487509.9860463
vor170,190566500.07490984
vor171,341267881.8778503
vor172,428556259.948899
vor173,707300343.9693813
vor174,496785581.0632609
vor175,509719723.78617805
vor176,6.541756125928936
vor177,335965255.75418806
vor178,240565825.7935679
vor179,538012148.5468093
vor180,766911385.7673868
vor181,647677232.134188
vor182,363578483.88686347
vor183,229363145.7680378
vor184,42901776.588977374
vor185,406505955.64947826
vor186,423540437.58392924
vor187,311929666.2039575
vor188,125096082.15801525
vor189,11245507.711495314
vor190,15392988.802185953
vor191,284259716.0052506
vor192,22012901.020621404
vor193,33883198.92972644
vor194,234951534.394101
vor195,207064943.64721105
vor196,252389423.60286623
vor197,764535094.2370874
vor198,653381193.2556556
vor199,500324174.81309927
vor200,493339768.6590682
vor201,335355320.5853181
vor202,64260764.73025467
vor203,419377721.6885204
vor204,445132461.9451998
vor205,219697235.5817186
vor206,170918242.1823706
vor207,662323204.6425581
vor208,234324743.9849465
vor209,93166966.01345344
vor210,71006312.3131468
vor211,259175094.08339944
vor212,335946599.95084214
vor213,73043981.90266591
vor214,37024050.73435452
vor215,29335500.170218244
vor216,23852863.50708035
vor217,128866926.4478772
vor218,156588412.78107172
vor219,69176983.21930443
vor220,105579079.3446899
vor221,297864363.4524071
vor222,57476574.57396282
vor223,165691724.87016416
vor224,596265475.3613408
vor225,164651127.85183665
vor226,461422210.4181146
vor227,510762955.0147657
vor228,353283993.3482143
vor229,339669734.43639946
vor230,359121930.76944584
vor231,365572036.5800716
vor232,271946980.59604704
vor233,117330813.7382799
vor234,208068927.11402297
vor235,493456718.4682331
vor236,55357921.982345514
vor237,160483437.68375784
vor238,135915383.36380687
vor239,134096673.87722939
vor240,34784770.04795095
vor241,24769279.09345295
vor242,20354918.01211597
vor243,80753415.99938
vor244,207622033.17920855
vor245,346358225.96027905
vor246,171514231.35610476
vor247,410439869.5774008
vor248,109031541.15090066
vor249,272826830.79723644
vor250,418437987.3152875
vor251,138392746.7721504
vor252,18261316.52287373
vor253,146074024.2621278
vor254,227927504.11522737
vor255,186317344.9648735
vor256,2.5379994996513688e-174
vor257,320990778.3403598
vor258,356047841.2758509
vor259,437008407.88810927
vor260,28152893.105834138
vor261,0.0
vor262,18515641.13726688
vor263,239908529.0020547
vor264,105445775.56966929
vor265,7957889.07224168
vor266,19087905.670003805
vor267,240077004.79271784
vor268,302972182.55404127
vor269,278244128.91010153
vor270,347857121.77114093
vor271,234996572.9603303
vor272,645540880.0412438
vor273,361306491.82700783
vor274,455645298.0601036
vor275,254063435.31041485
vor276,380565117.3157405
vor277,6669.65005899083
vor278,195624.64842760362
vor279,168789614.17983958
vor280,283285020.51543176
vor281,180444611.7862063
vor282,336110508.32199585
vor283,442161256.501532
vor284,120516900.96104899
vor285,8200178.011224997
vor286,69942156.14096735
vor287,234511302.63559952
vor288,121304663.63320445
vor289,332832489.3823853
vor290,231116763.91333425
vor291,774651143.938034
vor292,365126126.6629744
vor293,472057267.20829433
vor294,395231954.566585
vor295,529947131.3493646
vor296,348826528.5256551
vor297,470493543.3046431
vor298,163792666.52768347
vor299,249322803.56819078
vor300,218600654.62028003
vor301,248940533.10362768
vor302,169627433.9814651
vor303,261194001.55618882
vor304,247440346.25727665
vor305,289042844.4991076
vor306,348135407.1431016
vor307,37870737.594299816
vor308,128567457.88937671
vor309,21877318.26333867
vor310,72795493.57723907
vor311,246679257.00688812
vor312,274011344.70889574
vor313,348966611.79545254
vor314,302500348.57990724
vor315,304837847.66723907
vor316,205643461.66786003
vor317,194543096.49351788
vor318,132665665.21480055
vor319,167168671.57810915
vor320,289962751.3852821
vor321,246141465.11679438
vor322,430357038.4495217
vor323,422595010.5271656
vor324,524800503.98948544
vor325,366404245.0615037
vor326,256891957.84893936
vor327,298242283.69052064
vor328,566810939.6262357
vor329,369220831.86359936
vor330,268820988.6676587
vor331,12622185.915769465
vor332,40835910.006882876
vor333,5689365.560861616
vor334,174002657.67386383
vor335,259143315.49152145
vor336,71108427.93362054
vor337,95819232.60403778
vor338,156814568.29028204
vor339,69860211.19494087
vor340,78160060.36541227
vor341,249662141.75025392
vor342,19938262.08646898
vor343,325269953.8342572
vor344,607559541.9084654
vor345,279269443.8625814
vor346,576028624.5451814
vor347,211924569.95676807
vor348,75477798.02933271
vor349,144818390.9952725
vor350,316759716.02364135
vor351,423860508.2781986
vor352,423748782.4421598
vor353,849676122.2383457
vor354,434979576.73754805
vor355,32452791.996518876
vor356,20394632.547217537
vor357,26588125.965075128
vor358,97485633.96893091
vor359,81235914.0058604
vor360,21754541.300944336
vor361,55118785.76861237
vor362,30293881.64293732
vor363,113697503.01297483
vor364,175519887.6127087
vor365,93324333.22250824
vor366,258467322.89726862
vor367,351342832.33808607
vor368,446176517.31606126
vor369,225690209.6971702
vor370,208349410.68784633
vor371,85667387.35483956
vor372,236464631.58527496
vor373,225221193.4063793
vor374,392899194.28223836
vor375,448719170.67258805
vor376,269876597.11276233
vor377,420408483.83416784
vor378,98177570.23847565
vor379,26824924.81648803
vor380,28332313.093944628
vor381,139079895.97362435
vor382,4686852.582353989
vor383,57775640.34422578
vor384,204399754.54268792
vor385,33342855.069130316
vor386,129016380.31516297
vor387,117911246.83767352
vor388,56454697.12456821
vor389,275702557.7090926
vor390,459822261.61802685
vor391,188741090.7580161
vor392,148812545.0874103
vor393,195981708.7158046
vor394,348832228.41037744
vor395,375757614.9661077
vor396,87405725.80785501
vor397,114658450.67295091
vor398,172501864.2701689
vor399,477487058.4059057
vor400,193313079.44302487
vor401,164625142.6802371
vor402,69926720.11324269
vor403,23173022.886219326
vor404,69538452.09017648
vor405,45644088.11932176
vor406,112146035.0551898
vor407,236235920.7231
vor408,237059622.2251142
vor409,242803495.86762482
vor410,294625328.0170895
