,0
vor0,24769304.82916216
vor1,17271148.97211731
vor2,114692.21166167651
vor3,4954057.860925892
vor4,25378049.162824772
vor5,18347111.038405888
vor6,12955906.003604976
vor7,0.0
vor8,16431277.467548188
vor9,54713753.25974777
vor10,12097529.864179954
vor11,26909251.487723053
vor12,7933672.891604991
vor13,3227780.5771192852
vor14,0.0
vor15,16808059.942459725
vor16,28156686.92261951
vor17,32286994.2979077
vor18,33290615.364201047
vor19,49556501.68468716
vor20,24045777.46891301
vor21,5085351.022505685
vor22,1103952.4006556869
vor23,59372863.61702535
vor24,37471025.4267028
vor25,55380802.0537415
vor26,26906569.89015778
vor27,24796649.63036296
vor28,34290459.48999189
vor29,27329515.917369235
vor30,2570272.813770556
vor31,23243798.7068031
vor32,1099944.6864692501
vor33,18809194.334329788
vor34,40964062.02466472
vor35,47730920.28635986
vor36,45648641.94085142
vor37,10938067.981934495
vor38,6810773.02715906
vor39,34419229.8216897
vor40,38109739.54272807
vor41,23036173.63614191
vor42,459884.3722429137
vor43,10682716.39000256
vor44,47106828.82023442
vor45,33195591.787259247
vor46,34140880.9514977
vor47,6270858.795225005
vor48,34171725.41649441
vor49,26673630.217354957
vor50,9896543.592354523
vor51,1013889.5337788451
vor52,48988327.7940787
vor53,96467583.75492693
vor54,18657788.80603208
vor55,19536840.69529059
vor56,15146890.686014961
vor57,38957289.28124174
vor58,50649184.78141729
vor59,12280026.462988593
vor60,9403776.76565868
vor61,11989710.858181443
vor62,10459843.509244813
vor63,21152011.414854724
vor64,46011110.77285763
vor65,94638868.82096612
vor66,25056670.99969306
vor67,37120801.36373104
vor68,0.0
vor69,65091303.53014139
vor70,11962765.247869873
vor71,31995676.756680172
vor72,47908935.695227996
vor73,7990468.939359168
vor74,4578018.55512487
vor75,3654144.345703565
vor76,0.0
vor77,10181.021762368477
vor78,49537714.44488601
vor79,57242663.06917794
vor80,14461887.933332736
vor81,36243942.57487108
vor82,24855751.67746569
vor83,25579588.31201838
vor84,19387737.81784386
vor85,10155.474383047453
vor86,0.0
vor87,61853.934436438
vor88,83223032.08204767
vor89,29530841.03300212
vor90,11727573.795924194
vor91,7613037.283536519
vor92,34532300.02929288
vor93,1199574.0033675658
vor94,20371.73052065054
vor95,0.0
vor96,253978.88408853312
vor97,35260568.627212875
vor98,82309920.0167451
vor99,12162118.884271037
vor100,12541694.685003655
vor101,30133434.631350636
vor102,9127775.634524897
vor103,221236.01716039985
vor104,27241.234703508155
vor105,261088.35217245633
vor106,45153142.97639186
vor107,8411181.76554484
vor108,5457219.426065114
vor109,12054250.52183578
vor110,10581253.16915321
vor111,6695260.887202699
vor112,45034.90863599826
vor113,963834.5991030335
vor114,686665.2357874699
vor115,42233656.7464329
vor116,12612801.022185845
vor117,11086454.704843197
vor118,19097783.49904246
vor119,24233449.75614724
vor120,5055556.833791869
vor121,202527.4943637345
vor122,108550.57100817189
vor123,989428.0431023326
vor124,4037454.752725456
vor125,27983661.068505242
vor126,17473389.63331321
vor127,50603520.73442607
vor128,39279752.51031468
vor129,21687132.889965467
vor130,17109590.3164609
vor131,4859915.018874953
vor132,1468185.69268758
vor133,8663012.227020137
vor134,15033921.786495002
vor135,4447894.416204021
vor136,415071.2582931237
vor137,49172161.32013766
vor138,16474491.903230736
vor139,1269930.5008493827
vor140,31341917.874935135
vor141,70542662.55958945
vor142,39392358.06747718
vor143,25593301.479676574
vor144,22147143.578288488
vor145,9733632.700026523
vor146,2580219.852040337
vor147,1577439.0601533654
vor148,2876499.428182904
vor149,8564812.503133006
vor150,2074198.4000153332
vor151,751871.9476961162
vor152,15.273397392917136
vor153,28151520.10529592
vor154,10160500.29382717
vor155,8636818.832063353
vor156,45651881.81317159
vor157,57097724.92930543
vor158,34912251.37920883
vor159,71030215.63803661
vor160,80786572.25190562
vor161,34151657.61787962
vor162,84207126.93171519
vor163,86871984.45392576
vor164,5226065.472271386
vor165,4264937.608699498
vor166,8511603.588325178
vor167,7812379.926584946
vor168,4007777.6195463603
vor169,2237058.8743688064
vor170,341347.10478543286
vor171,256922.78647117066
vor172,14014474.082749434
vor173,18601541.827556256
vor174,83351894.560417
vor175,145989395.87948364
vor176,25090670.076234654
vor177,27271872.479663417
vor178,56316552.38804128
vor179,42052640.272592664
vor180,24171163.594317846
vor181,37063744.9140536
vor182,70439625.53514382
vor183,71636110.78822167
vor184,51179752.40926531
vor185,84340420.35880846
vor186,45496249.88773272
vor187,11499027.898931492
vor188,8341286.462473844
vor189,10763757.115924826
vor190,4322849.961233091
vor191,1195747.6557638147
vor192,1856144.5705530653
vor193,0.0
vor194,37369070.5255794
vor195,41511940.7725148
vor196,69451687.35632053
vor197,61184542.06990647
vor198,65063184.44376053
vor199,42469596.58429413
vor200,42723841.874034755
vor201,50831697.07271765
vor202,16714581.221477404
vor203,11344440.004774133
vor204,50284797.32881063
vor205,126549942.10426311
vor206,42956344.873837024
vor207,56476994.73557995
vor208,11181775.983636467
vor209,10319488.217649166
vor210,81768725.78888172
vor211,137784075.3787198
vor212,11349607.542275498
vor213,1347096.5705100694
vor214,943674.7851472832
vor215,740330.8751538888
vor216,60421358.16726146
vor217,18828403.389902893
vor218,18525432.821274474
vor219,69557432.0948927
vor220,68203374.03821354
vor221,82524273.57225077
vor222,37228420.954268835
vor223,19803396.48010337
vor224,26501595.219779566
vor225,56152371.87148478
vor226,96821846.59840168
vor227,45120723.17284503
vor228,24487924.591582827
vor229,23553126.471529532
vor230,44078898.45639136
vor231,35413303.83595438
vor232,101181656.88929111
vor233,12054944.528961752
vor234,475716.39136229956
vor235,963467.0639420651
vor236,297075.99585250806
vor237,29208647.433871053
vor238,18236325.725176703
vor239,18711718.70859277
vor240,52657552.0457552
vor241,59676294.823292725
vor242,36152455.08864789
vor243,19486085.762045722
vor244,28889411.128126953
vor245,18492988.2264562
vor246,38814160.873368986
vor247,82734733.58689001
