,0
vor0,1863440.7361741182
vor1,68373534.51465398
vor2,22048278.869131673
vor3,2315911.0785521823
vor4,37853461.68351718
vor5,11563156.371902559
vor6,6682698.850916903
vor7,6491583.231224047
vor8,0.0
vor9,10521.596904202743
vor10,557366.8205744404
vor11,28592138.22022805
vor12,19579465.3973784
vor13,13548459.018313123
vor14,3298682.170309964
vor15,2744032.453712665
vor16,41687241.183456
vor17,3761159.849618484
vor18,58436251.13748806
vor19,11453327.471766863
vor20,8489410.303758822
vor21,172011178.14264637
vor22,0.0
vor23,8973648.255462652
vor24,95265835.79371147
vor25,25007187.496986903
vor26,7269127.211857523
vor27,645770821.893758
vor28,3280909.601807123
vor29,9476441.4078451
vor30,9422183.041556394
vor31,32609955.67939222
vor32,916682.601098928
vor33,14858701.56169914
vor34,190079908.34465054
vor35,10452489.03049664
vor36,42064362.02461196
vor37,6491583.231224047
vor38,78591109.42750654
vor39,11465412.264568934
vor40,77830821.19205202
vor41,158891488.41338688
vor42,35530998.915811285
vor43,69750223.29524001
vor44,12297667.837638585
vor45,1382202.8328658056
vor46,0.0
vor47,0.0
vor48,6023250.690005511
vor49,14646965.0259412
vor50,228033416.50509003
vor51,236043725.5761688
vor52,37311720.98201618
vor53,11515124.811865259
vor54,0.0
vor55,1563051.9550588
vor56,5612786.031640907
vor57,30860526.36351183
vor58,37669110.1926781
vor59,1382569.5343198604
vor60,54129481.64976981
vor61,4379526.833825499
vor62,0.0
vor63,41425977.34965003
vor64,3162034.289864528
vor65,8440079.574202431
vor66,60663992.779072724
vor67,130552619.42953628
vor68,25874973.892213065
vor69,1851836.9917222233
vor70,0.0
vor71,0.0
vor72,7475058.882254831
vor73,41004746.41614365
vor74,0.0
vor75,20715191.70514616
vor76,170209319.58666396
vor77,181515305.55971205
vor78,24113199.06676975
vor79,18986653.152244005
vor80,0.0
vor81,0.0
vor82,115937850.3503192
vor83,251500000.26338384
vor84,131714645.2380833
vor85,132668448.86326163
vor86,193841953.09328333
vor87,395884452.1067512
vor88,270487335.57008153
vor89,2759402.9551008972
vor90,81340999.78351566
vor91,49557303.80998872
vor92,46787669.36781766
vor93,189960034.8469777
vor94,290338444.52881664
vor95,115645472.28987628
vor96,130057729.12961134
vor97,256397656.5587049
vor98,248049763.11196172
vor99,136339222.39117125
vor100,82365586.58610944
vor101,135739046.48515087
vor102,63299363.656232156
vor103,257287671.30931142
vor104,170400753.93559095
vor105,59791645.02594235
vor106,36422945.843912184
vor107,13654792.208820326
vor108,209563743.37107596
vor109,317853986.13400084
vor110,90362436.95847726
vor111,135087264.23763478
vor112,370167884.7801584
vor113,356445752.5151145
vor114,500363441.1992265
vor115,204322880.88019618
vor116,119890022.53774738
vor117,60278091.533651456
vor118,13308305.082188994
vor119,105282116.63050291
vor120,98974556.01381233
vor121,401353552.1603005
vor122,197554238.10089943
vor123,222211145.70186287
vor124,389104175.0045005
vor125,545130982.8275169
vor126,679669586.9686744
vor127,561902566.7422001
vor128,172619177.15975124
vor129,94992794.61733398
vor130,90603535.83013922
vor131,4462895.171029317
vor132,99935925.70276271
vor133,198882737.1656796
vor134,6.906355006673562e-243
vor135,6841.21334056909
vor136,274660936.80465204
vor137,272730062.75776327
vor138,452932407.43189144
vor139,460588763.9309544
vor140,559492740.977023
vor141,588890813.0684869
vor142,714956353.9141343
vor143,543356544.82783
vor144,329490537.46638125
vor145,228685743.4290681
vor146,27274685.73958064
vor147,5198616.554458645
vor148,11725280.070117958
vor149,118236286.35297619
vor150,4.4062374103719803e-243
vor151,7937.399789372644
vor152,8142.434949963941
vor153,4818.311543118746
vor154,8.870529423304366e-09
vor155,1.1869172056506111e-08
vor156,571071525.7829553
vor157,495647774.7481502
vor158,557648971.8990364
vor159,672555998.4368429
vor160,586408299.9656847
vor161,209977295.1244076
vor162,30889689.310263306
vor163,87758658.44211915
vor164,22199817.601092726
vor165,73357952.62786914
vor166,232315434.25234172
vor167,49342049.05340338
vor168,10806.740975626264
vor169,14456.278630959037
vor170,58787318.83093905
vor171,13378.973066098484
vor172,52955.8498802863
vor173,270116021.22021544
vor174,431918848.6186811
vor175,342651021.6142248
vor176,167409304.73303273
vor177,109581492.70966566
vor178,145346548.6022484
vor179,74535842.95672339
vor180,348021593.50639254
vor181,271548760.0980163
vor182,23315906.819575366
vor183,259385178.9531863
vor184,24591411.65379233
vor185,546776.3784269348
vor186,3519522.767525055
vor187,501629.115050729
vor188,4.379476457702111e-42
vor189,13270.730578376375
vor190,11306.460979601596
vor191,10893.919512978024
vor192,64844378.88965001
vor193,49771703.98636027
vor194,390572898.71254325
vor195,327761136.24229467
vor196,70046354.18316296
vor197,156264767.63308817
vor198,232066294.79835296
vor199,384068598.8132293
vor200,327007373.77999485
vor201,203519116.87343627
vor202,82134282.46767801
vor203,76774369.366037
vor204,16919781.85227786
vor205,22517034.423031703
vor206,57008483.84954229
vor207,10963011.192534113
vor208,73476243.04981767
vor209,24040769.46499603
vor210,47836410.887575835
vor211,6497158.741000573
vor212,6.846306981414052e-42
vor213,5.5861269650175444e-42
vor214,347516637.01460326
vor215,302599526.5775346
vor216,3.5518114352314646e-42
vor217,75861266.80866107
vor218,68741949.72586185
vor219,424549956.62558335
vor220,88675162.85182455
vor221,112394282.91380803
vor222,87012360.53114752
vor223,328669532.88619995
vor224,374551528.900835
vor225,299279460.9546608
vor226,444066557.83055365
vor227,216640265.88900775
vor228,96899915.36459722
vor229,60742284.19374007
vor230,11448165.832489418
vor231,13322665.690155327
vor232,2412549.464179541
vor233,12678084.63355301
vor234,1434311.334638926
vor235,23721616.93529038
vor236,11148887.682078062
vor237,12849531.229834648
vor238,1.9000963065419308e-68
vor239,3.3534146017248744e-42
vor240,4.52553500545389e-42
vor241,5.316497318331057e-42
vor242,5.6970145939730094e-42
vor243,479692415.5052187
vor244,6343.6223399791015
vor245,1672.8523594775195
vor246,213539048.15869793
vor247,258266064.26215625
vor248,102901018.5603093
vor249,89322281.55870701
vor250,74128851.61420979
vor251,499392573.88197315
vor252,507191471.2549963
vor253,472483917.77900034
vor254,980135386.6596932
vor255,722482058.9770998
vor256,160802249.92528316
vor257,7472461.5537960995
vor258,7467417.4840454
vor259,13086622.638444064
vor260,3337148.720820285
vor261,472016.1528227461
vor262,0.0
vor263,2412628.7969434066
vor264,0.0
vor265,6437030.773636539
vor266,12788358.276903246
vor267,6.141393766123894e-50
vor268,2.6470773121600053e-43
vor269,7.740889601698627e-289
vor270,2.7392485659734536e-52
vor271,6.420839376568965e-43
vor272,132560673.63287346
vor273,195643187.06509206
vor274,1533.670908687446
vor275,340350982.39436585
vor276,65690286.144431464
vor277,53700231.86048323
vor278,19710.386617186738
vor279,23496.186570130172
vor280,67144950.21302646
vor281,59760912.172438234
vor282,480657070.0515716
vor283,538563172.5544348
vor284,722777895.4021885
vor285,340711261.157598
vor286,78952186.71646994
vor287,44126465.966518655
vor288,45637958.21796016
vor289,3901746.0349613307
vor290,10088830.82275958
vor291,29425467.77056089
vor292,4170005.874759981
vor293,0.0
vor294,2905551.3636156595
vor295,15766691.691455014
vor296,11075860.026075168
vor297,4.3188077046142175e-44
vor298,1.6056103814043345e-289
vor299,1.763108795726394e-52
vor300,1.2871312265916246e-51
vor301,271064065.67207336
vor302,11643615.407850968
vor303,966.5499248836833
vor304,244617705.20241144
vor305,235934680.70094246
vor306,1516.598920610744
vor307,599.289201529533
vor308,21399767.342436507
vor309,22222467.890966155
vor310,21636919.43119932
vor311,61046251.2973052
vor312,269979741.59020126
vor313,761632230.1014366
vor314,646051021.6251783
vor315,350310156.8002409
vor316,64233385.20433823
vor317,3338856.740904676
vor318,63723110.23260558
vor319,31911747.317617893
vor320,1822096.1472270212
vor321,1822303.7684649297
vor322,13182607.521944493
vor323,31162651.73559725
vor324,9415008.566540454
vor325,46346351.16075285
vor326,1526488.7041352994
vor327,2.9865758802943706e-289
vor328,279.51108964915204
vor329,298.050864785099
vor330,1423.3978633773759
vor331,2075.041648319164
vor332,728.25351336155
vor333,843.8454585301874
vor334,51297378.713364236
vor335,9.894664800876379e-52
vor336,1.0180330602372821e-51
vor337,72616147.11367936
vor338,19930730.130356006
vor339,17097399.77188293
vor340,12678558.340373896
vor341,49359444.627428085
vor342,46276374.756741725
vor343,320741988.19831973
vor344,223212487.63115445
vor345,48729751.08692409
vor346,99194728.96340695
vor347,951032.4504810126
vor348,0.0
vor349,13924123.460491402
vor350,2156122.846536368
vor351,1696175.4531677777
vor352,328810.99495282484
vor353,0.0
vor354,0.0
vor355,3903379.9781686147
vor356,0.0
vor357,0.0
vor358,2.4550473721958713e-12
vor359,586.9136748179392
vor360,641.0051483464099
vor361,963.6883060794346
vor362,1509.3011238606653
vor363,78620681.69008665
vor364,137609130.2800376
vor365,100277700.85399452
vor366,29822648.693885874
vor367,44426165.766487725
vor368,225016706.4444088
vor369,219862560.29519632
vor370,56822344.539770514
vor371,77553685.53527406
vor372,409889683.0438867
vor373,426471686.27389723
vor374,208168117.2902552
vor375,16552260.202468012
vor376,10405539.892668394
vor377,58894294.9313284
vor378,7991497.790928015
vor379,5309075.711332713
vor380,6188797.721517486
vor381,14641731.96352005
vor382,2323284.888973037
vor383,1156414.9422780606
vor384,2367165.878406735
vor385,6462731.487178273
vor386,0.0
vor387,824729.670684709
vor388,0.0
vor389,0.0
vor390,0.0
vor391,0.0
vor392,25.853332864582093
vor393,1372.5756883064234
vor394,1310.4917394535987
vor395,1017.1267473201578
vor396,97993425.68854767
vor397,175453790.88072208
vor398,273651281.6940835
vor399,3873688.028273606
vor400,2.2366075680062962e-184
vor401,3.3710465971940696e-288
vor402,125881079.04670757
vor403,110445799.45760578
vor404,84276201.34876795
vor405,443534922.18799835
vor406,386545713.45769674
vor407,174782778.2631634
vor408,15980896.767794821
vor409,0.0
vor410,23081792.279575024
vor411,85261090.57503659
vor412,192685846.3675584
vor413,14241490.834226457
vor414,22125304.51194726
vor415,4507215.95680361
vor416,0.0
vor417,0.0
vor418,0.0
vor419,0.0
vor420,2825498.4600867047
vor421,0.0
vor422,328812.46332358115
vor423,990439.2838796827
vor424,0.0
vor425,0.0
vor426,0.0
vor427,0.0
vor428,2.3839171171741064e-13
vor429,601.1294067532272
vor430,1086.2287635333691
vor431,226732717.62922534
vor432,19752875.191426445
vor433,254947595.41389114
vor434,116862215.6081125
vor435,11306663.260177052
vor436,9.77111544702563e-289
vor437,1.776383961619146e-288
vor438,14526268.928790668
vor439,13674651.72567647
vor440,5705710.416282124
vor441,39337367.66680175
vor442,40425488.33820885
vor443,37868687.39280054
vor444,24573165.699143946
vor445,2601621.1403118465
vor446,24642428.82832488
vor447,80535031.82579039
vor448,173687773.41823342
vor449,73560052.4815948
vor450,40063730.94781449
vor451,1489213.5648532673
vor452,0.0
vor453,0.0
vor454,0.0
vor455,0.0
vor456,0.0
vor457,990514.3335010661
vor458,13411326.759874646
vor459,4169938.227297341
vor460,1322824.391895347
vor461,328826.8417787733
vor462,0.0
vor463,328826.8417787733
vor464,0.0
vor465,0.0
vor466,1155503.9170248806
vor467,1155372.0888163596
vor468,4.215349072123102
vor469,0.0
vor470,292767608.6715328
vor471,45748012.91919342
vor472,225190252.05612493
vor473,233279394.7220415
vor474,137318409.71645555
vor475,279472775.89526784
vor476,166087627.7882828
vor477,1.4273734585821328e-288
vor478,14849966.524805954
vor479,19876782.813627124
vor480,3242216.6613036725
vor481,9968332.762417773
vor482,1202554.7705859558
vor483,15845024.128856616
vor484,519751.2253710321
vor485,27156791.922349326
vor486,33487873.662187617
vor487,22879807.122221995
vor488,35700300.610505015
vor489,42964362.19858659
vor490,20200833.863806307
vor491,5200893.193913596
vor492,1822303.7684649297
vor493,3070074.698065811
vor494,0.0
vor495,0.0
vor496,0.0
vor497,0.0
vor498,0.0
vor499,659161.3075726624
vor500,3927543.507150722
vor501,493842.81507189764
vor502,0.0
vor503,0.0
vor504,0.0
vor505,0.0
vor506,0.0
vor507,0.0
vor508,328812.46332358115
vor509,824729.670684709
vor510,164133.77130972728
vor511,1.1184154829545425
vor512,254940641.35565343
vor513,313673751.45951116
vor514,284151311.66957057
vor515,164812455.76850685
vor516,151810161.47426847
vor517,150049270.77853784
vor518,138764309.1131968
vor519,19658917.70800529
vor520,11460290.478832113
vor521,12147658.194798078
vor522,13198849.523725525
vor523,6983329.687133079
vor524,2992324.3875621557
vor525,2741777.8797890553
vor526,519751.2253710321
vor527,19465106.240287013
vor528,4891993.738603354
vor529,7869953.8565774
vor530,38724766.05088548
vor531,10783984.44120838
vor532,12639124.665835682
vor533,6211022.522386921
vor534,16137824.795879453
vor535,412165.51168351615
vor536,0.0
vor537,308794.8835618537
vor538,0.0
vor539,0.0
vor540,102637.89915075155
vor541,866930.1216285811
vor542,0.0
vor543,0.0
vor544,412165.51168351615
vor545,0.0
vor546,1035233.8225825573
vor547,102637.89915075155
vor548,0.0
vor549,0.0
vor550,0.0
vor551,0.0
vor552,1655608.4672767466
vor553,4.194727217594018
vor554,115331094.61410195
vor555,345411672.7399882
vor556,335249998.46895844
vor557,271306697.53094983
vor558,71544131.43081887
vor559,142008886.00057074
vor560,224246937.9271115
vor561,67616902.49824503
vor562,8065405.25379755
vor563,3968798.9192901836
vor564,4498471.977617567
vor565,13139670.386428101
vor566,9850960.836053688
vor567,49590997.239355855
vor568,56281047.70677356
vor569,21555046.350585297
vor570,219121.91694804508
vor571,5103577.826870036
vor572,21795909.106288467
vor573,26488479.701201007
vor574,47078559.925521724
vor575,7400738.929883514
vor576,1547618.6087970028
vor577,0.0
vor578,515728.3626256657
vor579,102641.06540803092
vor580,0.0
vor581,102641.06540803092
vor582,0.0
vor583,205623.1232799438
vor584,867022.9234538567
vor585,0.0
vor586,0.0
vor587,0.0
vor588,0.0
vor589,0.0
vor590,867126.1296105605
vor591,0.0
vor592,0.0
vor593,308829.7839882048
vor594,0.0
vor595,0.0
vor596,0.0
vor597,205756.79167781278
vor598,0.0
vor599,24829800.084953193
vor600,402377502.406159
vor601,253574134.37235638
vor602,235917678.06673405
vor603,135873321.4801257
vor604,46807324.154818274
vor605,73767095.94588736
vor606,291835026.6499181
vor607,14779670.457631854
vor608,8143314.46403653
vor609,12382494.944387928
vor610,8630533.572753016
vor611,22220956.21029405
vor612,28903002.677423526
vor613,36055070.360494584
vor614,61450327.91516444
vor615,2505279.635747063
vor616,19057651.748008538
vor617,30514270.915948093
vor618,3241074.478548166
vor619,1767049.4004021795
vor620,0.0
vor621,0.0
vor622,0.0
vor623,0.0
vor624,308813.11190576263
vor625,0.0
vor626,0.0
vor627,308794.8835618537
vor628,102637.89915075155
vor629,0.0
vor630,0.0
vor631,0.0
vor632,0.0
vor633,0.0
vor634,0.0
vor635,102637.89915075155
vor636,0.0
vor637,619412.0741876473
vor638,205614.09989823124
vor639,0.0
vor640,0.0
vor641,0.0
vor642,1350343.7409048958
vor643,134257.48088025957
vor644,58202243.04238063
vor645,455254684.3186695
vor646,333918569.46861064
vor647,350300268.9730368
vor648,121132322.58029224
vor649,120305460.91393577
vor650,61988922.3795943
vor651,161688588.2412254
vor652,12589690.511630371
vor653,88183837.50584108
vor654,122813853.95386967
vor655,16043037.811006745
vor656,4706272.557033758
vor657,3030253.4537370866
vor658,12209787.68764187
vor659,38249504.469708845
vor660,31867071.242461808
vor661,30841593.34952174
vor662,27777625.38084417
vor663,15768826.227665974
vor664,308813.11190576263
vor665,0.0
vor666,0.0
vor667,0.0
vor668,0.0
vor669,0.0
vor670,0.0
vor671,412193.7092582625
vor672,0.0
vor673,0.0
vor674,0.0
vor675,102637.89915075155
vor676,0.0
vor677,6328247.804299613
vor678,5011945.758195742
vor679,0.0
vor680,0.0
vor681,0.0
vor682,0.0
vor683,1158104.3088267029
vor684,723155.9281736598
vor685,0.0
vor686,0.0
vor687,205614.09989823124
vor688,102591.029931324
vor689,2.371739276248042
vor690,1.6196516468472446
vor691,45245.122732653115
vor692,20142339.19656974
vor693,221456598.66547328
vor694,146858117.20263445
vor695,311229790.1264863
vor696,195956745.39659932
vor697,14980888.612146217
vor698,73770786.98662174
vor699,26255660.843014833
vor700,26330115.2371987
vor701,64361457.0011485
vor702,68834204.89010839
vor703,108473161.19304949
vor704,19669673.857083462
vor705,2608505.689345433
vor706,7311467.714769641
vor707,16006801.852363268
vor708,16344045.152877895
vor709,30752035.957659863
vor710,8770453.001726858
vor711,4804054.546974829
vor712,205623.1232799438
vor713,0.0
vor714,0.0
vor715,308943.88936703757
vor716,3805230.9308481975
vor717,205613.17843009246
vor718,308829.7839882048
vor719,480337.26160342124
vor720,4008291.6408377006
vor721,0.0
vor722,0.0
vor723,102641.06540803092
vor724,1062175.598775257
vor725,205623.1232799438
vor726,0.0
vor727,0.0
vor728,0.0
vor729,619407.1975863641
vor730,0.0
vor731,0.0
vor732,0.0
vor733,102641.06540803092
vor734,308811.409391265
vor735,827226.5211568597
vor736,205732.18022381302
vor737,221732.40236196673
vor738,0.0
vor739,24483779.159914017
vor740,319710785.22393924
vor741,230679349.878726
vor742,124098521.48090324
vor743,98218468.51910563
vor744,99185478.63087936
vor745,31738961.762264643
vor746,23789816.024028584
vor747,4906585.596395804
vor748,20339811.14377911
vor749,64948963.113007925
vor750,95896707.8128273
vor751,46034252.28971709
vor752,9745017.914196748
vor753,5200893.193913596
vor754,11285215.623848408
vor755,15726672.62152853
vor756,2081558.9540709546
vor757,5907480.791901847
vor758,1452740.9974032177
vor759,205614.09989823124
vor760,0.0
vor761,0.0
vor762,6605132.079684157
vor763,723155.9281736598
vor764,0.0
vor765,723221.9433224393
vor766,770112.4154893976
vor767,723221.9433224393
vor768,0.0
vor769,0.0
vor770,0.0
vor771,191625.1032528105
vor772,102637.89915075155
vor773,102634.43698286224
vor774,102637.89915075155
vor775,0.0
vor776,0.0
vor777,0.0
vor778,0.0
vor779,205614.09989823124
vor780,308813.3960574305
vor781,0.0
vor782,9147354.631185377
vor783,8802453.619190443
vor784,29452074.86456507
vor785,100328619.53665301
vor786,122138594.94039519
vor787,92664135.62564565
vor788,42650086.282096915
vor789,1941767.1044145264
vor790,34824285.634869896
vor791,66521656.79471236
vor792,42086223.52142241
vor793,10602042.671147408
vor794,20515359.4188545
vor795,25252013.624810077
vor796,54927799.33076567
vor797,13874142.3383499
vor798,7219352.292349687
vor799,51674800.29750256
vor800,10022392.54258692
vor801,4120588.406386841
vor802,2329560.939251122
vor803,412165.51168351615
vor804,3609120.128944443
vor805,266178.79616232467
vor806,0.0
vor807,930365.0575492983
vor808,205614.09989823124
vor809,2924613.985706738
vor810,10682359.82636126
vor811,0.0
vor812,0.0
vor813,0.0
vor814,0.0
vor815,0.0
vor816,0.0
vor817,0.0
vor818,102637.89915075155
vor819,0.0
vor820,0.0
vor821,0.0
vor822,308794.8835618537
vor823,1871918.2814784886
vor824,1745714.100255962
vor825,1207776.4153612645
vor826,0.0
vor827,0.0
vor828,177313146.2996
vor829,65723079.813351735
vor830,33475070.21319593
vor831,114498893.46108727
vor832,265257753.98714495
vor833,242963584.23557904
vor834,96198739.46746254
vor835,115054248.984718
vor836,10920083.794041438
vor837,51963726.325615376
vor838,94841379.85960726
vor839,19919080.262018584
vor840,14741396.085738651
vor841,12220838.24574842
vor842,3908279.2139011333
vor843,8536440.447228802
vor844,6214096.644685704
vor845,3017286.32512177
vor846,8961681.16021237
vor847,6110681.508314667
vor848,14889985.208284235
vor849,102637.57580242092
vor850,0.0
