,0
vor0,5631552.689969407
vor1,3156260.887195867
vor2,1357259.1578850246
vor3,46475341.02876555
vor4,13880668.730535075
vor5,40465271.542407304
vor6,1890801.9495885856
vor7,150224817.11751023
vor8,44540671.134128176
vor9,41669173.05788297
vor10,31715622.916782018
vor11,89118729.80723408
vor12,3672019.866617576
vor13,52321521.27855315
vor14,18223580.581905436
vor15,30362792.590619035
vor16,2077827.4359686584
vor17,3873951.3447372327
vor18,3788603.453234739
vor19,113782.85496186491
vor20,1712475.3108635657
vor21,8901454.820516454
vor22,7421938.464735327
vor23,24530962.234251376
vor24,16105475.165717572
vor25,27869701.588311274
vor26,4305908.577443272
vor27,33363953.322296523
vor28,3134168.0912451893
vor29,23215521.068418752
vor30,4976779.3634326635
vor31,17165092.92641414
vor32,6059271.309405667
vor33,744759.4714562357
vor34,23205594.904737577
vor35,12075334.569675494
vor36,30535842.38453652
vor37,35483439.620584495
vor38,45247126.51288881
vor39,8794752.207860338
vor40,11635539.024006834
vor41,12093084.415229212
vor42,7565088.478616934
vor43,4878228.839619873
vor44,744912.2934171368
vor45,1663515.4508047628
vor46,96992377.02084999
vor47,116526256.40248667
vor48,45904306.87858915
vor49,70886518.51053283
vor50,133446936.97072539
vor51,605802.3752251028
vor52,13538214.912552908
vor53,131237652.49803388
vor54,78443700.94531319
vor55,12611716.626306204
vor56,125264007.46877538
vor57,246542382.37307677
vor58,191957970.89232564
vor59,210119860.84144056
vor60,16310267.428673685
vor61,4211371.057082338
vor62,166123791.2557916
vor63,195840260.33867088
vor64,68234082.23557462
vor65,14502710.138638968
vor66,50052875.53340313
vor67,172429917.61510602
vor68,271186131.91534626
vor69,172352903.43791077
vor70,169839414.50231695
vor71,228799909.79464412
vor72,128958317.84069487
vor73,2240206.0040840944
vor74,53905007.70100645
vor75,20353121.00724304
vor76,38834582.198428035
vor77,87093072.32378043
vor78,167088966.46016645
vor79,336228378.80907
vor80,275308781.60661834
vor81,203416264.4569174
vor82,155564851.86894634
vor83,228944029.137757
vor84,29415979.879324004
vor85,7768295.036869237
vor86,298884.12900996226
vor87,1464726.5187999068
vor88,65416004.719243355
vor89,102150747.38883896
vor90,57272299.81025467
vor91,126295010.09465416
vor92,144512226.13185728
vor93,178448178.86450124
vor94,192787233.3324714
vor95,213337842.72826424
vor96,187227672.02017963
vor97,211665935.28432235
vor98,245816941.25120384
