,0
vor0,9526655.703523912
vor1,6642749.604660503
vor2,44112.389100644825
vor3,1905406.869586882
vor4,9760788.139547989
vor5,7056581.168617647
vor6,4983040.770617299
vor7,0.0
vor8,6319722.102903149
vor9,21043751.25374915
vor10,4652896.101607674
vor11,10349712.110662714
vor12,3051412.6506173047
vor13,1241454.068122802
vor14,0.0
vor15,6464638.439407587
vor16,10829494.970238276
vor17,12418074.7299645
vor18,12804082.832385018
vor19,19060192.95564891
vor20,9248375.949581927
vor21,1955904.2394252631
vor22,424597.07717526413
vor23,22835716.77577898
vor24,14411932.856424151
vor25,21300308.482208263
vor26,10348680.726983763
vor27,9537172.934754986
vor28,13188638.265381495
vor29,10511352.275911242
vor30,988566.4668348293
vor31,8939922.579539653
vor32,423055.6486420193
vor33,7234305.513203764
vor34,15755408.471024891
vor35,18358046.263984565
vor36,17557169.977250546
vor37,4206949.22382096
vor38,2619528.0873688697
vor39,13238165.316034501
vor40,14657592.131818483
vor41,8860066.783131503
vor42,176878.60470881296
vor43,4108737.073077908
vor44,18118011.084705546
vor45,12767535.302792018
vor46,13131108.058268346
vor47,2411868.767394233
vor48,13142971.31403631
vor49,10259088.545136523
vor50,3806362.9201363553
vor51,389957.5129918636
vor52,18841664.536184113
vor53,37102916.82881806
vor54,7176072.617704648
vor55,7514169.498188689
vor56,5825727.186928831
vor57,14983572.800477592
vor58,19480455.685160495
vor59,4723087.101149458
vor60,3616837.2175610308
vor61,4611427.253146708
vor62,4023016.7343249284
vor63,8135389.005713355
vor64,17696581.066483706
vor65,36399564.931140825
vor66,9637181.153728098
vor67,14277231.293742705
vor68,0.0
vor69,25035116.742362075
vor70,4601063.556873028
vor71,12306029.521800067
vor72,18426513.728933852
vor73,3073257.2843689104
vor74,1760776.3673557192
vor75,1405440.1329629095
vor76,0.0
vor77,3915.7776009109534
vor78,19052967.094186924
vor79,22016408.87276075
vor80,5562264.589743359
vor81,13939977.913411954
vor82,9559904.491332958
vor83,9838303.196930146
vor84,7456822.237632254
vor85,3905.9516857874823
vor86,0.0
vor87,23789.974783245387
vor88,32008858.493095256
vor89,11358015.781923886
vor90,4510605.30612469
vor91,2928091.262898661
vor92,13281653.857420336
vor93,461374.6166798329
vor94,7835.280969480975
vor95,0.0
vor96,97684.18618789734
vor97,13561757.164312646
vor98,31657661.54490196
vor99,4677738.032411938
vor100,4823728.725001407
vor101,11589782.550519474
vor102,3510682.9363557296
vor103,85090.77583092301
vor104,10477.397962887753
vor105,100418.5969894063
vor106,17366593.452458404
vor107,3235069.909824939
vor108,2098930.548486582
vor109,4636250.2007060675
vor110,4069712.757366619
vor111,2575100.3412318076
vor112,17321.118706153175
vor113,370705.6150396283
vor114,264102.0137644115
vor115,16243714.133243421
vor116,4851077.316225325
vor117,4264021.040324306
vor118,7345301.345785562
vor119,9320557.598518169
vor120,1944444.936073796
vor121,77895.19013989788
vor122,41750.21961852765
vor123,380549.24734705104
vor124,1552867.212586714
vor125,10762946.564809706
vor126,6720534.474351236
vor127,19462892.59016388
vor128,15107597.1193518
vor129,8341204.957679025
vor130,6580611.660177271
vor131,1869198.084182674
vor132,564686.8048798385
vor133,3331927.77962313
vor134,5782277.610190385
vor135,1710728.621616931
vor136,159642.7916512014
vor137,18912369.73851448
vor138,6336343.039704131
vor139,488434.80801899335
vor140,12054583.798051974
vor141,27131793.29214979
vor142,15150906.949029688
vor143,9843577.492183294
vor144,8518132.145495573
vor145,3743704.884625586
vor146,992392.2507847452
vor147,606707.3308282174
vor148,1106345.9339165015
vor149,3294158.655051156
vor150,797768.6153905129
vor151,289181.51834466006
vor152,5.874383612660438
vor153,10827507.732806124
vor154,3907884.7283950653
vor155,3321853.3969474435
vor156,17558416.08198907
vor157,21960663.434348237
vor158,13427788.9920034
vor159,27319313.70693716
vor160,31071758.55842523
vor161,13135252.929953704
vor162,32387356.51219815
vor163,33412301.71304836
vor164,2010025.1816428406
vor165,1640360.6187305758
vor166,3273693.6878173766
vor167,3004761.510224979
vor168,1541452.930594754
vor169,860407.259372618
vor170,131287.34799439725
vor171,98816.45633506564
vor172,5390182.339519012
vor173,7154439.164444716
vor174,32058420.984775774
vor175,56149767.64595526
vor176,9650257.721628714
vor177,10489181.72294747
vor178,21660212.456938952
vor179,16174092.412535638
vor180,9296601.38242994
vor181,14255286.50540523
vor182,27092163.66736301
vor183,27552350.303162176
vor184,19684520.157409724
vor185,32438623.21492634
vor186,17498557.649127968
vor187,4422703.038050574
vor188,3208187.100951479
vor189,4139906.58304801
vor190,1662634.6004742656
vor191,459902.94452454406
vor192,713901.757905025
vor193,0.0
vor194,14372719.43291515
vor195,15966131.066351842
vor196,26712187.444738664
vor197,23532516.180733263
vor198,25024301.70913866
vor199,16334460.224728517
vor200,16432246.87462875
vor201,19550652.720276024
vor202,6428685.085183617
vor203,4363246.15568236
vor204,19340306.66492716
vor205,48673054.65548582
vor206,16521671.10532193
vor207,21721921.05214613
vor208,4300683.0706294095
vor209,3969033.929865063
vor210,31449509.918800663
vor211,52993875.14566146
vor212,4365233.67010596
vor213,518114.06558079587
vor214,362951.84044126276
vor215,284742.64428995724
vor216,23238983.910485182
vor217,7241693.611501112
vor218,7125166.469720951
vor219,26752858.498035654
vor220,26232066.93777444
vor221,31740105.220096447
vor222,14318623.443949554
vor223,7616690.953885911
vor224,10192921.238376757
vor225,21597066.10441722
vor226,37239171.76861602
vor227,17354124.297248088
vor228,9418432.535224166
vor229,9058894.796742128
vor230,16953422.483227443
vor231,13620501.475367067
vor232,38916021.88049658
vor233,4636517.126523752
vor234,182967.84283165366
vor235,370564.2553623327
vor236,114259.99840481085
vor237,11234095.166873483
vor238,7013971.432760272
vor239,7196814.887920296
vor240,20252904.632982776
vor241,22952421.08588182
vor242,13904790.418710725
vor243,7494648.370017587
vor244,11111311.972356519
vor245,7112687.779406232
vor246,14928523.412834225
vor247,31821051.379573077
