,0
vor0,4035946.0944780745
vor1,2261986.9691570373
vor2,972702.3964842677
vor3,33307327.73728199
vor4,9947812.590216804
vor5,29000111.272058576
vor6,1355074.7305384858
vor7,107661118.9342157
vor8,31920814.312791873
vor9,29862907.358149458
vor10,22729529.757027097
vor11,63868423.0285178
vor12,2631614.2377425996
vor13,37497090.2496298
vor14,13060232.750365565
vor15,21760001.35661032
vor16,1489109.6624442064
vor17,2776331.7970616836
vor18,2715165.808151563
vor19,81544.37938933654
vor20,1227273.9727855565
vor21,6379375.9547034595
vor22,5319055.899726986
vor23,17580522.934546806
vor24,11542257.202097595
vor25,19973286.13828973
vor26,3085901.1471676794
vor27,23910833.2143125
vor28,2246153.798725719
vor29,16637790.09903344
vor30,3566691.877126742
vor31,12301649.930596812
vor32,4342477.771740732
vor33,533744.2878769691
vor34,16630676.348395256
vor35,8653989.774934107
vor36,21884020.375584487
vor37,25429798.394752238
vor38,32427107.334236994
vor39,6302905.748966576
vor40,8338802.9672048995
vor41,8666710.497580944
vor42,5421646.743008807
vor43,3496064.001727573
vor44,533853.8102822811
vor45,1192186.0730767457
vor46,69511203.53160918
vor47,83510483.7551155
vor48,32898086.596322253
vor49,50802004.93254859
vor50,95636971.49568656
vor51,434158.36891132337
vor52,9702387.353996255
vor53,94053650.95692423
vor54,56217985.67747444
vor55,9038396.915519446
vor56,89772538.68595578
vor57,176688707.36737162
vor58,137569879.13950002
vor59,150585900.26969904
vor60,11689024.990549466
vor61,3018149.257575675
vor62,119055383.73331732
vor63,140352186.57604754
vor64,48901092.26882844
vor65,10393608.93269125
vor66,35871227.46560557
vor67,123574774.29082601
vor68,194350061.20599818
vor69,123519580.7971694
vor70,121718247.0599939
vor71,163973268.68616176
vor72,92420127.78583127
vor73,1605480.9695936015
vor74,38631922.18572129
vor75,14586403.388524178
vor76,27831450.57554006
vor77,62416701.83204256
vor78,119747092.62978588
vor79,240963671.47983363
vor80,197304626.81807667
vor81,145781656.19412407
vor82,111488143.83941151
vor83,164076554.21539262
vor84,21081452.24684886
vor85,5567278.109756288
vor86,214200.29245713985
