,0
vor0,119083196.29404886
vor1,83034370.05825628
vor2,551404.8637580603
vor3,23817585.869836025
vor4,122009851.74434985
vor5,88207264.6077206
vor6,62288009.63271623
vor7,0.0
vor8,78996526.28628936
vor9,263046890.67186433
vor10,58161201.27009593
vor11,129371401.3832839
vor12,38142658.132716306
vor13,15518175.851535026
vor14,0.0
vor15,80807980.49259482
vor16,135368687.1279784
vor17,155225934.12455624
vor18,160051035.40481272
vor19,238252411.9456113
vor20,115604699.36977409
vor21,24448802.992815793
vor22,5307463.464690802
vor23,285446459.6972373
vor24,180149160.70530197
vor25,266253856.02760327
vor26,129358509.08729702
vor27,119214661.6844373
vor28,164857978.3172687
vor29,131391903.44889055
vor30,12357080.835435366
vor31,111749032.24424568
vor32,5288195.608025242
vor33,90428818.91504706
vor34,196942605.88781115
vor35,229475578.29980704
vor36,219464624.7156318
vor37,52586865.297762
vor38,32744101.09211087
vor39,165477066.4504313
vor40,183219901.64773107
vor41,110750834.78914379
vor42,2210982.558860162
vor43,51359213.413473845
vor44,226475138.5588193
vor45,159594191.28490022
vor46,164138850.72835433
vor47,30148359.592427906
vor48,164287141.42545387
vor49,128238606.8142065
vor50,47579536.50170444
vor51,4874468.912398294
vor52,235520806.70230147
vor53,463786460.36022556
vor54,89700907.72130808
vor55,93927118.72735861
vor56,72821589.83661038
vor57,187294660.00596985
vor58,243505696.06450617
vor59,59038588.764368236
vor60,45210465.21951289
vor61,57642840.66433385
vor62,50287709.1790616
vor63,101692362.57141693
vor64,221207263.3310463
vor65,454994561.6392602
vor66,120464764.4216012
vor67,178465391.17178378
vor68,0.0
vor69,312938959.27952594
vor70,57513294.46091285
vor71,153825369.02250084
vor72,230331421.61167315
vor73,38415716.05461138
vor74,22009704.591946486
vor75,17568001.662036367
vor76,0.0
vor77,48947.22001138693
vor78,238162088.67733657
vor79,275205110.90950936
vor80,69528307.37179199
vor81,174249723.91764945
vor82,119498806.14166194
vor83,122978789.96162683
vor84,93210277.97040315
vor85,48824.39607234352
vor86,0.0
vor87,297374.6847905674
vor88,400110731.1636908
vor89,141975197.2740486
vor90,56382566.326558635
vor91,36601140.78623327
vor92,166020673.21775422
vor93,5767182.708497913
vor94,97941.0121185122
vor95,0.0
vor96,1221052.327348717
vor97,169521964.55390805
vor98,395720769.3112745
