,0
vor0,3354193.3251134143
vor1,123072362.12637708
vor2,39686901.96443704
vor3,4168639.941393928
vor4,68136231.03033082
vor5,20813681.469424617
vor6,12028857.931650432
vor7,11684849.816203287
vor8,0.0
vor9,18938.874427564933
vor10,1003260.2770339933
vor11,51465848.79641043
vor12,35243037.71528111
vor13,24387226.23296362
vor14,5937627.906557938
vor15,4939258.416682797
vor16,75037034.13022079
vor17,6770087.729313266
vor18,105185252.04747844
vor19,20615989.44918036
vor20,15280938.546765877
vor21,309620120.6567631
vor22,0.0
vor23,16152566.85983278
vor24,171478504.42868066
vor25,45012937.49457643
vor26,13084428.98134355
vor27,1162387479.408764
vor28,5905637.283252824
vor29,17057594.534121167
vor30,16959929.474801518
vor31,58697920.22290599
vor32,1650028.6819780704
vor33,26745662.81105846
vor34,342143835.0203711
vor35,18814480.254893955
vor36,75715851.64430144
vor37,11684849.816203287
vor38,141463996.96951184
vor39,20637742.076224077
vor40,140095478.14569357
vor41,286004679.14409626
vor42,63955798.04846031
vor43,125550401.93143193
vor44,22135802.107749462
vor45,2487965.09915845
vor46,0.0
vor47,0.0
vor48,10841851.242009925
vor49,26364537.0466942
vor50,410460149.7091621
vor51,424878706.0371039
vor52,67161097.76762912
vor53,20727224.661357474
vor54,0.0
vor55,2813493.5191058433
vor56,10103014.856953625
vor57,55548947.4543213
vor58,67804398.34682056
vor59,2488625.1617757482
vor60,97433066.96958572
vor61,7883148.300885897
vor62,0.0
vor63,74566759.22937016
vor64,5691661.721756148
vor65,15192143.233564379
vor66,109195187.0023309
vor67,234994714.9731653
vor68,46574953.005983554
vor69,3333306.585100001
vor70,0.0
vor71,0.0
vor72,13455105.988058692
vor73,73808543.54905857
vor74,0.0
vor75,37287345.06926309
vor76,306376775.2559954
vor77,326727550.00748163
vor78,43403758.32018552
vor79,34175975.67403922
vor80,0.0
vor81,0.0
vor82,208688130.63057452
vor83,452700000.47409064
vor84,237086361.42855006
vor85,238803207.95387083
vor86,348915515.56791
vor87,712592013.7921526
vor88,486877204.02614635
vor89,4966925.319181617
vor90,146413799.61032823
vor91,89203146.85797967
vor92,84217804.86207178
vor93,341928062.72455955
vor94,522609200.15187013
vor95,208161850.1217774
vor96,234103912.4333003
vor97,461515781.8056686
vor98,446489573.6015307
vor99,245410600.30410814
vor100,148258055.85499692
vor101,244330283.67327154
vor102,113938854.5812179
vor103,463117808.3567607
vor104,306721357.08406407
vor105,107624961.04669613
vor106,65561302.51904194
vor107,24578625.9758766
vor108,377214738.06793636
vor109,572137175.0412015
vor110,162652386.52525908
vor111,243157075.62774262
vor112,666302192.6042845
vor113,641602354.527206
vor114,900654194.1586077
vor115,367781185.58435315
vor116,215802040.56794506
vor117,108500564.76057267
vor118,23954949.147940185
vor119,189507809.9349052
vor120,178154200.82486215
vor121,722436393.8885401
vor122,355597628.58161885
vor123,399980062.2633529
vor124,700387515.008101
vor125,981235769.08953
vor126,1223405256.5436137
vor127,1011424620.1359603
vor128,310714518.8875525
vor129,170987030.31120095
vor130,163086364.49425077
vor131,8033211.307852765
vor132,179884666.26497293
vor133,357988926.8982231
vor134,1.2431439012012413e-242
vor135,12314.184013024364
vor136,494389686.24837387
vor137,490914112.96397364
vor138,815278333.3774039
vor139,829059775.0757177
vor140,1007086933.7586404
vor141,1060003463.5232768
vor142,1286921437.0454416
vor143,978041780.6900933
vor144,593082967.4394863
vor145,411634338.17232215
vor146,49094434.33124519
vor147,9357509.798025552
vor148,21105504.126212332
vor149,212825315.4353573
vor150,7.931227338669565e-243
vor151,14287.319620870761
vor152,14656.382909935097
vor153,8672.960777613742
vor154,1.5966952961947857e-08
vor155,2.1364509701711e-08
vor156,1027928746.4093193
vor157,892165994.5466706
vor158,1003768149.4182658
vor159,1210600797.1863177
vor160,1055534939.938233
vor161,377959131.2239336
vor162,55601440.75847396
vor163,157965585.19581455
vor164,39959671.6819669
vor165,132044314.73016453
vor166,418167781.65421504
vor167,88815688.29612602
vor168,19452.133756127278
vor169,26021.301535726263
vor170,105817173.89569026
vor171,24082.15151897727
vor172,95320.52978451535
vor173,486208838.19638765
vor174,777453927.5136262
vor175,616771838.9056051
vor176,301336748.51945883
vor177,197246686.8773982
vor178,261623787.48404714
vor179,134164517.32210205
vor180,626438868.3115066
vor181,488787768.17642933
vor182,41968632.27523565
vor183,466893322.11573523
vor184,44264540.9768262
vor185,984197.4811684826
vor186,6335140.981545097
vor187,902932.4070913116
vor188,7.8830576238638e-42
vor189,23887.315041077472
vor190,20351.629763282876
vor191,19609.055123360446
vor192,116719882.00137003
vor193,89589067.17544848
vor194,703031217.6825774
vor195,589970045.2361302
vor196,126083437.52969332
vor197,281276581.7395588
vor198,417719330.63703525
vor199,691323477.8638128
vor200,588613272.8039905
vor201,366334410.37218535
vor202,147841708.44182047
vor203,138193864.85886654
vor204,30455607.334100142
vor205,40530661.9614571
vor206,102615270.9291761
vor207,19733420.146561403
vor208,132257237.48967184
vor209,43273385.03699291
vor210,86105539.59763654
vor211,11694885.733801039
vor212,1.2323352566545295e-41
vor213,1.0055028537031581e-41
vor214,625529946.6262859
vor215,544679147.839562
vor216,6.393260583416636e-42
vor217,136550280.25558993
vor218,123735509.50655128
vor219,764189921.9260504
vor220,159615293.13328418
vor221,202309709.24485454
vor222,156622248.95606554
vor223,591605159.19516
vor224,674192752.0215025
vor225,538703029.7183893
vor226,799319804.094997
vor227,389952478.6002135
vor228,174419847.6562749
vor229,109336111.54873224
vor230,20606698.498480953
vor231,23980798.242279593
vor232,4342589.035523174
vor233,22820552.34039543
vor234,2581760.4023500658
vor235,42698910.483522676
vor236,20067997.827740505
vor237,23129156.213702377
vor238,3.4201733517754746e-68
vor239,6.036146283104773e-42
vor240,8.145963009817001e-42
vor241,9.569695172995901e-42
vor242,1.0254626269151416e-41
vor243,863446347.9093941
vor244,11418.520211962385
vor245,3011.134247059535
vor246,384370286.6856559
vor247,464878915.6718815
vor248,185221833.4085568
vor249,160780106.80567268
vor250,133431932.90557761
vor251,898906632.9875519
vor252,912944648.2589934
vor253,850471052.0022006
vor254,1764243695.987446
vor255,1300467706.15878
vor256,289444049.8655096
vor257,13450430.79683298
vor258,13441351.47128173
vor259,23555920.74919932
vor260,6006867.697476517
vor261,849629.0750809432
vor262,0.0
vor263,4342731.834498132
vor264,0.0
vor265,11586655.392545762
vor266,23019044.898425836
vor267,1.1054508779023008e-49
vor268,4.76473916188801e-43
vor269,1.393360128305753e-288
vor270,4.930647418752216e-52
vor271,1.1557510877824137e-42
vor272,238609212.53917238
vor273,352157736.7171656
vor274,2760.6076356374024
vor275,612631768.309858
vor276,118242515.05997658
vor277,96660417.34886979
vor278,35478.69591093612
vor279,42293.13582623431
vor280,120860910.3834477
vor281,107569641.91038884
vor282,865182726.0928285
vor283,969413710.5979823
vor284,1301000211.7239401
vor285,613280270.0836769
vor286,142113936.08964586
vor287,79427638.73973359
vor288,82148324.79232822
vor289,7023142.862930392
vor290,18159895.48096724
vor291,52965841.98700963
vor292,7506010.574567962
vor293,0.0
vor294,5229992.454508181
vor295,28380045.044619028
vor296,19936548.04693531
vor297,7.773853868305592e-44
vor298,2.890098686527802e-289
vor299,3.1735958323075087e-52
vor300,2.3168362078649244e-51
vor301,487915318.2097318
vor302,20958507.73413174
vor303,1739.78986479063
vor304,440311869.36434007
vor305,424682425.2616962
vor306,2729.8780570993385
vor307,1078.7205627531594
vor308,38519581.21638572
vor309,40000442.20373908
vor310,38946454.97615877
vor311,109883252.33514935
vor312,485963534.8623618
vor313,1370938014.1825852
vor314,1162891838.925322
vor315,630558282.2404339
vor316,115620093.36780883
vor317,6009942.133628416
vor318,114701598.41869006
vor319,57441145.17171217
vor320,3279773.0650086375
vor321,3280146.7832368733
vor322,23728693.539500084
vor323,56092773.12407508
vor324,16947015.419772822
vor325,83423432.08935517
vor326,2747679.6674435386
vor327,5.375836584529867e-289
vor328,503.11996136847375
vor329,536.4915566131782
vor330,2562.1161540792764
vor331,3735.074966974496
