,0
vor0,13703444.87892555
vor1,7680234.825509938
vor2,3302663.950853562
vor3,113089996.5033295
vor4,33776293.910968706
vor5,98465494.08652452
vor6,4600951.410665557
vor7,365547054.98594165
vor8,108382299.7597119
vor9,101394987.77418193
vor10,77174682.43083622
vor11,216855575.86426967
vor12,8935248.342102775
vor13,127315701.77781278
vor14,44344046.08263656
vor15,73882795.30383964
vor16,5056046.760857069
vor17,9426614.9388606
vor18,9218935.069537865
vor19,276871.61374053796
vor20,4167023.2564346786
vor21,21660206.729923368
vor22,18060050.2641893
vor23,59692008.103345014
vor24,39189989.56991274
vor25,67816273.86489078
vor26,10477710.87177863
vor27,81185619.75092152
vor28,7626475.688696625
vor29,56491101.26648564
vor30,12110163.117686156
vor31,41768392.787607744
vor32,14744226.852887135
vor33,1812248.047210174
vor34,56466947.60152816
vor35,29383314.1195437
vor36,74303883.13570549
vor37,86343036.41008888
vor38,110101341.18136288
vor39,21400563.705793492
vor40,28313144.958416633
vor41,29426505.410391103
vor42,18408381.964634545
vor43,11870356.843075013
vor44,1812619.9139816994
vor45,4047887.596958257
vor46,236014784.0840683
vor47,283547223.91271776
vor48,111700480.07123372
vor49,172490528.37563005
vor50,324720879.9620987
vor51,1474119.113047749
vor52,32942989.620545432
vor53,319344954.4118825
vor54,190879672.3002621
vor55,30688510.45734511
vor56,304809084.8406867
vor57,599919797.1078205
vor58,467097729.171326
vor59,511291661.3808385
vor60,39688317.40977262
vor61,10247669.57223369
vor62,404234558.7224263
vor63,476544633.49076575
vor64,166036266.77323154
vor65,35289928.00402147
vor66,121795330.46461424
vor67,419579466.196758
vor68,659886254.3273425
vor69,419392065.0322496
vor70,413275908.6223048
vor71,556746447.1669673
vor72,313798573.4123573
vor73,5451167.943271298
vor74,131168852.07244895
vor75,49525927.7842914
vor76,94497483.34950815
vor77,211926475.98786566
vor78,406583151.7197385
vor79,818155721.7687371
vor80,669918035.2427711
vor81,494979576.8451659
vor82,378541139.5477692
vor83,557097137.5685421
vor84,71578884.37302177
vor85,18902851.256381806
vor86,727284.7139242417
vor87,3564167.862413107
vor88,159178944.8168255
vor89,248566818.64617503
