,0
vor0,4763327.851761956
vor1,3321374.8023302513
vor2,22056.194550322412
vor3,952703.434793441
vor4,4880394.069773994
vor5,3528290.5843088236
vor6,2491520.3853086494
vor7,0.0
vor8,3159861.0514515745
vor9,10521875.626874575
vor10,2326448.050803837
vor11,5174856.055331357
vor12,1525706.3253086524
vor13,620727.034061401
vor14,0.0
vor15,3232319.2197037935
vor16,5414747.485119138
vor17,6209037.36498225
vor18,6402041.416192509
vor19,9530096.477824455
vor20,4624187.974790963
vor21,977952.1197126316
vor22,212298.53858763207
vor23,11417858.38788949
vor24,7205966.4282120755
vor25,10650154.241104132
vor26,5174340.363491882
vor27,4768586.467377493
vor28,6594319.132690747
vor29,5255676.137955621
vor30,494283.23341741465
vor31,4469961.289769826
vor32,211527.82432100966
vor33,3617152.756601882
vor34,7877704.235512446
vor35,9179023.131992282
vor36,8778584.988625273
vor37,2103474.61191048
vor38,1309764.0436844348
vor39,6619082.658017251
vor40,7328796.065909241
vor41,4430033.391565751
vor42,88439.30235440648
vor43,2054368.536538954
vor44,9059005.542352773
vor45,6383767.651396009
vor46,6565554.029134173
vor47,1205934.3836971165
vor48,6571485.657018155
vor49,5129544.272568261
vor50,1903181.4600681777
vor51,194978.7564959318
vor52,9420832.268092057
vor53,18551458.41440903
vor54,3588036.308852324
vor55,3757084.7490943447
vor56,2912863.5934644155
vor57,7491786.400238796
vor58,9740227.842580248
vor59,2361543.550574729
vor60,1808418.6087805154
vor61,2305713.626573354
vor62,2011508.3671624642
vor63,4067694.5028566774
vor64,8848290.533241853
vor65,18199782.465570413
vor66,4818590.576864049
vor67,7138615.646871353
vor68,0.0
vor69,12517558.371181037
vor70,2300531.778436514
vor71,6153014.760900034
vor72,9213256.864466926
vor73,1536628.6421844552
vor74,880388.1836778596
vor75,702720.0664814548
vor76,0.0
vor77,1957.8888004554767
vor78,9526483.547093462
vor79,11008204.436380375
vor80,2781132.2948716795
vor81,6969988.956705977
vor82,4779952.245666479
vor83,4919151.598465073
vor84,3728411.118816127
vor85,1952.9758428937412
vor86,0.0
vor87,11894.987391622693
vor88,16004429.246547628
vor89,5679007.890961943
vor90,2255302.653062345
vor91,1464045.6314493306
vor92,6640826.928710168
vor93,230687.30833991646
vor94,3917.6404847404874
vor95,0.0
vor96,48842.09309394867
vor97,6780878.582156323
vor98,15828830.77245098
vor99,2338869.016205969
vor100,2411864.3625007034
vor101,5794891.275259737
vor102,1755341.4681778648
vor103,42545.387915461506
vor104,5238.698981443877
vor105,50209.29849470315
vor106,8683296.726229202
vor107,1617534.9549124695
vor108,1049465.274243291
vor109,2318125.1003530337
vor110,2034856.3786833095
vor111,1287550.1706159038
vor112,8660.559353076587
vor113,185352.80751981415
vor114,132051.00688220575
vor115,8121857.066621711
vor116,2425538.6581126624
vor117,2132010.520162153
vor118,3672650.672892781
vor119,4660278.799259084
vor120,972222.468036898
vor121,38947.59506994894
vor122,20875.109809263824
vor123,190274.62367352552
vor124,776433.606293357
vor125,5381473.282404853
vor126,3360267.237175618
vor127,9731446.29508194
vor128,7553798.5596759
vor129,4170602.4788395124
vor130,3290305.8300886354
vor131,934599.042091337
vor132,282343.40243991924
vor133,1665963.889811565
vor134,2891138.8050951925
vor135,855364.3108084655
vor136,79821.3958256007
vor137,9456184.86925724
vor138,3168171.5198520655
vor139,244217.40400949668
vor140,6027291.899025987
vor141,13565896.646074895
vor142,7575453.474514844
vor143,4921788.746091647
vor144,4259066.0727477865
vor145,1871852.442312793
vor146,496196.1253923726
vor147,303353.6654141087
vor148,553172.9669582507
vor149,1647079.327525578
vor150,398884.30769525643
vor151,144590.75917233003
vor152,2.937191806330219
vor153,5413753.866403062
vor154,1953942.3641975326
vor155,1660926.6984737217
vor156,8779208.040994534
vor157,10980331.717174118
vor158,6713894.4960017
vor159,13659656.85346858
vor160,15535879.279212615
vor161,6567626.464976852
vor162,16193678.256099075
vor163,16706150.85652418
vor164,1005012.5908214203
vor165,820180.3093652879
vor166,1636846.8439086883
vor167,1502380.7551124895
vor168,770726.465297377
vor169,430203.629686309
vor170,65643.67399719862
vor171,49408.22816753282
vor172,2695091.169759506
vor173,3577219.582222358
vor174,16029210.492387887
vor175,28074883.82297763
vor176,4825128.860814357
vor177,5244590.861473735
vor178,10830106.228469476
vor179,8087046.206267819
vor180,4648300.69121497
vor181,7127643.252702615
vor182,13546081.833681505
vor183,13776175.151581088
vor184,9842260.078704862
vor185,16219311.60746317
vor186,8749278.824563984
vor187,2211351.519025287
vor188,1604093.5504757394
vor189,2069953.291524005
vor190,831317.3002371328
vor191,229951.47226227203
vor192,356950.8789525125
vor193,0.0
vor194,7186359.716457575
vor195,7983065.533175921
vor196,13356093.722369332
vor197,11766258.090366632
vor198,12512150.85456933
vor199,8167230.112364259
vor200,8216123.437314375
