,0
vor0,465860.18404352956
vor1,17093383.628663495
vor2,5512069.717282918
vor3,578977.7696380456
vor4,9463365.420879295
vor5,2890789.0929756397
vor6,1670674.7127292256
vor7,1622895.8078060118
vor8,0.0
vor9,2630.3992260506857
vor10,139341.7051436101
vor11,7148034.5550570125
vor12,4894866.3493446
vor13,3387114.7545782807
vor14,824670.542577491
vor15,686008.1134281663
vor16,10421810.295864
vor17,940289.962404621
vor18,14609062.784372015
vor19,2863331.8679417158
vor20,2122352.5759397056
vor21,43002794.53566159
vor22,0.0
vor23,2243412.063865663
vor24,23816458.948427867
vor25,6251796.874246726
vor26,1817281.8029643807
vor27,161442705.4734395
vor28,820227.4004517808
vor29,2369110.351961275
vor30,2355545.7603890984
vor31,8152488.919848055
vor32,229170.650274732
vor33,3714675.390424785
vor34,47519977.086162634
vor35,2613122.25762416
vor36,10516090.50615299
vor37,1622895.8078060118
vor38,19647777.356876634
vor39,2866353.0661422336
vor40,19457705.298013005
vor41,39722872.10334672
vor42,8882749.728952821
vor43,17437555.823810004
vor44,3074416.959409646
vor45,345550.7082164514
vor46,0.0
vor47,0.0
vor48,1505812.6725013778
vor49,3661741.2564853
vor50,57008354.12627251
vor51,59010931.3940422
vor52,9327930.245504046
vor53,2878781.2029663147
vor54,0.0
vor55,390762.9887647
vor56,1403196.5079102267
vor57,7715131.590877958
vor58,9417277.548169525
vor59,345642.3835799651
vor60,13532370.412442453
vor61,1094881.7084563747
vor62,0.0
vor63,10356494.337412508
vor64,790508.572466132
vor65,2110019.893550608
vor66,15165998.194768181
vor67,32638154.85738407
vor68,6468743.473053266
vor69,462959.24793055584
vor70,0.0
vor71,0.0
vor72,1868764.7205637076
vor73,10251186.604035912
vor74,0.0
vor75,5178797.92628654
vor76,42552329.89666599
vor77,45378826.38992801
vor78,6028299.766692437
vor79,4746663.288061001
vor80,0.0
vor81,0.0
vor82,28984462.5875798
vor83,62875000.06584596
vor84,32928661.309520826
vor85,33167112.215815406
vor86,48460488.27332083
vor87,98971113.0266878
vor88,67621833.89252038
vor89,689850.7387752243
vor90,20335249.945878915
vor91,12389325.95249718
vor92,11696917.341954416
vor93,47490008.71174443
vor94,72584611.13220416
vor95,28911368.07246907
vor96,32514432.282402836
vor97,64099414.13967623
vor98,62012440.77799043
vor99,34084805.59779281
vor100,20591396.64652736
vor101,33934761.62128772
vor102,15824840.914058039
vor103,64321917.827327855
vor104,42600188.48389774
vor105,14947911.256485587
vor106,9105736.460978046
vor107,3413698.0522050816
vor108,52390935.84276899
vor109,79463496.53350021
vor110,22590609.239619315
vor111,33771816.059408695
vor112,92541971.1950396
vor113,89111438.12877862
vor114,125090860.29980662
vor115,51080720.220049046
vor116,29972505.634436846
vor117,15069522.883412864
vor118,3327076.2705472484
vor119,26320529.157625727
vor120,24743639.003453083
vor121,100338388.04007512
vor122,49388559.52522486
vor123,55552786.42546572
vor124,97276043.75112513
vor125,136282745.70687923
vor126,169917396.7421686
vor127,140475641.68555003
vor128,43154794.28993781
vor129,23748198.654333495
vor130,22650883.957534805
vor131,1115723.7927573293
vor132,24983981.425690677
vor133,49720684.2914199
vor134,1.7265887516683906e-243
vor135,1710.3033351422725
vor136,68665234.20116301
vor137,68182515.68944082
vor138,113233101.85797286
vor139,115147190.9827386
vor140,139873185.24425575
vor141,147222703.26712173
vor142,178739088.47853357
vor143,135839136.2069575
vor144,82372634.36659531
vor145,57171435.85726702
vor146,6818671.43489516
vor147,1299654.1386146613
vor148,2931320.0175294895
vor149,29559071.588244047
vor150,1.1015593525929951e-243
vor151,1984.349947343161
vor152,2035.6087374909853
vor153,1204.5778857796865
vor154,2.2176323558260914e-09
vor155,2.9672930141265278e-09
vor156,142767881.44573882
vor157,123911943.68703756
vor158,139412242.9747591
vor159,168138999.60921073
vor160,146602074.99142116
vor161,52494323.7811019
vor162,7722422.3275658265
vor163,21939664.610529788
vor164,5549954.4002731815
vor165,18339488.156967286
vor166,58078858.56308543
vor167,12335512.263350844
vor168,2701.685243906566
vor169,3614.0696577397594
vor170,14696829.707734762
vor171,3344.743266524621
vor172,13238.962470071576
vor173,67529005.30505386
vor174,107979712.15467027
vor175,85662755.4035562
vor176,41852326.18325818
vor177,27395373.177416414
vor178,36336637.1505621
vor179,18633960.739180848
vor180,87005398.37659813
vor181,67887190.02450408
vor182,5828976.704893841
vor183,64846294.738296576
vor184,6147852.913448082
vor185,136694.0946067337
vor186,879880.6918812637
vor187,125407.27876268225
vor188,1.0948691144255278e-42
vor189,3317.6826445940937
vor190,2826.615244900399
vor191,2723.479878244506
vor192,16211094.722412502
vor193,12442925.996590067
vor194,97643224.67813581
vor195,81940284.06057367
vor196,17511588.54579074
vor197,39066191.90827204
vor198,58016573.69958824
vor199,96017149.70330733
vor200,81751843.44499871
vor201,50879779.21835907
vor202,20533570.616919503
vor203,19193592.34150925
vor204,4229945.463069465
vor205,5629258.605757926
vor206,14252120.962385572
vor207,2740752.7981335283
vor208,18369060.762454417
vor209,6010192.366249007
vor210,11959102.721893959
vor211,1624289.6852501433
vor212,1.711576745353513e-42
vor213,1.3965317412543861e-42
vor214,86879159.25365081
vor215,75649881.64438365
vor216,8.879528588078662e-43
vor217,18965316.70216527
vor218,17185487.43146546
vor219,106137489.15639584
vor220,22168790.712956138
vor221,28098570.72845201
vor222,21753090.13278688
vor223,82167383.22154999
vor224,93637882.22520874
vor225,74819865.2386652
vor226,111016639.45763841
vor227,54160066.47225194
vor228,24224978.841149304
vor229,15185571.048435017
vor230,2862041.4581223545
vor231,3330666.422538832
vor232,603137.3660448852
vor233,3169521.1583882524
vor234,358577.8336597315
vor235,5930404.233822595
vor236,2787221.9205195154
vor237,3212382.807458662
vor238,4.750240766354827e-69
vor239,8.383536504312186e-43
vor240,1.1313837513634725e-42
vor241,1.3291243295827642e-42
vor242,1.4242536484932524e-42
vor243,119923103.87630467
vor244,1585.9055849947754
vor245,418.21308986937987
vor246,53384762.03967448
vor247,64566516.06553906
vor248,25725254.640077326
vor249,22330570.389676753
vor250,18532212.903552447
vor251,124848143.47049329
vor252,126797867.81374907
vor253,118120979.44475009
vor254,245033846.6649233
vor255,180620514.74427494
vor256,40200562.48132079
vor257,1868115.3884490249
vor258,1866854.37101135
vor259,3271655.659611016
vor260,834287.1802050712
vor261,118004.03820568652
vor262,0.0
vor263,603157.1992358516
vor264,0.0
vor265,1609257.6934091346
vor266,3197089.5692258114
vor267,1.5353484415309735e-50
vor268,6.617693280400013e-44
vor269,1.9352224004246569e-289
vor270,6.848121414933634e-53
vor271,1.6052098441422413e-43
vor272,33140168.408218365
vor273,48910796.766273014
vor274,383.4177271718615
vor275,85087745.59859146
vor276,16422571.536107866
vor277,13425057.965120807
vor278,4927.596654296684
vor279,5874.046642532543
vor280,16786237.553256616
vor281,14940228.043109559
vor282,120164267.5128929
vor283,134640793.1386087
vor284,180694473.85054713
vor285,85177815.2893995
vor286,19738046.679117486
vor287,11031616.491629664
vor288,11409489.55449004
vor289,975436.5087403327
vor290,2522207.705689895
vor291,7356366.942640223
vor292,1042501.4686899952
vor293,0.0
vor294,726387.8409039149
vor295,3941672.9228637535
vor296,2768965.006518792
vor297,1.0797019261535544e-44
vor298,4.014025953510836e-290
vor299,4.407771989315985e-53
vor300,3.2178280664790614e-52
vor301,67766016.41801834
vor302,2910903.851962742
vor303,241.63748122092082
vor304,61154426.30060286
vor305,58983670.175235614
vor306,379.149730152686
vor307,149.82230038238325
vor308,5349941.835609127
vor309,5555616.972741539
vor310,5409229.85779983
vor311,15261562.8243263
vor312,67494935.39755031
vor313,190408057.52535915
vor314,161512755.40629458
vor315,87577539.20006022
vor316,16058346.301084558
vor317,834714.185226169
vor318,15930777.558151394
vor319,7977936.829404473
vor320,455524.0368067553
vor321,455575.9421162324
vor322,3295651.8804861233
vor323,7790662.933899312
vor324,2353752.1416351134
vor325,11586587.790188212
vor326,381622.17603382486
vor327,7.466439700735927e-290
vor328,69.87777241228801
vor329,74.51271619627475
vor330,355.84946584434397
vor331,518.760412079791
vor332,182.0633783403875
vor333,210.96136463254686
vor334,12824344.678341059
vor335,2.4736662002190947e-52
vor336,2.5450826505932052e-52
vor337,18154036.77841984
vor338,4982682.532589002
vor339,4274349.942970732
vor340,3169639.585093474
vor341,12339861.156857021
vor342,11569093.689185431
vor343,80185497.04957993
vor344,55803121.90778861
vor345,12182437.771731023
vor346,24798682.240851738
vor347,237758.11262025314
vor348,0.0
vor349,3481030.8651228505
vor350,539030.711634092
vor351,424043.86329194444
vor352,82202.74873820621
vor353,0.0
vor354,0.0
vor355,975844.9945421537
vor356,0.0
vor357,0.0
vor358,6.137618430489678e-13
vor359,146.7284187044848
vor360,160.25128708660247
vor361,240.92207651985865
vor362,377.3252809651663
vor363,19655170.422521662
vor364,34402282.5700094
vor365,25069425.21349863
vor366,7455662.1734714685
vor367,11106541.441621931
vor368,56254176.6111022
vor369,54965640.07379908
vor370,14205586.134942628
vor371,19388421.383818515
vor372,102472420.76097168
vor373,106617921.56847431
vor374,52042029.3225638
vor375,4138065.050617003
vor376,2601384.9731670986
vor377,14723573.7328321
vor378,1997874.4477320036
vor379,1327268.9278331783
vor380,1547199.4303793714
vor381,3660432.9908800125
vor382,580821.2222432592
vor383,289103.73556951515
vor384,591791.4696016838
