,0
vor0,4692960.574974503
vor1,2630217.405996555
vor2,1131049.2982375212
vor3,38729450.857304625
vor4,11567223.942112565
vor5,33721059.61867275
vor6,1575668.2913238197
vor7,125187347.59792522
vor8,37117225.94510682
vor9,34724310.88156915
vor10,26429685.763985015
vor11,74265608.17269512
vor12,3060016.5555146495
vor13,43601267.732127704
vor14,15186317.151587866
vor15,25302327.15884919
vor16,1731522.863307215
vor17,3228292.787281027
vor18,3157169.544362285
vor19,94819.04580155411
vor20,1427062.7590529714
vor21,7417879.017097041
vor22,6184948.720612771
vor23,20442468.52854281
vor24,13421229.304764641
vor25,23224751.323592726
vor26,3588257.147869392
vor27,27803294.43524709
vor28,2611806.7427043244
vor29,19346267.55701563
vor30,4147316.1361938845
vor31,14304244.105345126
vor32,5049392.757838057
vor33,620632.8928801967
vor34,19337995.75394799
vor35,10062778.80806291
vor36,25446535.320447084
vor37,29569533.017153744
vor38,37705938.76074068
vor39,7328960.173216946
vor40,9696282.520005697
vor41,10077570.346024357
vor42,6304240.398847445
vor43,4065190.699683227
vor44,620760.2445142801
vor45,1386262.8756706354
vor46,80826980.85070835
vor47,97105213.6687389
vor48,38253589.06549095
vor49,59072098.75877735
vor50,111205780.80893785
vor51,504835.31268758536
vor52,11281845.760460759
vor53,109364710.4150282
vor54,65369750.78776094
vor55,10509763.855255168
vor56,104386672.89064611
vor57,205451985.3108974
vor58,159964975.74360475
vor59,175099884.0345339
vor60,13591889.523894725
vor61,3509475.8809019504
vor62,138436492.71315965
vor63,163200216.94889244
vor64,56861735.19631215
vor65,12085591.782199133
vor66,41710729.61116927
vor67,143691598.01258835
vor68,225988443.26278856
vor69,143627419.53159228
vor70,141532845.41859758
vor71,190666591.49553695
vor72,107465264.86724564
vor73,1866838.3367367457
vor74,44920839.7508387
vor75,16960934.172702517
vor76,32362151.832023326
vor77,72577560.26981695
vor78,139240805.38347208
vor79,280190315.6742251
vor80,229423984.67218184
vor81,169513553.71409777
vor82,129637376.55745523
vor83,190786690.94813088
vor84,24513316.56610335
vor85,6473579.1973910285
vor86,249070.10750830208
vor87,1220605.4323332554
vor88,54513337.26603615
vor89,85125622.82403249
vor90,47726916.508545525
vor91,105245841.74554507
vor92,120426855.10988094
vor93,148706815.72041783
vor94,160656027.77705935
vor95,177781535.60688686
vor96,156023060.01681617
vor97,176388279.40360194
vor98,204847451.04266962
vor99,118427594.85997735
vor100,104054829.55271313
vor101,763563.7575266345
vor102,4726674.197890085
vor103,1886820.5623593638
vor104,88669281.60935277
vor105,81824596.77491996
vor106,134384811.19179422
vor107,138465864.52664852
vor108,149260973.4657936
vor109,137197649.40622783
vor110,174051520.58997515
vor111,97286195.92099936
vor112,178288315.2543835
vor113,251918464.473004
vor114,162651440.76262426
vor115,138795336.50444052
vor116,140954233.8381536
vor117,196071997.69877777
vor118,95602459.75864106
vor119,10595458.70318479
vor120,8072138.533599478
vor121,7972282.243746762
vor122,6.607593460841834e-65
vor123,8431186.327952484
vor124,42516677.780611284
vor125,88821986.95028426
vor126,106882041.35197583
vor127,229132325.17815402
vor128,116668505.71841866
vor129,157635951.12946674
vor130,137769556.99273506
vor131,189180011.39397788
vor132,275927532.62051415
vor133,246164753.30936676
vor134,147951780.65096024
vor135,7698449.919916941
vor136,278413774.7194842
vor137,227549888.23606637
vor138,243434504.37179732
vor139,26036960.578933798
vor140,2.4386499135313318e-64
vor141,2.5635143614985612e-64
vor142,1977141.109273947
vor143,103082481.10058081
vor144,81740961.76570724
vor145,120769691.75184241
vor146,123718029.36715482
vor147,77200892.08439198
vor148,115144649.97875889
vor149,125415191.62542327
vor150,268666037.6116917
vor151,197111723.21621385
vor152,374139609.65086585
vor153,164016293.570187
vor154,381358279.0738036
vor155,263031432.25792736
vor156,304970776.6207671
vor157,454357281.4260408
vor158,348935592.05180454
vor159,3.284098205133654e-63
vor160,35100338.653117985
vor161,10272037.006802687
vor162,77903803.93881293
vor163,129203156.4795093
vor164,302548762.01324534
vor165,35048117.50752395
vor166,93246457.36968085
vor167,111395666.4991513
vor168,27199001.917254075
vor169,115201540.11475903
vor170,128018386.32268497
vor171,229256262.3786947
vor172,287894676.2708925
vor173,475148825.4485804
vor174,333729634.59525394
vor175,342418507.39925784
vor176,4.394607985289977
vor177,225694074.69430676
vor178,161606834.4140798
vor179,361424736.5192145
vor180,515194213.1478611
vor181,435095329.363602
vor182,244244034.4475459
vor183,154081120.19466576
vor184,28820470.581861418
vor185,273081766.4823075
vor186,284525157.0479848
vor187,209547493.9084637
vor188,84036798.5289332
vor189,7554484.917543404
vor190,10340671.557510823
vor191,190959429.51794854
vor192,14787783.087967644
vor193,22761988.328111224
vor194,157835276.84744278
vor195,139101678.09816298
vor196,169549667.5535867
vor197,513597872.7259004
vor198,438927125.078644
vor199,336106784.10226446
vor200,331414813.5570228
vor201,225284333.6535179
vor202,43168969.36972204
vor203,281728736.0010507
vor204,299030204.4465745
vor205,147587774.17683905
vor206,114819118.51608682
vor207,444934171.7934672
vor208,157414212.8266891
vor209,62587520.06745317
vor210,47700479.97670321
vor211,174108131.8413491
vor212,225681542.13565174
vor213,49069341.62136005
vor214,24871943.53823012
vor215,19706944.25454603
vor216,16023829.44615839
vor217,86569968.84413795
vor218,105192654.07709822
vor219,46471576.897962846
vor220,70925704.99971865
vor221,200098732.65879124
vor222,38611499.53124922
vor223,111308059.05845274
vor224,400558041.1335769
vor225,110609008.85263936
vor226,309973299.44115776
vor227,343119327.2096274
vor228,237328421.96448138
vor229,228182662.05292988
vor230,241250220.01306343
vor231,245583259.3308989
vor232,182688004.4894948
vor233,78820261.87602593
vor234,139776132.1247909
vor235,331493377.86840063
vor236,37188235.28569394
vor237,107809246.19865431
vor238,91304967.28346285
vor239,90083198.22347651
vor240,23367643.989861164
vor241,16639457.295346249
vor242,13673986.543371081
vor243,54248370.00323446
vor244,139475918.60158584
vor245,232675843.65349153
vor246,115219490.94386008
vor247,275724483.39628243
vor248,73244992.96007939
vor249,183279068.516581
vor250,281097443.1033692
vor251,92969205.57165265
vor252,12267551.077797612
vor253,98129318.96397053
vor254,153116687.6860235
vor255,125163897.31119639
vor256,1.7049722816204884e-174
vor257,215634549.8891064
vor258,239185114.2561394
vor259,293572643.48817855
vor260,18912494.821005777
vor261,0.0
vor262,12438400.76399088
vor263,161165276.8761521
vor264,70836154.45352003
vor265,5345934.973685541
vor266,12822835.499381883
vor267,161278455.20941985
vor268,203530053.2674101
vor269,186918290.32295984
vor270,233682768.91526052
vor271,157865532.7663409
vor272,433660174.98206955
vor273,242717760.11744958
vor274,306092496.688788
vor275,170674231.8259083
vor276,255655281.43883258
vor277,4480.524318562658
vor278,131416.33921387023
vor279,113389153.00872757
vor280,190304650.5105492
vor281,121218724.23753902
vor282,225791652.1768792
vor283,297034213.9331209
vor284,80960605.24583055
vor285,5508699.357668492
vor286,46985603.249134734
vor287,157539538.82785794
vor288,81489806.89488725
vor289,223589551.10025156
vor290,155259162.32221076
vor291,520393612.57611626
vor292,245283706.84916875
vor293,317117696.8467547
vor294,265508140.34410977
vor295,356006835.2255679
vor296,234333995.06652257
vor297,316067221.497095
vor298,110032313.40304406
vor299,167489579.6149949
vor300,146851115.18850508
vor301,167232778.71875694
vor302,113951981.93716526
vor303,175464389.50835615
vor304,166224986.16772145
vor305,194172630.11258048
vor306,233869714.9117587
vor307,25440729.16155953
vor308,86368792.44850424
vor309,14696701.571574721
vor310,48902412.62581956
vor311,165713703.13715735
vor312,184074798.9282103
vor313,234428099.92830694
vor314,203213085.57394278
vor315,204783366.08533025
vor316,138146757.7469376
vor317,130689776.39579143
vor318,89121878.05594487
vor319,112300239.39529788
vor320,194790603.34024054
vor321,165352426.36542588
vor322,289104399.68861634
vor323,283890039.93062603
vor324,352549444.0820202
vor325,246142318.69776073
vor326,172574371.09968913
vor327,200352611.16851324
vor328,380771131.4028019
