,0
vor0,14289983.555285862
vor1,9964124.406990753
vor2,66168.58365096724
vor3,2858110.304380323
vor4,14641182.209321983
vor5,10584871.752926473
vor6,7474561.155925947
vor7,0.0
vor8,9479583.154354723
vor9,31565626.88062372
vor10,6979344.152411509
vor11,15524568.165994069
vor12,4577118.975925957
vor13,1862181.1021842035
vor14,0.0
vor15,9696957.659111379
vor16,16244242.455357408
vor17,18627112.09494675
vor18,19206124.248577528
vor19,28590289.433473364
vor20,13872563.92437289
vor21,2933856.359137895
vor22,636895.6157628963
vor23,34253575.16366847
vor24,21617899.28463623
vor25,31950462.723312404
vor26,15523021.090475641
vor27,14305759.402132478
vor28,19782957.398072243
vor29,15767028.413866866
vor30,1482849.7002522442
vor31,13409883.86930948
vor32,634583.4729630289
vor33,10851458.26980565
vor34,23633112.70653734
vor35,27537069.39597684
vor36,26335754.965875823
vor37,6310423.835731441
vor38,3929292.1310533043
vor39,19857247.97405175
vor40,21986388.197727725
vor41,13290100.174697254
vor42,265317.9070632194
vor43,6163105.609616863
vor44,27177016.627058323
vor45,19151302.954188026
vor46,19696662.087402515
vor47,3617803.15109135
vor48,19714456.97105446
vor49,15388632.817704778
vor50,5709544.380204532
vor51,584936.2694877953
vor52,28262496.80427617
vor53,55654375.243227065
vor54,10764108.926556973
vor55,11271254.247283034
vor56,8738590.780393245
vor57,22475359.200716387
vor58,29220683.527740743
vor59,7084630.651724188
vor60,5425255.826341547
vor61,6917140.879720062
vor62,6034525.1014873935
vor63,12203083.50857003
vor64,26544871.599725556
vor65,54599347.39671123
vor66,14455771.730592148
vor67,21415846.94061406
vor68,0.0
vor69,37552675.11354311
vor70,6901595.335309544
vor71,18459044.282700103
vor72,27639770.59340077
vor73,4609885.926553366
vor74,2641164.5510335783
vor75,2108160.1994443643
vor76,0.0
vor77,5873.666401366428
vor78,28579450.641280398
vor79,33024613.309141118
vor80,8343396.884615038
vor81,20909966.87011793
vor82,14339856.736999435
vor83,14757454.795395222
vor84,11185233.35644838
vor85,5858.927528681223
vor86,0.0
vor87,35684.962174868066
vor88,48013287.73964288
vor89,17037023.672885835
vor90,6765907.959187036
vor91,4392136.894347992
vor92,19922480.786130507
vor93,692061.9250197496
vor94,11752.921454221461
vor95,0.0
vor96,146526.27928184601
vor97,20342635.74646897
vor98,47486492.31735294
vor99,7016607.048617905
vor100,7235593.087502109
vor101,17384673.82577921
vor102,5266024.404533594
vor103,127636.16374638453
vor104,15716.096944331624
vor105,150627.8954841094
vor106,26049890.178687606
vor107,4852604.864737409
vor108,3148395.822729873
vor109,6954375.301059102
vor110,6104569.136049928
vor111,3862650.511847711
vor112,25981.678059229762
vor113,556058.4225594425
vor114,396153.0206466173
vor115,24365571.199865133
vor116,7276615.974337988
vor117,6396031.560486459
vor118,11017952.018678343
vor119,13980836.397777252
vor120,2916667.404110694
vor121,116842.78520984683
vor122,62625.32942779147
vor123,570823.8710205765
vor124,2329300.818880071
vor125,16144419.847214563
vor126,10080801.711526852
vor127,29194338.885245807
vor128,22661395.679027703
vor129,12511807.436518537
vor130,9870917.490265906
vor131,2803797.126274011
vor132,847030.2073197577
vor133,4997891.6694346955
vor134,8673416.415285578
vor135,2566092.9324253965
vor136,239464.18747680212
vor137,28368554.60777172
vor138,9504514.559556197
vor139,732652.2120284903
vor140,18081875.69707796
vor141,40697689.93822467
vor142,22726360.423544534
vor143,14765366.238274947
vor144,12777198.218243359
vor145,5615557.326938379
vor146,1488588.3761771177
vor147,910060.9962423261
vor148,1659518.9008747523
vor149,4941237.982576734
vor150,1196652.9230857694
vor151,433772.2775169901
vor152,8.811575418990655
vor153,16241261.599209182
vor154,5861827.092592598
vor155,4982780.095421166
vor156,26337624.122983605
vor157,32940995.151522364
vor158,20141683.488005098
vor159,40978970.560405746
vor160,46607637.83763785
vor161,19702879.394930556
vor162,48581034.76829722
vor163,50118452.56957254
vor164,3015037.7724642605
vor165,2460540.928095863
vor166,4910540.531726064
vor167,4507142.265337469
vor168,2312179.395892131
vor169,1290610.8890589268
vor170,196931.02199159586
vor171,148224.68450259848
vor172,8085273.509278519
vor173,10731658.746667072
vor174,48087631.47716366
vor175,84224651.46893285
vor176,14475386.582443072
vor177,15733772.584421206
vor178,32490318.685408432
vor179,24261138.618803456
vor180,13944902.07364491
vor181,21382929.75810785
vor182,40638245.50104451
vor183,41328525.45474326
vor184,29526780.236114588
vor185,48657934.8223895
vor186,26247836.47369195
vor187,6634054.55707586
vor188,4812280.651427219
vor189,6209859.874572014
vor190,2493951.9007113986
vor191,689854.4167868162
vor192,1070852.6368575376
vor193,0.0
vor194,21559079.14937272
vor195,23949196.59952776
vor196,40068281.16710799
vor197,35298774.27109989
vor198,37536452.56370799
vor199,24501690.33709277
vor200,24648370.311943125
vor201,29325979.08041403
vor202,9643027.627775425
vor203,6544869.233523539
vor204,29010459.997390743
vor205,73009581.98322871
vor206,24782506.6579829
vor207,32582881.578219198
vor208,6451024.605944117
vor209,5953550.894797593
vor210,47174264.878201
vor211,79490812.7184922
vor212,6547850.505158941
vor213,777171.0983711939
vor214,544427.7606618941
vor215,427113.9664349359
vor216,34858475.865727775
vor217,10862540.41725167
vor218,10687749.704581425
vor219,40129287.74705349
vor220,39348100.40666166
vor221,47610157.83014467
vor222,21477935.16592433
vor223,11425036.43082887
vor224,15289381.857565131
vor225,32395599.156625833
vor226,55858757.65292403
vor227,26031186.44587213
vor228,14127648.80283625
vor229,13588342.195113193
vor230,25430133.724841177
vor231,20430752.213050608
vor232,58374032.82074486
vor233,6954775.689785625
vor234,274451.76424748055
vor235,555846.3830434991
vor236,171389.99760721624
vor237,16851142.750310224
vor238,10520957.149140406
vor239,10795222.331880443
vor240,30379356.94947416
vor241,34428631.62882273
vor242,20857185.628066085
vor243,11241972.555026382
vor244,16666967.958534785
vor245,10669031.669109348
vor246,22392785.119251337
vor247,47731577.06935963
vor248,27123927.76751716
vor249,29490704.18781305
vor250,24344669.60693326
vor251,14225923.98325958
vor252,22039902.961739477
vor253,25125396.727365665
vor254,9737967.981111493
vor255,3409526.029098472
vor256,2178849.5067518684
vor257,28352996.19985883
vor258,5285821.692946378
vor259,10569705.705992905
vor260,34156050.250298746
vor261,8428552.6758775
vor262,2897399.3959094123
vor263,8068019.801039962
vor264,34700414.52588872
vor265,14910586.3176057
vor266,49251210.74197927
vor267,31023735.99126071
vor268,6025425.655493147
vor269,10849598.778729795
vor270,26554387.17785597
vor271,22708635.445954487
vor272,8277769.515873967
vor273,3020375.9978001486
vor274,2801079.6785276514
vor275,6913029.657294704
vor276,27808545.26472451
vor277,25785252.034272347
vor278,11210419.503902446
vor279,33018788.87977489
vor280,28130408.582897417
vor281,4196093.695460814
vor282,13620566.037204735
vor283,35729733.60074191
vor284,23704786.37083899
vor285,9242312.738235626
vor286,9132161.27706554
vor287,24167504.353191376
vor288,13640678.675855746
vor289,19226126.785231043
vor290,248989.77857624827
vor291,14311197.29508647
vor292,10671768.290611854
vor293,4610044.073035781
vor294,32481709.043383587
vor295,13973743.815330986
