,0
vor0,745376.2944696473
vor1,27349413.805861574
vor2,8819311.547652679
vor3,926364.4314208729
vor4,15141384.673406858
vor5,4625262.548761025
vor6,2673079.5403667623
vor7,2596633.292489621
vor8,0.0
vor9,4208.638761681098
vor10,222946.7282297762
vor11,11436855.288091203
vor12,7831786.158951365
vor13,5419383.607325249
vor14,1319472.8681239858
vor15,1097612.9814850672
vor16,16674896.473382402
vor17,1504463.939847393
vor18,23374500.454995193
vor19,4581330.988706745
vor20,3395764.1215035254
vor21,68804471.25705847
vor22,0.0
vor23,3589459.3021850633
vor24,38106334.317484625
vor25,10002874.998794766
vor26,2907650.8847430106
vor27,258308328.7575033
vor28,1312363.840722849
vor29,3790576.5631380402
vor30,3768873.2166225608
vor31,13043982.271756893
vor32,366673.0404395714
vor33,5943480.62467966
vor34,76031963.33786027
vor35,4180995.6121986546
vor36,16825744.80984478
vor37,2596633.292489621
vor38,31436443.77100262
vor39,4586164.905827574
vor40,31132328.47682083
vor41,63556595.36535476
vor42,14212399.566324502
vor43,27900089.31809599
vor44,4919067.135055435
vor45,552881.1331463227
vor46,0.0
vor47,0.0
vor48,2409300.276002205
vor49,5858786.010376486
vor50,91213366.60203598
vor51,94417490.23046745
vor52,14924688.39280648
vor53,4606049.924746104
vor54,0.0
vor55,625220.7820235208
vor56,2245114.412656363
vor57,12344210.545404734
vor58,15067644.077071248
vor59,553027.8137279436
vor60,21651792.659907933
vor61,1751810.7335302006
vor62,0.0
vor63,16570390.939860033
vor64,1264813.715945811
vor65,3376031.829680973
vor66,24265597.111629087
vor67,52221047.77181448
vor68,10349989.55688524
vor69,740734.7966888895
vor70,0.0
vor71,0.0
vor72,2990023.5529019325
vor73,16401898.566457469
vor74,0.0
vor75,8286076.682058462
vor76,68083727.83466561
vor77,72606122.22388478
vor78,9645279.6267079
vor79,7594661.260897599
vor80,0.0
vor81,0.0
vor82,46375140.14012767
vor83,100600000.1053535
vor84,52685858.09523331
vor85,53067379.54530465
vor86,77536781.23731337
vor87,158353780.84270045
vor88,108194934.22803256
vor89,1103761.182040359
vor90,32536399.91340629
vor91,19822921.523995493
vor92,18715067.74712706
vor93,75984013.938791
vor94,116135377.81152661
vor95,46258188.915950514
vor96,52023091.65184453
vor97,102559062.6234819
vor98,99219905.24478464
vor99,54535688.95646847
vor100,32946234.63444378
vor101,54295618.59406035
vor102,25319745.46249287
vor103,102915068.52372448
vor104,68160301.57423638
vor105,23916658.01037692
vor106,14569178.337564863
vor107,5461916.883528133
vor108,83825497.34843034
vor109,127141594.45360044
vor110,36144974.78339092
vor111,54034905.695053905
vor112,148067153.9120633
vor113,142578301.0060457
vor114,200145376.47969064
vor115,81729152.35207845
vor116,47956009.015098944
vor117,24111236.613460597
vor118,5323322.032875599
vor119,42112846.65220116
vor120,39589822.40552493
vor121,160541420.86412016
vor122,79021695.24035974
vor123,88884458.28074512
vor124,155641670.00180012
vor125,218052393.13100672
vor126,271867834.78746957
vor127,224761026.69688025
vor128,69047670.86390051
vor129,37997117.84693358
vor130,36241414.332055695
vor131,1785158.0684117267
vor132,39974370.28110511
vor133,79553094.86627184
vor134,2.762542002669425e-243
vor135,2736.485336227636
vor136,109864374.72186087
vor137,109092025.1031052
vor138,181172962.97275653
vor139,184235505.57238176
vor140,223797096.39080897
vor141,235556325.2273949
vor142,285982541.5656537
vor143,217342617.93113196
vor144,131796214.98655245
vor145,91474297.3716273
vor146,10909874.295832265
vor147,2079446.6217834589
vor148,4690112.028047183
vor149,47294514.54119048
vor150,1.7624949641487921e-243
vor151,3174.9599157490575
vor152,3256.973979985577
vor153,1927.3246172474983
vor154,3.5482117693217457e-09
vor155,4.747668822602445e-09
vor156,228428610.31318223
vor157,198259109.89925998
vor158,223059588.75961465
vor159,269022399.37473726
vor160,234563319.98627397
vor161,83990918.04976301
vor162,12355875.72410533
vor163,35103463.376847655
vor164,8879927.040437087
vor165,29343181.051147655
vor166,92926173.70093672
vor167,19736819.62136134
vor168,4322.696390250507
vor169,5782.511452383614
vor170,23514927.53237562
vor171,5351.589226439393
vor172,21182.339952114522
vor173,108046408.48808616
vor174,172767539.4474724
vor175,137060408.64569005
vor176,66963721.893213056
vor177,43832597.083866246
vor178,58138619.44089936
vor179,29814337.182689346
vor180,139208637.4025571
vor181,108619504.03920661
vor182,9326362.727830146
vor183,103754071.58127452
vor184,9836564.66151694
vor185,218710.55137077387
vor186,1407809.1070100227
vor187,200651.6460202915
vor188,1.7517905830808444e-42
vor189,5308.29223135055
vor190,4522.584391840639
vor191,4357.56780519121
vor192,25937751.55586
vor193,19908681.594544105
vor194,156229159.48501718
vor195,131104454.49691789
vor196,28018541.67326517
vor197,62505907.05323527
vor198,92826517.91934116
vor199,153627439.5252917
vor200,130802949.51199792
vor201,81407646.74937443
vor202,32853712.98707124
vor203,30709747.7464148
vor204,6767912.740911143
vor205,9006813.769212678
vor206,22803393.539816912
vor207,4385204.477013649
vor208,29390497.219927073
vor209,9616307.785998425
vor210,19134564.355030343
vor211,2598863.4964002287
vor212,2.7385227925656206e-42
vor213,2.2344507860070178e-42
vor214,139006654.80584124
vor215,121039810.6310138
vor216,1.420724574092586e-42
vor217,30344506.723464444
vor218,27496779.890344735
vor219,169819982.6502334
vor220,35470065.14072982
vor221,44957713.16552322
vor222,34804944.21245901
vor223,131467813.15448003
vor224,149820611.56033394
vor225,119711784.38186422
vor226,177626623.1322214
vor227,86656106.35560304
vor228,38759966.14583889
vor229,24296913.677496027
vor230,4579266.332995766
vor231,5329066.276062131
vor232,965019.7856718166
vor233,5071233.853421201
vor234,573724.5338555699
vor235,9488646.774116157
vor236,4459555.072831226
vor237,5139812.491933859
vor238,7.600385226167721e-69
vor239,1.3413658406899498e-42
vor240,1.810214002181556e-42
vor241,2.1265989273324226e-42
vor242,2.2788058375892038e-42
vor243,191876966.20208752
vor244,2537.448935991641
vor245,669.1409437910078
vor246,85415619.26347911
vor247,103306425.7048626
vor248,41160407.42412372
vor249,35728912.623482816
vor250,29651540.64568392
vor251,199757029.5527891
vor252,202876588.5019986
vor253,188993567.11160016
vor254,392054154.6638771
vor255,288992823.5908397
vor256,64320899.97011324
vor257,2988984.6215184415
vor258,2986966.993618162
vor259,5234649.055377626
vor260,1334859.4883281155
vor261,188806.4611290986
vor262,0.0
vor263,965051.5187773624
vor264,0.0
vor265,2574812.309454615
vor266,5115343.310761297
vor267,2.456557506449557e-50
vor268,1.0588309248640024e-43
vor269,3.0963558406794506e-289
vor270,1.0956994263893816e-52
vor271,2.568335750627586e-43
vor272,53024269.45314943
vor273,78257274.8260368
vor274,613.4683634749783
vor275,136140392.95774627
vor276,26276114.457772568
vor277,21480092.744193297
vor278,7884.154646874694
vor279,9398.474628052069
vor280,26857980.085210606
vor281,23904364.8689753
vor282,192262828.0206285
vor283,215425269.02177396
vor284,289111158.16087544
vor285,136284504.46303925
vor286,31580874.686587956
vor287,17650586.38660746
vor288,18255183.287184063
vor289,1560698.4139845318
vor290,4035532.3291038293
vor291,11770187.108224358
vor292,1668002.3499039935
vor293,0.0
vor294,1162220.5454462632
vor295,6306676.676582006
vor296,4430344.010430064
vor297,1.7275230818456873e-44
vor298,6.422441525617338e-290
vor299,7.052435182905576e-53
vor300,5.148524906366499e-52
vor301,108425626.26882926
vor302,4657446.163140387
vor303,386.6199699534733
vor304,97847082.08096448
vor305,94373872.28037697
vor306,606.6395682442976
vor307,239.71568061181318
vor308,8559906.936974604
vor309,8888987.156386463
vor310,8654767.77247973
vor311,24418500.518922083
vor312,107991896.63608052
