,0
vor0,1877184.2299898027
vor1,1052086.9623986215
vor2,452419.719295008
vor3,15491780.342921844
vor4,4626889.5768450275
vor5,13488423.847469108
vor6,630267.3165295281
vor7,50074939.03917006
vor8,14846890.378042722
vor9,13889724.35262766
vor10,10571874.305594
vor11,29706243.26907804
vor12,1224006.6222058595
vor13,17440507.092851073
vor14,6074526.8606351465
vor15,10120930.863539683
vor16,692609.1453228861
vor17,1291317.1149124112
vor18,1262867.8177449137
vor19,37927.61832062164
vor20,570825.1036211888
vor21,2967151.6068388177
vor22,2473979.48824511
vor23,8176987.411417121
vor24,5368491.721905853
vor25,9289900.529437087
vor26,1435302.859147757
vor27,11121317.774098834
vor28,1044722.69708173
vor29,7738507.022806249
vor30,1658926.4544775544
vor31,5721697.642138049
vor32,2019757.1031352233
vor33,248253.15715207855
vor34,7735198.301579196
vor35,4025111.5232251645
vor36,10178614.12817884
vor37,11827813.206861498
vor38,15082375.504296277
vor39,2931584.0692867804
vor40,3878513.0080022793
vor41,4031028.1384097403
vor42,2521696.1595389787
vor43,1626076.2798732908
vor44,248304.09780571208
vor45,554505.1502682543
vor46,32330792.340283334
vor47,38842085.46749556
vor48,15301435.626196394
vor49,23628839.503510945
vor50,44482312.32357514
vor51,201934.1250750342
vor52,4512738.304184305
vor53,43745884.16601127
vor54,26147900.31510439
vor55,4203905.5421020705
vor56,41754669.15625844
vor57,82180794.12435888
vor58,63985990.297441885
vor59,70039953.61381353
vor60,5436755.809557896
vor61,1403790.3523607787
vor62,55374597.085263856
vor63,65280086.77955698
vor64,22744694.078524876
vor65,4834236.712879652
vor66,16684291.844467716
vor67,57476639.205035344
vor68,90395377.30511537
vor69,57450967.812636934
vor70,56613138.167438984
vor71,76266636.59821469
vor72,42986105.946898274
vor73,746735.3346946983
vor74,17968335.90033549
vor75,6784373.669081013
vor76,12944860.732809337
vor77,29031024.1079268
vor78,55696322.153388835
vor79,112076126.26969005
vor80,91769593.86887278
vor81,67805421.48563918
vor82,51854950.62298211
vor83,76314676.37925234
vor84,9805326.626441333
vor85,2589431.678956412
